,0,1,2,3
0,Food and drink,,Specific gravity,
1,Cherry brandy,,1.093,
2,Curacao,,1.052,
3,Spirits,,,
4,40% volume,,0.950,
5,,xii,,
6,BABY FOODS,,,
7,"Boots, First Harvest",Dessert starter,125g,
8,,Infant desserts,125g,
9,,"Infant savouries, from 4 months",125g,
10,,Junior desserts,190g,
11,,"Junior savouries, from 7 months",190g,
12,,"Savoury starters, from 3 months",125g,
13,Cow and Gate,Ready to drink baby juice (125m1s),130g,
14,,Stage 1 jars,I50g,
15,,Stage 2 jars,200g,
16,Dried/powdered baby foods,1 average tablespoon,5g,
17,Fromage frais,Baby Danone,60g,
18,,"Heinz, jar",150g,
19,Heinz,"Desserts, from 3 months, can",128g,
20,,jar,163g,
21,,"Savoury dishes, from 3 months, can",128g,
22,,jar,128g,
23,,"Savoury dishes, from 7 months, can",163g,
24,,standard jar,163g,
25,,large jar,200g,
26,Milupa,"Baby Rice Flakes, 1 tablespoon",5g,
27,,"Fine Oat Flakes, 1 tablespoon",2.5g,
28,,"Infant Foods, 1 tablespoon",5g,
29,,"Junior Foods, 1 tablespoon",5g,
30,,"Junior Drink, 1 heaped teaspoon",3. 8g,
31,,"Sugarfree Fennel Infant Drink, 1 scoop",0.3g,
32,,"Wholewheat Flakes, 1 tablespoon",5g,
33,Robinson's,Ready to drink baby juice (250m1s),260g,
34,Rusks,"Boots, Original",6g,
35,,Ruskmen,8g,
36,,"Low sugar, flavoured",lOg,
37,,Farley's original,17g,
38,,Liga,8g,
39,Yoghurts (baby),"Cow & Gate, jar",I50g,
40,,"Heinz yoghurt dessert, jar",150g,
41,,St lye! Baby & Toddler,90g,
42,BEVERAGES,,,
43,Refer to pp viii—xii to convert volumes to grams.,,,
44,Alcoholic drinks,,,
45,Babycham I bottle,JOOg,,
46,Barley wine I bottle,180g,,
47,Beer/lager 1 pint,574g,,
48,1/2 pint,287g,,
49,bottle 250/300g,,,
50,small can,333g,,
51,large can,,,
52,Liqueurs 1 measure,25g,,
53,"Sherry 1 glass, small",50g,,
54,large,lOOg,,
55,Spirits 1 measure (England and Wales),23g,,
56,(Scotland),27g,,
57,(N. Ireland),35g,,
58,1 airline measure,48g,,
59,1 miniature,29g,,
60,Vermouth 1 measure,48g,,
