,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
985,47.0,"Apricots, ready to eat, semi -dried  ",47.1,Tesco Whole Foods ready to eat apricots  ,Tesco Whole Foods   ,8.9,28.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L6015 765 2 14:43  ,Plastic  ,Ambient  ,Ambient  
987,47.0,"Apricots, ready to eat, semi -dried  ",47.2,Tesco ready to eat apricots  ,Tesco   ,6.3,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,5273 N8 Lot: 2881  ,Plastic  ,Ambient  ,Ambient  
989,47.0,"Apricots, ready to eat, semi -dried  ",47.3,Asda Good & Balanced apricots  ,Asda Good & Balanced  ,4.8,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,5174 N9 Lot: 2837 ASP1409407  ,Plastic  ,Ambient  ,Ambient  
991,47.0,"Apricots, ready to eat, semi -dried  ",47.4,Sainsbury’s apricots  ,Sainsbury’s  ,9.1,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5307 765 2 18:18 07614709 W0299 14.15  ,Plastic  ,Ambient  ,Ambient  
993,47.0,"Apricots, ready to eat, semi -dried  ",47.5,Morrisons Wholefoods soft apricots  ,Morrisons Wholefoods  ,5.4,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,5225 N9 Lot: 2863 11092 -0003 P05/14 101765  ,Plastic  ,Ambient  ,Ambient  
995,47.0,"Apricots, ready to eat, semi -dried  ",47.6,Marks & Spencer soft apricots  ,Marks & Spencer  ,425g  ,03.02.16  ,"Marks & Spencer, Longwater Retail Park, Norwich  ",Best before Date:  ,,05:02 SC4808  ,Plastic  ,,Ambient  
997,47.0,"Apricots, ready to eat, semi -dried  ",47.7,Neal’s Yard Wholefoods ready to eat apricots  ,Neal’s Yard Wholefoods  ,9.0,18.01.16  ,Holland and Barrett delivery  ,Best before Date:  ,,L5237 H1 63 08:34  ,Plastic  ,Ambient  ,Ambient  
999,47.0,"Apricots, ready to eat, semi -dried  ",47.8,Whitworths soft apricots  ,Whitworths  ,7.5,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5294 7451  ,Plastic  ,Ambient  ,Ambient  
1001,47.0,"Apricots, ready to eat, semi -dried  ",47.9,Whitworths snack on golden Malatya apricots  ,Whitworths  ,8.8,30.11.15  ,Sainsbury’s online delivery  ,Best before Date:  ,,L5316 7451  ,Plastic  ,Ambient  ,Ambient  
1003,47.0,"Apricots, ready to eat, semi -dried  ",47.1,Whitworths snack on golden Malatya apricots  ,Whitworths  ,8.9,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5323 00:11 51925/A  ,Plastic  ,Ambient  ,Ambient  
