,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
483,23.0,"Asparagus, fresh, steamed  ",23.1,Tesco asparagus bundle  ,Tesco  ,254,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD02  ,Plastic  ,Chilled  ,Chilled  
485,23.0,"Asparagus, fresh, steamed  ",23.2,Tesco asparagus tips  ,Tesco  ,N/A,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
487,23.0,"Asparagus, fresh, steamed  ",23.3,Asda Grower’s Selection asparagus  ,Asda Grower’s Selection  ,272.0,26.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,550303 ASP1508538  ,Plastic  ,Chilled  ,Chilled  
489,23.0,"Asparagus, fresh, steamed  ",23.4,Sainsbury’s fine asparagus  ,Sainsbury’s  ,121.5,05.07.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090L 7689821 03.14  ,Plastic  ,Chilled  ,Chilled  
491,23.0,"Asparagus, fresh, steamed  ",23.5,Morrisons asparagus  ,Morrisons  ,283,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0589/2f 0589 T47641/0514  ,Plastic  ,Chilled  ,Chilled  
495,23.0,"Asparagus, fresh, steamed  ",23.7,M&S extra fine asparagus  ,Marks & Spencer  ,107.2,04.07.15  ,"Marks & Spencer, Rampant Horse Street, Norwich  ",Best before Date:  ,,SC4848J  ,Plastic  ,Chilled  ,Chilled  
497,23.0,"Asparagus, fresh, steamed  ",23.8,Aldi Specially Selected asparagus tips  ,Aldi Specially Selected  ,N/A,26.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Supplier code: 03107/SFT; lot code:3502(3504C) ,Plastic  ,Chilled  ,Chilled  
499,23.0,"Asparagus, fresh, steamed  ",23.9,Tesco asparagus tips  ,Tesco   ,N/A,28.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
501,23.0,"Asparagus, fresh, steamed  ",23.1,Farm Shop asparagus  ,Pack size: ,254,05.07.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
503,23.0,"Asparagus, fresh, steamed  ",23.11,Bidvest Foodservice asparagus  ,Bidvest Foodservice  ,363.6,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,PLU 4080  ,Loose  ,Chilled  ,Chilled  
