,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
753,36.0,"Aubergine, boiled, flesh an d skin  ",36.1,Tesco aubergine  ,Tesco  ,265.0,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
755,36.0,"Aubergine, boiled, flesh and skin  ",36.2,Tesco aubergine  ,Tesco  ,364.1,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
757,36.0,"Aubergine, boiled, flesh and skin  ",36.3,Asda aubergine  ,Asda  ,324.3,10.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
759,36.0,"Aubergine, boiled, flesh and skin  ",36.4,Sainsbury’s aubergine  ,Sainsbury’s  ,297.0,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,C0482  ,Loose  ,Ambient  ,Chilled  
761,36.0,"Aubergine, boiled, flesh and skin  ",36.5,Morrisons aubergine  ,Morrisons  ,295.2,17.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
763,36.0,"Aubergine, boiled, flesh and skin ",36.6,Waitrose aubergine  ,Waitrose  ,291.1,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
765,36.0,"Aubergine, boiled, flesh and skin  ",36.7,Lidl aubergine  ,Lidl ,340.4,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
767,36.0,"Aubergine, boiled, flesh and skin  ",36.8,Sainsbury’s Basics aubergine  ,Sainsbury’s Basics  ,218.7,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6610672 09.13 CO482A  ,Plastic  ,,Chilled  
769,36.0,"Aubergine, boiled, flesh and skin  ",36.9,The Co -operative Loved by Us aubergine  ,The Co -operative Loved by Us  ,290.2,16.11.15  ,"The Co-operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: MO38SS  ,Plastic  ,Chilled  ,Chilled  
771,36.0,"Aubergine, flesh and skin, boiled  ",36.1,Greengrocer’s aubergine  ,Pack size:  ,265.0,30.09.15  ,"Independent greengrocer, Gloucester Street, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
773,36.0,"Aubergine, boiled, flesh and skin  ",36.11,Farm Fresh aubergine  ,Farm Fresh  ,342.2,28.09.15  ,"Booker, Norwich  ",Best before Date:  ,,Nr. 3441741 274 B 3631 CW Verp.KCB:879  ,Plastic  ,Chilled  ,Chilled  
