,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
879,42.0,"Blackberries, raw  ",42.1,Tesco British blackberries  ,Tesco  ,9.3,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:BY 12/H  ,Plastic  ,Chilled  ,Chilled  
881,42.0,"Blackberries, raw  ",42.2,Tesco British supersweet blackberries  ,Tesco  ,6.0,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:KG54  ,Plastic  ,Chilled  ,Chilled  
883,42.0,"Blackberries, raw  ",42.3,Asda Grower’s Selection blackberries  ,Asda Grower’s Selection  ,5.3,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 423026 Batch: 31176  ,Plastic  ,Chilled  ,Chilled  
885,42.0,"Blackberries, raw  ",42.4,Sainsbury’s blackberries  ,Sainsbury’s  ,6.0,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0800 L36 11.14  ,Plastic  ,Chilled  ,Chilled  
887,42.0,"Blackberries, raw  ",42.5,Morrisons blackberries  ,Morrisons  ,150g  ,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1126BGP135  ,Plastic  ,Chilled  ,Chilled  
889,42.0,"Blackberries, raw  ",42.6,M&S blackberries  ,Marks & Spencer  ,9.1,09.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before  Date:  ,,4016M  ,Plastic  ,Chilled  ,Chilled  
891,42.0,"Blackberries, raw  ",42.7,Driscoll’s blackberries  ,Driscoll’s of Europe  ,10.1,26.08.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,L34-06 KG19  ,Plastic  ,Chilled  ,Chilled  
893,42.0,"Blackberries, raw  ",42.8,Sainsbury’s blackberries  ,Sainsbury’s  ,5.7,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0800 L9   ,Plastic  ,Chilled  ,Chilled  
895,42.0,"Blackberries, raw  ",42.9,Tesco British blackberries  ,Tesco  ,7.0,28.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:BY 12/H   ,Plastic  ,Chilled  ,Chilled  
897,42.0,"Blackberries, raw  ",42.1,Market blackberries  ,Pack size:  ,9.3,28.08.15  ,"Independent  Market Stall, Norwich Market  ",Best before Date:  ,,Packaging:  ,Plastic  ,Chilled  ,Chilled  
899,42.0,"Blackberries, raw  ",42.11,Bidvest Foodservice blackberries  ,Bidvest Foodservice  ,5.9,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Chilled  ,Chilled  
