,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
687,33.0,"Broad beans, fresh, boiled  ",33.1,Tesco British broad beans  ,Tesco  ,39.2,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,S4 6 12:52 SC 212977 (BOB01)  ,Plastic  ,Chilled  ,Chilled  
689,33.0,"Broad beans, fresh, boiled  ",33.2,Tesco British broad beans  ,Tesco  ,47.6,17.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,S4 2 11:54 SC 212977 (BOB01)  ,Plastic  ,Chilled  ,Chilled  
691,33.0,"Broad beans, fresh, boiled  ",33.3,Tesco broad beans  ,Tesco  ,74.7,22.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC 212977 (BOB01)  ,Plastic  ,Chilled  ,Chilled  
693,33.0,"Broad beans, fresh, boiled  ",33.4,Asda Grower’s Selection broad beans  ,Asda Grower’s Selection  ,32.0,11.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550307 ASP1507907  ,Plastic  ,Chilled  ,Chilled  
695,33.0,"Broad beans, fresh, boiled  ",33.5,Sainsbury’s broad beans  ,Sainsbury’s  ,32.0,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,K0022 1383478 04.14  ,Plastic  ,Chilled  ,Chilled  
697,33.0,"Broad beans, fresh, boiled  ",33.6,Morrisons broad beans  ,Morrisons  ,29.3,11.08.15  ,"Morrisons, Albion way, Norwich  ",Best before Date:  ,,2624 T47598/0514  ,Plastic  ,Chilled  ,Chilled  
699,33.0,"Broad beans, fresh, boiled  ",33.7,Essential Waitrose broad beans  ,Essential Waitrose  ,45.1,11.08.15  ,"Waitrose, Eaton , Norwich  ",13.08.15  ,,284AAS 04.15  ,Plastic  ,Chilled  ,Chilled  
701,33.0,"Broad beans, fresh, boiled  ",33.8,Asda Grower’s Selection British broad beans  ,Asda Grower’s Selection  ,42.0,19.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550522 ASP1419787  ,Plastic  ,,Chilled  
703,33.0,"Broad beans, fresh, boiled  ",33.9,M&S British broad beans  ,Marks & Spencer  ,42.3,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146  ,Plastic  ,Chilled  ,Chilled  
705,33.0,"Broad beans, fresh, boiled  ",33.1,Tesco broad beans  ,Tesco  ,39.2,16.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:WD03  ,Plastic  ,Chilled  ,Chilled  
707,33.0,"Broad beans, fresh, boiled  ",33.11,Market broad beans  ,Pack size:  ,36.1,12.08.15  ,"Independent market stall, Norwich Market  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
