,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1225,60.0,"Cannellini beans, canned, reheated  ",60.1,Tesco cannellini beans in water  ,Tesco  ,508.7,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,W- R3TW 5279 01:04 61  ,Metal  ,Ambient  ,Ambient  
1227,60.0,"Cannellini beans, canned, reheated  ",60.2,Tesco cannellini beans in water  ,Tesco  ,523.3,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Best before Date:  ,,W- R4TW 5280 20:47 01  ,Metal  ,Ambient  ,Ambient  
1229,60.0,"Cannellini beans, canned, reheated  ",60.3,Asda Good & Balanced cannellini beans  ,Asda Good & Balanced  ,406.2,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,L- R3Z V1 5231 13:40 04  ,Metal  ,Ambient  ,Ambient  
1231,60.0,"Cannellini beans, canned, reheated  ",60.4,Sainsbury’s cannellini beans in water  ,Sainsbury’s  ,505.2,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W- R3SW 5251 10:21 01  ,Metal  ,Ambient  ,Ambient  
1233,60.0,"Cannellini beans, canned, reheated  ",60.5,Morrisons cannellini beans  ,Morrisons  ,337.9,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,FD1 FC11 G LS27  ,Metal  ,Ambient  ,Ambient  
1235,60.0,"Cannellini beans, canned, reheated  ",60.6,Waitrose essential cannellini beans in water  ,Waitrose essential  ,475.0,05.01.16  ,"Waitrose, Eaton , Norwich  ",Best before Date:  ,,W- R3KW 5307 20:53  01 ,Metal  ,Ambient  ,Ambient  
1237,60.0,"Cannellini beans, canned, reheated  ",60.7,Simply M&S cannellini beans in water  ,Simply M&S  ,521.6,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,W 16:38 5054 - R3MS 01  ,Metal  ,Ambient  ,Ambient  
1239,60.0,"Cannellini beans, canned, reheated  ",60.8,Napolina cannellini beans in water  ,Napolina  ,534.9,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,VAP22 LS099C 09:49  ,Metal  ,Ambient  ,Ambient  
1241,60.0,"Cannellini beans, canned, reheated  ",60.9,Napolina cannellini beans in water  ,Napolina  ,383.8,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,VAP22 LS120C 10:10  ,Metal  ,Ambient  ,Ambient  
1243,60.0,"Cannellini beans, canned, reheated  ",60.1,Napolina cannellini beans in water  ,Napolina  ,508.7,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,PIA1 LS076 CAN 01 15:08  ,Metal  ,Ambient  ,Ambient  
