,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1147,55.0,"Chickpeas, canned, reheated  ",55.1,Tesco chickpeas in water  ,Tesco  ,266.3,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,W R4TW 5280 20:47 01  ,Metal  ,Ambient  ,Ambient  
1149,55.0,"Chickpeas, canned, reheated  ",55.2,Tesco chickpeas in water  ,Tesco  ,136.2,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L R4T V2 5246 10:53 9.6  ,Metal  ,Ambient  ,Ambient  
1151,55.0,"Chickpeas, canned, reheated  ",55.3,Asda Good & Balanced chickpeas in water  ,Asda Good & Balanced  ,258.6,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,W- R4ZW 5251 03:59 01  ,Metal  ,Ambient  ,Ambient  
1153,55.0,"Chickpeas, canned, reheated  ",55.4,Sainsbury’s chickpeas in water  ,Sainsbury’s  ,272.5,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W- R4SW 5252 12:53 01 01162622 P0175 08.14  ,Metal  ,Ambient  ,Ambient  
1155,55.0,"Chickpeas, canned, reheated  ",55.5,Morrisons chickpeas  ,Morrisons  ,174.5,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,FD1 CC22 G LS271 09:32 24130 S11/14 575617 -01 ,Metal  ,,Ambient  
1157,55.0,"Chickpeas, canned, reheated  ",55.6,Aldi Sweet Harvest chick peas  ,Sweet Harvest  ,220.4,16.11.15  ,"Aldi, Sprowston Road, Norwich  ",Best before Date:  ,,V1 S280 03:22 4 ALR1306249  ,Metal  ,Ambient  ,Ambient  
1159,55.0,"Chickpeas, canned, reheated  ",55.7,Essential Waitrose chick peas in water  ,Essential Waitrose  ,247.6,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Best before Date:  ,,W- R4KW 5281 17:17 01 22148/152 03.14  ,Metal  ,Ambient  ,Ambient  
1161,55.0,"Chickpeas, canned, reheated  ",55.8,Napolina classic chick peas in  water  ,Napolina  ,537.8,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,VAP22 LS0099Z CHP 11:46  ,Metal  ,Ambient  ,Ambient  
1163,55.0,"Chickpeas, canned, reheated  ",55.9,Napolina chick peas in water  ,Napolina  ,265.1,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,PIA1 LS114 CHP 01 13:42  ,Metal  ,Ambient  ,Ambient  
1165,55.0,"Chickpeas, canned, reheated  ",55.1,Napolina chick peas in water  ,Napolina  ,266.3,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,VAP22 LS119Z  CHP 14:28  ,Metal  ,Ambient  ,Ambient  
