,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
241,12.0,"Courgettes, fresh, raw  ",12.1,Tesco courgettes  ,Tesco  ,179.4,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
243,12.0,"Courgettes, fresh, raw  ",12.2,Tesco courgettes  ,Tesco  ,500g  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GZ  ,Plastic  ,Chilled  ,Chilled  
245,12.0,"Courgettes, fresh, raw  ",12.3,Asda Grower’s Selection British courgettes  ,Asda Grower’s Selection  ,214.4,17.08.15  ,"Asda, Boundary  Road, Norwich  ",Best before Date:  ,,Batch: 12670 site: 950001 SS2 3 15:55 ASP1420196  ,Plastic  ,Chilled  ,Chilled  
247,12.0,"Courgettes, fresh, raw  ",12.4,Sainsbury’s courgettes  ,Sainsbury’s  ,234.1,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
249,12.0,"Courgettes, fresh, raw  ",12.5,Morrisons courgettes  ,Morrisons  ,320.9,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
251,12.0,"Courgettes, fresh, raw  ",12.6,M&S courgettes  ,Marks & Spencer  ,177.9,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146  ,Plastic  ,Chilled  ,Chilled  
253,12.0,"Courgettes, fresh, raw  ",12.7,Wood Farm  courgettes  ,Wood Farm  ,168.3,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,3403 (3405C) Supplier code: 02985 25341195  ,Plastic  ,Chilled  ,Chilled  
255,12.0,"Courgettes, fresh, raw  ",nan,Sainsbury’s Basics courgettes  ,Sainsbury’s Basics  ,1kg ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6287853 09.13 M0249A  ,Plastic netting  ,Ambient  ,Chilled  
257,12.0,"Courgettes, fresh, raw  ",12.9,Tesco British courgettes  ,Tesco  ,185.4,19.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:DV Oak -C 1 ,Plastic  ,Chilled  ,Chilled  
259,12.0,"Courgettes, fresh, raw  ",12.1,Greengrocers courgettes  ,Pack size:  ,179.4,26.11.15  ,"Independent greengrocers, Norwich  ",Best before Date:  ,,,Loose  ,Ambient  ,Chilled  
261,12.0,"Courgettes, fresh, raw  ",12.11,Farm Fresh courgettes  ,Farm Fresh  ,193.3,17.11.15  ,"Booker, Norwich  ",Best before Date:  ,,4404 TEX  ,Plastic  ,Chilled  ,Chilled  
