,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1259,62.0,"Figs, ready to eat, semi -dried  ",62.1,Tesco ready to eat figs  ,Tesco  ,14.3,27.01.16  ,"Tesco, Harford Bridges, Norwich   ",Best before Date:  ,,L6005 7751  ,Mixed material  ,Ambient  ,Ambient  
1261,62.0,"Figs, ready to eat, semi -dried  ",62.2,Tesco Whole Foods ready to eat figs  ,Tesco Whole Foods  ,14.0,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L6005 770 2 03:21  ,Plastic  ,Ambient  ,Ambient  
1263,62.0,"Figs, ready to eat, semi -dried  ",62.3,Asda Good & Balanced figs  ,Asda Good &  Balanced   ,16.3,27.01.16  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,5314 N9 Lot:4335 LQK ASP1409406  ,Plastic  ,Ambient  ,Ambient  
1265,62.0,"Figs, ready to eat, semi -dried  ",62.4,Sainsbury’s figs  ,Sainsbury’s  ,20.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5253 7702 01385106 W0299 08.14  ,Plastic  ,Ambient  ,Ambient  
1267,62.0,"Figs, ready to eat, semi -dried  ",62.5,Waitrose Love Life soft smyrna figs  ,Waitrose  ,21.4,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",Best before Date:  ,,L5355 765 1 08:08 142751/101 03.15  ,Mixed material  ,Ambient  ,Ambient  
1269,62.0,"Figs, ready to eat, semi -dried  ",62.6,Morrisons Wholefoods soft figs  ,Morrisons Wholefoods  ,17.3,04.02.16  ,"Morrisons, Wymondham , Norfolk   ",Best before Date:  ,,5272 N9 Lot:4323  ,Plastic  ,Ambient  ,Ambient  
1271,62.0,"Figs, ready to eat, semi -dried  ",62.7,The Co -operative Loved by Us dried figs  ,The Co -operative Loved by Us  ,13.8,18.01.16  ,"The Co -operative, Wymondham  ",Best before Date:  ,,L-2-1842 3271 GE13795/1/1  ,Plastic  ,Ambient  ,Ambient  
1273,62.0,"Figs, ready to eat, semi -dried  ",62.8,Neal’s Yard Wholefoods ready to eat figs  ,Neal’s Yard Wholefoods  ,16.0,18.01.16  ,Holland & Barrett delivery  ,Best before Date:  ,,L5 308 H1 61 11:10  ,Plastic  ,Ambient  ,Ambient  
1275,62.0,"Figs, ready to eat, semi -dried  ",62.9,Whitworths snack on soft Smyrna figs  ,Whitworths  ,17.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5353 7751  ,Plastic  ,Ambient  ,Ambient  
1277,62.0,"Figs, ready to eat, semi -dried  ",62.1,Whitworths snack on soft Smyrna figs  ,Whitworths  ,14.3,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5230 7752  ,Plastic  ,Ambient  ,Ambient  
