,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
153,8.0,"Grapefruit, raw, flesh only  ",8.1,Tesco pink grapefruit  ,Tesco  ,357.0,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
155,8.0,"Grapefruit, raw, flesh only  ",8.2,Tesco red grapefruit  ,Tesco  ,330.3,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
157,8.0,"Grapefruit, raw, flesh only  ",8.3,Asda Grower’s Selection red grapefruit  ,Asda Grower’s Selection  ,324.9,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 791636 site: 901083 ASP1420022 SL1257  ,Netting  ,Ambient  ,Chilled  
159,8.0,"Grapefruit, raw, flesh only  ",8.4,Sainsbury’s red grapefruit  ,Sainsbury’s  ,326.7,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,CO163A 05:01 0000 13 ,Plastic and netting  ,Ambient  ,Chilled  
161,8.0,"Grapefruit, raw, flesh only  ",8.5,Morrisons pink grapefruit  ,Morrisons  ,291.6,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,225033 TH1 CIT 2A 332 08:15 5G LA53700219  ,Plastic and netting  ,Ambient  ,21ºC controlled temperature room  
163,8.0,"Grapefruit, raw, flesh only ",8.6,Waitrose red grapefruit  ,Waitrose  ,318.5,30.11.15  ,"Waitrose, Wymondham  ",Best before Date:  ,,4288  ,Loose  ,Ambient  ,21ºC controlled temperature room  
165,8.0,"Grapefruit, raw, flesh only  ",8.7,Aldi red grapefruit  ,Aldi ,331.9,05.10.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
167,8.0,"Grapefruit, raw, flesh only  ",8.8,Asda Grower’s Selection red grapefruit  ,Asda Grower’s Selection  ,338.9,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 778546 Site: 902887 ASP1420022 SL1255  ,Plastic and netting  ,Ambient  ,21ºC controlled temperature room  
169,8.0,"Grapefruit, raw, flesh only  ",8.9,The Shop SU white grapefruit  ,The Shop SU  ,329.3,22.09.15  ,"The Shop SU, University of East Anglia, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
171,8.0,"Grapefruit, raw, flesh only  ",8.1,Farm  shop white grapefruit  ,Pack size:  ,357.0,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21°C controlled temperature room  
173,8.0,"Grapefruit, raw, flesh only  ",8.11,Swithenbank red grapefruit  ,Swithenbank  ,385.7,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Trace code: H 104407 product code: 74939 #4288  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
