,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1,1.0,"Kiwi fruit, raw, flesh only  ",1.2,Tesco kiwi  ,Tesco  ,95.8,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Use by Date:  ,,Packaging:  ,Loose  ,Ambient  ,21°C controlled temperature room  
3,1.0,"Kiwi fruit, raw, flesh only  ",1.3,Asda Grower’s Selection ripen at home kiwi fruit  ,Asda Grower’s Selection  ,85.1,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 903126 776590 NM 113 07:14  ,Plastic  ,Ambient  ,21°C controlled temperature room  
5,1.0,"Kiwi fruit, raw, flesh only  ",1.4,Sainsbury’s New Zealand kiwi fruit  ,Sainsbury’s  ,6 fruit  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,2 10:37 CO153A  ,Plastic netting  ,Ambient  ,21°C controlled temperature room  
7,1.0,"Kiwi fruit, raw, flesh only  ",1.5,Morrisons kiwi fruit  ,Morrisons  ,72.6,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,LA53700400  ,Plastic  ,Ambient  ,21°C controlled temperature room  
9,1.0,"Kiwi fruit, raw, flesh only  ",1.6,M&S perfectly ripe kiwi fruit  ,Marks & Spencer  ,110.7,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
11,1.0,"Kiwi fruit, raw, flesh only  ",1.7,Lidl kiwi fruit  ,Lidl ,97.1,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21°C controlled temperature room  
13,1.0,"Kiwi fruit, raw, flesh only  ",1.8,Tesco Everyday Value kiwi  ,Tesco Everyday Value  ,69.3,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: DPT 7551  ,Mixed material  ,Ambient  ,21°C controlled temperature room  
15,1.0,"Kiwi fruit, raw, flesh only  ",1.9,The Co -operative Loved by Us kiwi fruit  ,The Co -operative Loved by Us  ,83.4,26.10.15  ,"The Co -operative, Long Stratton  ",Best before Date:  ,,Packaging:  ,Plastic  ,Chilled  ,21°C controlled temperature room  
17,1.0,"Kiwi fruit, raw, flesh only  ",1.1,Greengrocer kiwi  ,Pack size:  ,77.3,30.09.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21°C controlled temperature room  
19,1.0,"Kiwi fruit, raw, flesh only  ",1.11,Bidvest Foodservice kiwi  ,Bidvest Foodservice  ,68.5,13.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,A23966  ,Plastic  ,Ambient  ,21°C controlled temperature room  
