,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
175,9.0,"Leeks, fresh, raw  ",9.1,Tesco leeks  ,Tesco  ,271.7,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
177,9.0,"Leeks, fresh, raw  ",9.2,Tesco leeks  ,Tesco  ,254.7,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC: EM12 L3288 10:46  ,Plastic  ,Chilled  ,Chilled  
179,,"Leeks, fresh, raw  ",9.3,Asda Grower’s Selection British extra trimmed leeks  ,Asda Grower’s Selection  ,172.2,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:143434 ASP1506594  ,Plastic  ,Chilled  ,Chilled  
181,9.0,"Leeks, fresh, raw  ",9.4,Sainsbury’s British trimmed leeks  ,Sainsbury’s  ,353.0,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,D288A 6 290 10:53 RO466 6308660 09.14  ,Plastic  ,Chilled  ,Chilled  
183,9.0,"Leeks, fresh, raw  ",9.5,Morrisons trimmed leeks  ,Morrisons  ,295.7,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,6999GSH 0522 T47518/0514  ,Plastic  ,Chilled  ,Chilled  
185,9.0,"Leeks, fresh, raw  ",9.6,Sainsbury’s leeks  ,Sainsbury’s  ,145.3,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
187,9.0,"Leeks, fresh, raw  ",9.7,M&S British leeks  ,Marks & Spencer  ,189.3,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,4146T  ,Plastic  ,Chilled  ,Chilled  
189,9.0,"Leeks, fresh, raw  ",9.8,Oaklands British leeks  ,Oaklands  ,111.4,19.10.15  ,,Best before Date:  ,,4204 E52144 W3552  ,Plastic  ,Chilled  ,Chilled  
191,9.0,"Leeks, fresh, raw  ",9.9,The Co -operative leeks  ,The Co -operative  ,146.2,16.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
193,9.0,"Leeks, fresh, raw  ",9.1,Farm shop Leeks  ,Pack size: ,271.7,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
195,9.0,"Leeks, fresh, raw  ",9.11,Bidvest Foodservice Leeks  ,Bidvest Foodservice  ,478.7,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic netting  ,Ambient  ,Chilled  
