,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
797,38.0,"Okra, boiled  ",38.1,Tesco okra  ,Tesco  ,9.5,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: SC:WD02  ,Plastic  ,Chilled  ,Chilled  
799,38.0,"Okra, boiled  ",38.2,Tesco okra  ,Tesco  ,11.3,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: SC:WD02  ,Plastic  ,Chilled  ,Chilled  
801,38.0,"Okra, boiled  ",38.3,Asda okra  ,Asda  ,9.1,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
803,38.0,"Okra, boiled  ",38.4,Sainsbury’s okra  ,Sainsbury’s  ,Purchase  Date:  ,,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
805,38.0,"Okra, boiled  ",38.5,Morrisons okra  ,Morrisons  ,8.0,05.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Plastic  ,Ambient  ,Chilled  
807,38.0,"Okra, boiled  ",38.6,Waitrose okra  ,Waitrose   ,10.0,28.09.15  ,"Waitrose, Eaton, Norwich  ",Best before Date:  ,,Supplier 284GKB 10.14  ,Plastic  ,Chilled  ,Chilled  
809,38.0,"Okra, boiled  ",38.7,Tesco okra  ,Tesco  ,9.6,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Supplier code: SC:WD02  ,Plastic  ,Chilled  ,Chilled  
811,38.0,"Okra, boiled  ",38.8,Sainsbury’s okra  ,Sainsbury’s  ,10.3,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,422185 15.14 W0710G  ,Plastic  ,Chilled  ,Chilled  
813,38.0,"Okra, boiled  ",38.9,Sainsbury’s okra  ,Sainsbury’s  ,11.0,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W0710G  ,Plastic  ,Chilled  ,Chilled  
815,38.0,"Okra, boiled  ",38.1,Asda okra  ,Asda  ,9.5,19.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
817,38.0,"Okra, boiled  ",38.11,Zenith okra  ,Zenith International Produce Ltd  ,14.3,19.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,74977 203629 -23 X847 bin no. B13B2  ,Loose in cardboard  ,Chilled  ,Chilled  
