,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
923,44.0,"Papaya, ripe, raw , flesh only  ",44.1,Tesco perfectly ripe papaya  ,Tesco  ,463.0,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD03  ,Loose  ,Ambient  ,Chilled  
925,44.0,"Papaya, ripe, raw, flesh only  ",44.2,Tesco papaya  ,Tesco  ,293.8,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:WD03  ,Plastic  ,Chilled  ,Chilled  
927,44.0,"Papaya, ripe, raw, flesh only  ",44.3,Asda Grower’s Selection papaya  ,Asda Grower’s Selection  ,329.5,07.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,56046 grower code: 500056 ASP1508521  ,Plastic  ,Chilled  ,Chilled  
929,44.0,"Papaya, ripe, raw, flesh only  ",44.4,Sainsbury’s ripe and ready papaya  ,Sainsbury’s  ,329.0,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W0710S 7567239 12.14  ,Plastic  ,Chilled  ,Chilled  
931,44.0,"Papaya, ripe, raw, flesh only  ",44.5,Morrisons papaya  ,Morrisons  ,1089.9,05.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,35422  ,Loose  ,Chilled  ,21ºC controlled temperature room  
933,44.0,"Papaya, ripe, raw, flesh only  ",44.6,Waitrose papaya  ,Waitrose  ,369.0,19.10.15  ,"Waitrose, Eaton , Norwich  ",22.10.15  ,,0119 1653  ,Loose  ,Chilled  ,Chilled  
935,44.0,"Papaya, ripe, raw, flesh only  ",44.7,Tesco perfectly ripe papaya  ,Tesco  ,383.8,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD03  ,Loose  ,Ambient  ,Chilled  
937,44.0,"Papaya, ripe, raw, flesh only  ",44.8,Tesco perfectly ripe papaya  ,Tesco  ,351.1,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD03  ,Loose  ,Ambient  ,Chilled  
939,44.0,"Papaya, ripe, raw, flesh only  ",44.9,Papaya Coribe papaya  ,Papaya Coribe  ,1084.3,19.10.15  ,"Asian Store, Magdalen Street, Norwich  ",Best before Date:  ,,PLU3112  ,Loose  ,Ambient  ,Chilled  
941,44.0,"Papaya, ripe, raw, flesh only  ",44.1,Tesco perfectly ripe papaya  ,Tesco  ,463.0,05.01.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD03  ,Loose  ,Ambient  ,Chilled  
943,44.0,"Papaya, ripe, raw, flesh only  ",44.11,Sainsbury’s giant papaya  ,Sainsbury’s  ,971.4,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W0710S 9089  ,Loose  ,Chilled  ,Chilled  
