,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
945,45.0,"Radish, raw  ",45.1,Tesco British radish  ,Tesco  ,16.0,19.10.15  ,"Tesco, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS01  ,Plastic  ,Ambient  ,Chilled  
947,45.0,"Radish, raw  ",45.2,Tesco radish  ,Tesco  ,240g  ,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GS01  ,Plastic  ,Chilled  ,Chilled  
949,45.0,"Radish, raw  ",45.3,Asda Grower’s Selection British radishes  ,Asda Grower’s Selection  ,22.2,19.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:350000 ASP1418585  ,Plastic  ,Chilled  ,Chilled  
951,45.0,"Radish, raw  ",45.4,Sainsbury’s British radishes  ,Sainsbury’s  ,8.4,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,G0630 A 6773856 08.14  ,Plastic  ,Chilled  ,Chilled  
953,45.0,"Radish, raw  ",45.5,Morrisons radishes  ,Morrisons  ,15.8,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,184751A GB1 RAD07 33915 PV 0258 T53810/0215  ,Plastic  ,Chilled  ,Chilled  
955,45.0,"Radish, raw  ",45.6,Simply M&S British radishes  ,Simply M&S  ,16.2,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC1816  ,Plastic  ,Chilled  ,Chilled  
957,45.0,"Radish, raw  ",45.7,Oaklands British radish  ,Oaklands  ,9.6,19.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,4204 W1922  ,Plastic  ,Chilled  ,Chilled  
959,45.0,"Radish, raw  ",45.8,Asda Grower’s Selection radishes  ,Asda Grower’s Selection  ,11.2,07.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:350001 ASP1418702  ,Plastic  ,Chilled  ,Chilled  
961,45.0,"Radish, raw  ",45.9,The Co -operative Loved by Us radish  ,The Co -operative Loved by Us  ,11.4,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M060J DKCM113  ,Plastic  ,Chilled  ,Chilled  
963,45.0,"Radish, raw  ",45.1,Farm Shop radishes  ,Pack size:  ,16.0,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose/bunch  ,Ambient  ,Chilled  
