,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1005,48.0,"Raisins, dried  ",48.1,Tesco Californian seedless raisins  ,Tesco  ,0.7,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5265 737 1 05:44  ,Mixed material  ,Ambient  ,Ambient  
1007,48.0,"Raisins, dried  ",48.2,Tesco Whole Foods thompson raisins  ,Tesco Whole Foods  ,1.3,27.11.15  ,Tesco online delivery  ,Best before Date:  ,,L5019014 12:04  ,Plastic  ,Ambient  ,Ambient  
1009,48.0,"Raisins, dried  ",48.3,Asda Chosen  by Kids 12 mini raisin snack boxes  ,Asda Chosen by Kids  ,0.5,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,51189/G 5237 ASP1218237  ,Plastic  ,Ambient  ,Ambient  
1011,48.0,"Raisins, dried  ",48.4,Sainsbury’s jumbo raisin mix  ,Sainsbury’s  ,1.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,L5275 770 3 19:42 079614390 W0299 08.14  ,Plastic  ,Ambient  ,Ambient  
1013,48.0,"Raisins, dried  ",48.5,Morrisons raisins  ,Morrisons  ,0.4,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,14-302 2185 11092 P06/14 102119  ,Plastic  ,Ambient  ,Ambient  
1015,48.0,"Raisins, dried  ",48.6,Belbake Californian seedless raisins  ,Belbake  ,0.4,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,5299  ,Plastic  ,Ambient  ,Ambient  
1017,48.0,"Raisins, dried  ",48.7,Holland & Barrett genius seedless raisins  ,Holland & Barrett  ,0.5,19.12.15  ,"Holland & Barrett, Camberwell Green, London  ",Best before Date:  ,,15265 11:09 5 95171 29284/01  ,Plastic  ,Ambient  ,Ambient  
1019,48.0,"Raisins, dried  ",48.8,Curtis raisins  ,Curtis  ,0.5,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,15224 L4  ,Plastic  ,,Ambient  
1021,48.0,"Raisins, dried  ",48.9,Whitworths sunny raisin  ,Whitworths  ,0.3,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Best before Date:  ,,51498/B L5271AT  ,Plastic  ,Ambient  ,Ambient  
1023,48.0,"Raisins, dried  ",48.1,Sun Maid natural California raisins  ,Sun Maid  ,0.7,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,2790 09 804  ,Plastic  ,Ambient  ,Ambient  
