,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1065,51.0,"Red kidney beans, dried, boiled  ",51.1,Tesco Whole Foods kidney beans  ,Tesco Whole Foods  ,100.0,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5282 8121  ,Mixed material  ,Ambient  ,Ambient  
1067,51.0,"Red kidney beans, dried, boiled  ",51.2,Tesco Whole Foods kidney beans  ,Tesco Whole Foods  ,100.0,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,L5253 8653  ,Mixed material  ,Ambient  ,Ambient  
1069,51.0,"Red kidney beans, dried, boiled  ",51.3,Asda Good & Balanced kidney beans  ,Asda Good & Balanced  ,99.7,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Lot 5258 C3 06:45 ASP1410186  ,Plastic  ,Ambient  ,Ambient  
1071,51.0,"Red kidney beans, dried, boiled  ",51.4,Sainsbury’s red kidney beans  ,Sainsbury’s  ,100.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,5194 -N 00039857 S1071 05.14  ,Plastic  ,Ambient  ,Ambient  
1073,51.0,"Red kidney beans, dried, boiled  ",51.5,Morrisons Wholefoods red kidney beans  ,Morrisons Wholefoods  ,100.0,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,5062 -M 1182 P06/13 97428  ,Plastic  ,Ambient  ,Ambient  
1075,51.0,"Red kidney beans, dried, boiled  ",51.6,Waitrose Love Life red kidney beans  ,Waitrose Love Life  ,100.0,18.11.15  ,"Waitrose, Eaton , Norwich  ",Best before Date:  ,,5309B 0352461/101  ,Plastic  ,Ambient  ,Ambient  
1077,,"Red kidney beans, dried, boiled  ",51.7,TRS red kidney beans  ,TRS ,100.3,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,P150921  ,Plastic  ,Ambient  ,Ambient  
1079,51.0,"Red kidney beans, dried, boiled  ",51.8,KTC red kidney beans  ,KTC ,100.2,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,GRN 2124 N408041P  ,Plastic  ,Ambient  ,Ambient  
1081,51.0,"Red kidney beans, dried, boiled  ",51.9,East End dark red kidney beans  ,East End  ,99.9,02.12.15  ,East End online order  ,Best before Date:  ,,4342 Brick pack  ,Plastic  ,Ambient  ,Ambient  
1083,51.0,"Red kidney beans, dried, boiled  ",51.1,Island Sun red kidney beans  ,Island Sun  ,100.0,27.11.15  ,Tesco online delivery  ,Best before Date:  ,,041115  ,Plastic  ,Ambient  ,Ambient  
