,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1085,52.0,"Red kidney beans, canned, reheated  ",52.1,,Tesco  ,256.4,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L- HKS V4 5259 17:18 12.8  ,Metal  ,Ambient  ,Ambient  
1087,52.0,"Red kidney beans, canned, reheated  ",52.2,Tesco Everyday Value red kidney beans in water  ,Tesco Everyday Value  ,253.6,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,W- H5TV 5260 12:57 01  ,Metal  ,Ambient  ,Ambient  
1089,52.0,"Red kidney beans, canned, reheated  ",52.3,Asda Good & Balanced red kidney beans in water  ,Asda Good & Balanced  ,265.3,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,W- H5ZW 5259 19:25 01 ASP1409438  ,Metal  ,Ambient  ,Ambient  
1091,52.0,"Red kidney beans, canned, reheated  ",52.4,Sainsbury’s red kidney beans in water  ,Sainsbury’s  ,269.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,W- H5SW 5287 07:09 01 01162615 P0175 08.14  ,Metal  ,Ambient  ,Ambient  
1093,52.0,"Red kidney beans, canned, reheated  ",52.5,Morrisons red kidney beans  ,Morrisons  ,251.4,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,SI LS 166 G34 3844 S11 \14 581108 -01 ,Metal  ,Ambient  ,Ambient  
1095,52.0,"Red kidney beans, canned, reheated  ",52.6,Campo Largo red kidney beans in water  ,Campo Largo  ,248.1,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,L1850CB 2A F02 FR21  ,Metal  ,Ambient  ,Ambient  
1097,52.0,"Red kidney beans, canned, reheated  ",52.7,Essential Waitrose red kidney beans in water  ,Essential Waitrose essential  ,239.2,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Best before Date:  ,,W- H5KW 5289 12:11 01 21148/152 03.14  ,Metal  ,Ambient  ,Ambient  
1099,52.0,"Red kidney beans, canned, reheated  ",52.8,Chef’s Larder red kidney beans in water  ,Chef’s Larder  ,497.1,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,MA 49 LT202 11:27  ,Steel  ,Ambient  ,Ambient  
1101,52.0,"Red kidney beans, canned, reheated  ",52.9,Napolina red kidney beans in water  ,Napolina  ,556.4,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,PIA1 LS113 RED 01 14:43  ,Metal  ,Ambient  ,Ambient  
1103,52.0,"Red kidney beans, canned, reheated  ",52.1,Napolina red kidney beans in water  ,Napolina  ,256.4,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,VAP22 LT339K RED 11:12  ,Metal  ,Ambient  ,Ambient  
