,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
643,31.0,"Sweet potato, boiled, flesh only  ",31.1,Tesco sweet potatoes  ,Tesco  ,142.0,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HY01(D) 4815IH  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
645,31.0,"Sweet potato, boiled, flesh only  ",31.2,Tesco sweet potatoes  ,Tesco  ,187.0,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HY01(D) 5215CL  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
647,31.0,"Sweet potato, boiled, flesh only  ",31.3,Asda Grower’s Selection sweet potatoes  ,Asda Grower’s Selection  ,261.7,07.12.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,16:47 Batch: 794077 Site:900326 ASP1501783  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
649,31.0,"Sweet potato, boiled, flesh only  ",31.4,Sainsbury’s sweet potato  ,Sainsbury’s  ,186.0,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090B 1191417 11.14  ,Plastic netting  ,Ambient  ,21ºC controlled temperature room  
651,31.0,"Sweet potato, boiled, flesh only  ",31.5,Morrisons sweet potato  ,Morrisons  ,129.3,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
653,31.0,"Sweet potato, boiled, flesh only  ",31.6,M&S sweet potatoes  ,Marks & Spencer  ,188.7,07.12.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC2045  ,Plastic  ,Ambient  ,21ºC controlled tempearature room  
655,31.0,"Sweet potato, boiled, flesh only  ",31.7,Lidl sweet potatoes  ,Lidl ,403.7,07.12.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
657,31.0,"Sweet potato, boiled, flesh only  ",31.8,Morrisons sweet potatoes  ,Morrisons  ,316.7,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,226123 TH1JOK 3 40 09:30 ED BG53700584 8600 ,Plastic  ,Ambient  ,21ºC controlled temperature room  
659,31.0,"Sweet potato, boiled, flesh only  ",31.9,The Co -operative sweet potatoes  ,The Co -operative  ,233.7,07.12.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
661,31.0,"Sweet potato, boiled, flesh only  ",31.1,Greengrocer sweet potatoes  ,Pack size:  ,142.0,09.12.15  ,"Independent greengrocer, Gloucester Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
663,31.0,"Sweet potato, boiled, flesh  only ",31.11,Bidvest Foodservice sweet potatoes  ,Bidvest Foodservice  ,267.4,12.01.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Sanitary Registration Number:21.007547/CA  ,Loose in cardboard  ,Ambient  ,21ºC controlled temperature room  
