,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
819,39.0,"Watercress, raw  ",39.1,Tesco Wessex watercress  ,Tesco  ,0.8,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L6 21:30 UKHCW 0988  ,Plastic  ,Chilled  ,Chilled  
821,39.0,"Watercress, raw  ",39.2,Tesco watercress  ,Tesco  ,0.6,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Use By Date:  ,,L4 11:27 USACW 1003  ,Plastic  ,Chilled  ,Chilled  
823,39.0,"Watercress, raw  ",39.3,Asda Grower’s Selection watercress  ,Asda Grower’s Selection  ,0.9,16.11.15  ,"Asda, Boundary Road, Norwich  ",Use By Date:  ,,L3 15:18 127B ASP1418850  ,Plastic  ,Chilled  ,Chilled  
825,39.0,"Watercress, raw  ",39.4,Sainsbury’s baby leaf watercress  ,Sainsbury’s  ,1.7,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,05 1500 266 H0604 7745699 04.15  ,Plastic  ,Chilled  ,Chilled  
827,39.0,"Watercress, raw  ",39.5,Morrisons watercress  ,Morrisons   ,1.3,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Use By Date:  ,,1424/1 20:30 G 1424 T47734/0514  ,Plastic  ,Chilled  ,Chilled  
829,39.0,"Watercress, raw  ",39.6,Waitrose hot & peppery watercress  ,Waitrose   ,0.6,06.10.15  ,"Waitrose, Eaton , Norwich  ",Best before Date:  ,,165A 08:27L5 UKHCW0995 389757/109 01:15  ,Plastic  ,Chilled  ,Chilled  
831,39.0,"Watercress, raw  ",39.7,Tesco watercress  ,Tesco  ,0.8,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Use By Date:  ,,ESPCW 1292 L6 19:34  ,Plastic  ,Chilled  ,Chilled  
833,39.0,"Watercress, raw  ",39.8,Morrisons watercress  ,Morrisons   ,0.7,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1424/1 18:27 G 1424 T47734/0514  ,Plastic  ,Chilled  ,Chilled  
835,39.0,"Watercress, raw  ",39.9,Morrisons watercress  ,Morrisons   ,1.2,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Use By Date:  ,,1424/1 14:09A 1424 T47734/0514  ,Plastic  ,Chilled  ,Chilled  
837,39.0,"Watercress, raw  ",39.1,Hairspring watercress  ,Hairspring Watercress Ltd   ,0.8,30.10.15  ,,Best before Date:  ,,Packaging:  ,Loose/bunch  ,Chilled  ,Chilled  
839,39.0,"Watercress, raw  ",39.11,Fresha water cress  ,Fresha  ,1.0,16.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Chilled  ,Chilled  
