,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
1025,49.0,"Lentils, split, dried, raw  ",49.1,Tesco Whole Foods red split lentils  ,Tesco Whole Foods  ,500g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5282 8 651 ,Mixed material  ,Ambient  ,Ambient  
1027,49.0,"Lentils, split, dried, raw  ",49.2,Tesco Aasani red split lentils  ,Tesco  ,2kg ,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Best before Date:  ,,L5131 8501  ,Plastic  ,Ambient  ,Ambient  
1029,49.0,"Lentils, split, dried, raw  ",49.3,Asda Good & Balanced red lentils  ,Asda Good & Balanced  ,500g  ,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Lot 5285 C3 11:23 ASP1410189  ,Plastic  ,Ambient  ,Ambient  
1031,49.0,"Lentils, split, dried, raw ",49.4,Sainsbury’s red lentils  ,Sainsbury’s  ,500g  ,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,5275 -N 01135817 51071 06.14  ,Plastic  ,Ambient  ,Ambient  
1033,49.0,"Lentils, split, dried, raw  ",49.5,Morrisons Wholefoods red split lentils  ,Morrisons Wholefoods  ,500g  ,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,L5323 8701 9905 T53410/0115  ,Plastic  ,Ambient  ,Ambient  
1035,49.0,"Lentils, split, dried, raw  ",49.6,Simply M&S red split lentils  ,Simply M&S  ,500g  ,30.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,L5257 8701  ,Plastic  ,Ambient  ,Ambient  
1037,49.0,"Lentils, split, dried, raw  ",49.7,Natco red lentils  ,Natco  ,1kg ,27.11.15  ,Tesco online delivery  ,Best before Date:  ,,Prod: Nov 2015 151112 -BN0004  ,Plastic  ,Ambient  ,Ambient  
1039,49.0,"Lentils, split, dried, raw  ",49.8,KTC red lentils  ,KTC ,2kg ,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,GRN 2812 N320151P  ,Plastic  ,Ambient  ,Ambient  
1041,49.0,"Lentils, split, dried, raw ",49.9,Great Scot red split lentils  ,Great Scot  ,500g  ,16.11.15  ,"Tesco Extra, Blue Boar Lane, Norwich  ",Best before Date:  ,,L5302 8122  ,Plastic  ,Ambient  ,Ambient  
1043,49.0,"Lentils, split, dried, raw  ",49.1,East End red split lentils  ,East End  ,500g  ,27.11.15  ,Tesco online delivery  ,Best before Date:  ,,5300 brick pack  ,Plastic  ,Ambient  ,Ambient  
1045,,"Lentils, split, dried, boiled  ",50.1,Tesco Whole Foods red split lentils  ,Tesco Whole Foods  ,200.0,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5282 8 651 ,Mixed material  ,Ambient  ,Ambient  
1047,50.0,"Lentils, split, dried, boiled  ",50.2,Tesco Aasani red split lentils  ,Tesco  ,200.0,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",,,L5131 8501  ,Plastic  ,Ambient  ,Ambient  
1049,50.0,"Lentils, split, dried, boiled  ",50.3,Asda Good & Balanced red lentils  ,Asda Good & Balanced  ,500g  ,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Lot 5285 C3 11:23 ASP1410189  ,Plastic  ,Ambient  ,Ambient  
1051,50.0,"Lentils, split, dried, boiled  ",50.4,Sainsbury’s red lentils  ,Sainsbury’s  ,100.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,5275 -N 01135817 51071 06.14  ,Plastic  ,Ambient  ,Ambient  
1053,50.0,"Lentils, split, dried, boiled  ",50.5,Morrisons Wholefoods red split lentils  ,Morrisons Wholefoods  ,200.0,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,L5323 8701 9905 T53410/0115  ,Plastic  ,Ambient  ,Ambient  
1055,50.0,"Lentils, split, dried, boiled  ",50.6,Simply M&S red split lentils  ,Simply M&S  ,100.0,30.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,L5257 8701  ,Plastic  ,Ambient  ,Ambient  
1057,50.0,"Lentils, split, dried, boiled  ",50.7,Natco red lentils  ,Natco  ,100.0,27.11.15  ,Tesco online delivery  ,Best before Date:  ,,Prod: Nov 2015 151112 -BN0004  ,Plastic  ,Ambient  ,Ambient  
1059,50.0,"Lentils, split, dried, boiled  ",50.8,KTC red lentils  ,KTC ,100.0,16.11.15  ,"Booker, Norwich  ",Best before Date:  ,,GRN 2812 N320151P  ,Plastic  ,Ambient  ,Ambient  
1061,50.0,"Lentils, split, dried, boiled  ",50.9,Great Scot red split lentils  ,Great Scot  ,100.0,16.11.15  ,"Tesco Extra, Blue Boar Lane, Norwich  ",Best before Date:  ,,L5302 8122  ,Plastic  ,Ambient  ,Ambient  
