Page,Sample_Number,Sample_Name,Pack_Size,Source_PDF
666,31,"Sweet potato, boiled, flesh only",1kg  ,fruit_and_vegetable_survey_2015_sampling_report.pdf
667,31,M&S sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
669,31,Lidl sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
671,31,Morrisons sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
673,31,The Co -operative sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
675,31,Greengrocer sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
676,31,"Sweet potato, boiled, flesh  only",6kg   net,fruit_and_vegetable_survey_2015_sampling_report.pdf
677,31,Bidvest Foodservice sweet potatoes,L2,fruit_and_vegetable_survey_2015_sampling_report.pdf
678,32,"Sweet potato, wedges, baked  in rapeseed oil , flesh and",1kg  ,fruit_and_vegetable_survey_2015_sampling_report.pdf
679,32,Tesco sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
680,32,"Sweet potato, wedges, baked in rapeseed oil , flesh and",1kg  ,fruit_and_vegetable_survey_2015_sampling_report.pdf
683,32,Asda Grower’s Selection sweet potatoes,,fruit_and_vegetable_survey_2015_sampling_report.pdf
685,32,Sainsbury’s sweet potato,,fruit_and_vegetable_survey_2015_sampling_report.pdf
687,32,Morrisons sweet potato,,fruit_and_vegetable_survey_2015_sampling_report.pdf
700,33,"Broad beans, fresh, boiled",500g ,fruit_and_vegetable_survey_2015_sampling_report.pdf
701,33,Tesco British broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
705,33,Tesco broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
707,33,Asda Grower’s Selection broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
709,33,Sainsbury’s broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
711,33,Morrisons broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
713,33,Essential Waitrose broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
715,33,Asda Grower’s Selection British broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
717,33,M&S British broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
721,33,Market broad beans,,fruit_and_vegetable_survey_2015_sampling_report.pdf
722,34,"Curly kale, fresh, boiled",206g ,fruit_and_vegetable_survey_2015_sampling_report.pdf
723,34,Tesco British curly kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
725,34,Tesco British curly  kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
727,34,Asda Grower’s Selection British unwashed sliced curly,,fruit_and_vegetable_survey_2015_sampling_report.pdf
729,34,Sainsbury’s curly leaf kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
731,34,Morrisons prepared kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
733,34,M&S kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
735,34,Oaklands British curly kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
739,34,The Co-operative Loved by Us British sliced curly kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
741,34,Farm Shop curly kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
743,34,Swithenbank cabbage curly kale,,fruit_and_vegetable_survey_2015_sampling_report.pdf
744,35,"Swede, fresh, boiled",Min. 400g ,fruit_and_vegetable_survey_2015_sampling_report.pdf
745,35,Tesco British small swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
747,35,Tesco British large swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
749,35,Asda Grower’s Selection diced swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
751,35,Sainsbury’s swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
753,35,Morrisons swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
755,35,Simply M&S British swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
757,35,Lidl swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
761,35,The Co -operative Loved by Us British swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
763,35,Farm Shop Swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
765,35,Bidvest Foodservice swede,,fruit_and_vegetable_survey_2015_sampling_report.pdf
766,36,"Aubergine, boiled, flesh an d skin",Purchase Date:,fruit_and_vegetable_survey_2015_sampling_report.pdf
767,36,Tesco aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
768,36,"Aubergine, boiled, flesh and skin",Purchase Date:,fruit_and_vegetable_survey_2015_sampling_report.pdf
771,36,Asda aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
773,36,Sainsbury’s aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
775,36,Morrisons aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
777,36,Waitrose aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
779,36,Lidl aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
781,36,Sainsbury’s Basics aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
783,36,The Co -operative Loved by Us aubergine,,fruit_and_vegetable_survey_2015_sampling_report.pdf
