,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
40,11-001,Arrowroot,2 samples from different shops,AA,,"MW3, 1960. Reviewed 2014",,1471,346,0.1,0.02,85.5,0,85.5,0.9,0.4,0.01,Cereals and cereal products
0,13-145,"Ackee, canned, drained",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",,639,155,15.2,4.44,0.8,0.8,0,1.8,2.9,0.6,Vegetables
1,13-146,"Agar, dried",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,721,180,1.2,0.3,0,0,0,81.1,1.6,0.28,Vegetables
3,13-148,"Alfalfa sprouts, raw",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,113,27,0.7,0.07,0.3,0.3,0,1.7,4.0,0.02,Vegetables
10,13-149,"Amaranth leaves, raw",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,111,27,0.3,0.1,0.3,0.2,0.1,4.4,3.5,0.03,Vegetables
39,13-151,"Arrowhead, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,447,106,0.3,0.03,19.5,0.9,18.6,2.4,5.0,0.06,Vegetables
43,13-153,"Artichoke, globe, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,120,29,0.2,0.1,1.3,1.3,0,5.4,2.8,0.07,Vegetables
47,13-157,"Asparagus, raw",Tough base of stems removed,DG,50-737 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,120,29,0.6,0.1,2,1.9,0.1,1.7,2.9,0,Vegetables
55,13-161,"Aubergine, raw",Ends trimmed,DG,50-739 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,84,20,0.4,0.1,2.2,2,0.2,2,0.9,0.01,Vegetables
56,15-001,"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,DR,,As Vegetable Dishes Supplement 1992,,283,68,4.6,0.5,3.6,1.6,1.9,1.9,2.1,0.2,Vegetables
57,15-662,"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-385 ,Updated 2014,,378,90,2.1,0.22,14.8,5.9,8.9,2.1,1.9,0.02,Vegetables
58,15-663,"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-386 ,Updated 2014,,523,126,9.7,3.48,3.4,3.2,0.2,2.2,5.3,0.27,Vegetables
22,14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,F,14-003 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",,136,32,0.2,0.04,6.5,6.5,0,1.2,0.3,0,Fruit
11,14-001,Amla,Literature sources,FA,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",,143,35,0.1,0,4,3.4,0.6,7.8,0.5,0.01,Fruit
31,14-025,"Apricots, raw, flesh and skin",18 samples,FA,50-860 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,169,40,0.1,0,6.9,6.9,0,1.7,0.9,0.01,Fruit
33,14-392,"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,14-036,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,851,201,0.5,0.13,39.2,39.2,0,5.3,2.2,0.02,Fruit
60,14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",Calculated from 14-039,FA,,"LGC, Fruit and vegetables, 1989-1990",,565,137,13.7,2.5,0.4,0.4,0,2.4,1.5,0.02,Fruit
62,14-387,"Avocado, Hass, flesh only, weighed with skin and stone",Calculated from 14-386,FA,14-042 14-038,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,508,123,12.0,2.86,1.1,0.2,0,2.1,1.3,0.01,Fruit
