,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
107,11-002,"Barley, pearl, raw",2 samples from different shops; literature sources,AA,  ,"MW4, 1978. Reviewed 2014",,1341,318,1.7,0.24,60.6,1,59.6,13.1,8.4,0.01,Cereals and cereal products
373,11-906,"Bran, wheat","5 samples, 4 products",AA,11-005 ,"LGC, Nutrient survey of flours and grains, 2005",,1104,266,5.5,0.89,18.8,2.2,16.6,41.3,14.7,0.01,Cereals and cereal products
461,11-006,"Buckwheat, groats",Literature sources,AA,,"Cereals and Cereal Products Supplement, 1988. Reviewed 2014",,1518,358,1.5,0.33,76.8,0,76.8,2.3,8.1,0,Cereals and cereal products
379,11-1144,"Bread rolls, brown, crusty","12 samples of 6 rolls, different shops",AF,11-477 ,"Data from Cereals and cereal Products Supplement, 1988;  with some vitamins from LGC, nutrient analysis of bread and morning goods, 1999; and selenium from Analysis of foods for Selenium 1994.",,1136,269,2.8,0.6,47.2,3.1,44.1,4.7,11.3,0.95,Cereals and cereal products
383,11-1006,"Bread rolls, white, soft",10 samples,AF,11-483 ,"LGC, Nutrient analysis of bread and morning goods, 1999, Food Surveillance Sheet No.194. Updated 2013.",,1084,256,2.6,0.62,46.9,2.5,44.4,2.6,10,1,Cereals and cereal products
388,11-971,"Bread, brown, average","11 samples, 8 brands",AF,11-456 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,915,216,2,0.43,38.3,3.2,35.2,5,8.8,1,Cereals and cereal products
390,11-969,"Bread, ciabatta",8 samples,AF,11-609 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Some inorganics  and vitamins estimated from white bread, French stick.",,1168,276,3.9,0.57,47.4,3,44.5,3.3,11.3,0.88,Cereals and cereal products
391,11-937,"Bread, garlic and herb, retail","10 samples, 10 products , frozen and chilled",AF,11-460 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1468,351,16.7,8.63,41,2.7,38.4,2.7,7.7,1.19,Cereals and cereal products
394,11-910,"Bread, naan, peshwari naan, takeaway and retail","10 samples, 5 from takeaway shops, naan with nuts and raisins",AF,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,1083,258,7.9,3.13,36.3,1.5,34.7,5.6,7.6,0.98,Cereals and cereal products
395,11-973,"Bread, naan, retail","12 samples, including garlic and coriander",AF,11-463 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1  from Bolton-Smith et al, Br J Nutr, 83, 2000.",,1221,290,7.3,0.97,45.8,3.1,42.7,2.9,8.8,0.9,Cereals and cereal products
396,11-974,"Bread, pitta, white","10 samples, 8 brands",AF,11-465 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Additional vitamin data from 11-090 (CCP, 1988)",,1093,258,1.3,0.2,50.4,2.9,47.5,2.3,10,1,Cereals and cereal products
397,11-947,"Bread, seeded",Label data and calculations,AF,,"Industry data, 2013; and calculated",,1188,282,7.4,1,40,3.6,36.4,6.2,10.9,0.9,Cereals and cereal products
400,11-1145,"Bread, white, average",Average of 5 main types of white bread,AF,11-099 ,Updated 2014,,1021,241,2.1,0.49,44.5,2.9,41.6,2.9,9.6,1,Cereals and cereal products
403,11-977,"Bread, white, farmhouse or split tin",20 samples,AF,11-470 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,1041,246,2,0.49,45.5,2.8,42.7,2.9,10,1,Cereals and cereal products
404,11-978,"Bread, white, French stick","18 samples, baguette and flute, thick and thin",AF,11-471 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Average of flute and baguette",,1138,269,1.9,0.34,51.2,2.8,48.5,3.3,10,1,Cereals and cereal products
