,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
852,11-011,"Cornmeal, sifted",Analytical and literature sources,AA,,Wu Leung et al. (1968) Food composition table for use in Africa. Reviewed 2014,,1586,375,3.3,0.41,74.9,1.6,73.3,3.9,9.4,0,Cereals and cereal products
1012,11-1138,Custard powder,"Taken as cornflour (11-1045) except Na, Cl and Cu",AA,,"LGC, Nutrient survey of flours and grains, 2005; MW4, 1978; and industry data, 2014",,1457,343,0.7,0.1,83.6,0,83.6,0,0.6,0.95,Cereals and cereal products
579,11-987,"Chapatis, made with fat, retail",6 samples,AF,11-458 ,"MW4, 1978; and industry data, 2013. Selenium from Analysis of foods for selenium (1994) MAFF Project 2B006. Fibre fractions from 11-074",,1390,331,12.8,1.56,44,1.7,42.3,2.2,8.9,0.75,Cereals and cereal products
892,11-988,Croissants,"10 samples, 7 brands",AG,11-480 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Some vitamin data from Cereals and Cereal Products Supplement, 1988",,1589,380,19.7,9.76,39.7,5.2,34.5,3.1,9.4,0.83,Cereals and cereal products
497,11-916,Cake rusks,"South Asian sweet bread, 6 samples, ethnic food store",AM,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,1894,453,23.1,8.08,51.7,23.4,28.3,1.6,8.7,0.9,Cereals and cereal products
577,11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified","5 samples, 5 products, including Jordan's frusli and Alpen chewy bars",AM,17-103 17-494 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1562,371,10.7,3.85,59.7,33.7,26,6.2,6.0,0.16,Cereals and cereal products
593,11-824,"Cheese straws/twists, retail","10 samples, 7 products, including cheese straws, twists and crispies",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,2122,508,30.3,17.54,43.9,1.5,42.4,2.5,13.8,2.44,Cereals and cereal products
874,11-820,Cream crackers,"10 samples, 6 products",AM,11-510 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1883,448,16.4,7.38,63.4,1.4,62,3.9,9.8,0.96,Cereals and cereal products
891,11-822,"Crispbread, rye","5 samples, 2 products, Ryvita original and Ryvita dark",AM,11-511 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1350,320,1.4,0.16,57.8,3.2,54.5,20,9.2,0.66,Cereals and cereal products
515,11-832,"Cake, sponge, soft iced, retail","10 samples, 8 products, including angel cake, Madeira and lemon drizzle",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1563,373,15.8,6.21,51.7,37.1,14.5,1.3,5.3,0.63,Cereals and cereal products
521,11-840,Cakes from 'healthy eating' ranges,"10 samples, 7 products, including carrot, lemon and apple slices",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1121,265,2.5,1.22,55.7,45.4,10.4,2.6,3.6,0.18,Cereals and cereal products
523,11-839,"Cakes, fancy iced, individual, retail","10 samples, 8 products, including French and fondant fancies, cup cakes, fairy cakes, angel and lemon slices",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1616,385,16.8,5.86,54.3,42.1,12.3,1.1,3.6,0.69,Cereals and cereal products
902,11-989,"Crumpets, toasted",9 samples,AP,11-535 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,894,211,1.0,0.1,41.5,3,38.5,3.1,7.5,2.57,Cereals and cereal products
895,11-1020,"Crumble, fruit, retail","10 samples, including apple, apple and blackberry and rhubarb. Frozen and chilled",AS,11-546 ,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,958,228,8.3,3.97,34.1,21.2,12.7,2.3,2.4,0.21,Cereals and cereal products
583,11-997,"Cheese and onion rolls, pastry, retail","Oven-baked pastry, 3 brands",AT,11-550 ,"RHM, Nutrient analysis of manufactured foods for vegetarians, 1997; and industry data, 2013",,1379,331,20.0,8.97,28,3,22,2.9,8.2,0.78,Cereals and cereal products
864,11-901,"Couscous, plain, raw","8 samples, 8 products, wheat",AT,,LGC Nutrient survey of flours and grains 2005,,1554,367,2.1,0.3,72,2.1,69.9,3.7,13.1,0.01,Cereals and cereal products
778,12-545,Cocoa powder,"10 samples, 2 brands",BH,12-082 ,"MW4 (1978).  Additional data from 50-1050. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000.",,1617,390,21.7,12.8,10.5,0,10.5,30.4,23.1,0.09,Milk and milk products
881,12-592,"Cream, fresh, clotted","17 samples, 3 brands",BJC,12-117 ,"Milk Products and Eggs Supplement, 1989. Iodine updated 2014",,2413,587,63.5,39.7,2.2,2.2,0,0,1.6,0.05,Milk and milk products
883,12-332,"Cream, fresh, single",Average of 22 samples of summer and winter cream,BJC,12-113 12-842 50-212  ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement (1998) 12-842",,798,193,19.1,12.15,2.1,2.1,0,0,3.3,0.07,Milk and milk products
884,12-333,"Cream, fresh, whipping",Average of 22 samples of summer and winter cream,BJC,12-115 50-214 ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998; some inorganics and vitamin values from Milk Products and Eggs Supplement (1989) 12-115",,1568,381,40.3,25.23,2.6,2.6,0,0,1.9,0.06,Milk and milk products
880,12-339,"Cream, dairy, UHT, half fat, canned spray","4 samples, 1 brand (Anchor Light)",BJP,,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and estimated from 85% fat canned spray",,810,196,17.3,10.87,7.2,7,0,0,2.8,0.09,Milk and milk products
592,12-537,"Cheese spread, plain, reduced fat","13 samples, 9 brands, portions and tubs",BL,12-350 ,"LGC, Nutritional analysis of foods commonly consumed by school children, 1995; fats calculated from cheese spread plain on a fat content basis; and selenium from  Analysis of foods for Selenium 1994",,644,154,7.2,4.56,7.5,7,0.5,0,14.7,1.88,Milk and milk products
600,12-346,"Cheese, Cheddar, English","20 samples of English cheddar, including mild and mature, spring and autumn",BL,12-134 50-228  ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1716,414,34.9,21.68,0.1,0.1,0,0,24.9,1.81,Milk and milk products
602,12-550,"Cheese, cottage, plain, reduced fat",20 samples,BL,12-352 ,"LGC, Nutrient analysis of cheese, 1999; and industry data, 2013. Fatty acids calculated from 50-234 (1991). Selenium from Analysis of foods for Selenium 1994 MAFF Project 2B006",,285,68,1.5,0.96,3.1,3.1,0,0,10.4,0.53,Milk and milk products
603,12-354,"Cheese, Danish blue",18 samples,BL,12-151 50-236 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1411,341,28.9,19.13,0,0,0,0,20.1,3.05,Milk and milk products
610,12-357,"Cheese, goats milk, full fat, soft, white rind","16 samples, English and French",BL,12-162 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999",,1321,319,25.8,17.91,1,1,0,0,20.6,1.5,Milk and milk products
617,12-360,"Cheese, Mozzarella, fresh","18 samples, soft, not grated",BL,12-170 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999","Grated in drums contains 48.8g water, 25g protein, 21.7g fat, 295kcal energy and 1228kJ energy per 100g",1060,255,20.3,13.75,0,0,0,0,18.2,0.99,Milk and milk products
622,12-549,"Cheese, processed, slices, reduced fat","Including Dairylea Light Slices, Kerry Low Low Cheesy Slices for Burgers and other/own brands",BL,12-363 ,"Industry data, 2013; and calculated from 12-363",,789,188,9.6,5.85,9.1,7.2,1.9,0,16.4,2.03,Milk and milk products
636,12-486,"Cheese, White Cheshire","9 samples, sampled in spring and autumn",BL,12-145 ,"LGC, Nutrient analysis of cheese, 1999",,1567,378,31.8,21.23,0.1,0.1,0,0,22.9,1.23,Milk and milk products
849,12-507,Cornetto type ice cream cone,"7 samples, 5 products",BP,12-386 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1237,295,14.4,11.04,37.4,26.7,10.6,1.2,3.5,0.23,Milk and milk products
639,12-542,"Cheesecake, fruit, individual","8 samples, 3 brands including strawberry, apricot, blackcurrant and cherry",BR,12-396 ,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; and industry data, 2013. Fatty acids from Fatty Acids Supplement 12-911",,1126,269,12.3,7.54,32.7,24.4,8.3,1.6,6.1,0.23,Milk and milk products
1015,12-519,"Custard, made up with semi-skimmed milk",Recipe,BR,12-413 ,Updated 2013,,403,95,2.0,1.24,15.4,10.8,4.6,0,3.9,0.17,Milk and milk products
487,13-582,"Cabbage, average, raw",Average of white (13-509) and green (13-510) cabbage,DG,13-468 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,141,34,0.2,0.02,4.4,4.4,0,3.5,1.8,0.02,Vegetables
488,13-187,"Cabbage, Chinese, raw","Base trimmed, outer leaves removed",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,60,14,0.2,0,1.4,1.4,0,1.3,1.0,0.02,Vegetables
490,13-510,"Cabbage, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-468 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,151,36,0.2,0.04,4.1,4.1,0,4.1,2.4,0.02,Vegetables
493,13-190,"Cabbage, red, raw",Outer leaves and stem removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,111,27,0.3,0,3.4,3.3,0.1,2.9,1.1,0.02,Vegetables
495,13-509,"Cabbage, white, raw","19 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-445 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,131,31,0.1,0,4.8,4.8,0,3,1.2,0.02,Vegetables
537,13-496,"Carrots, old, raw","22 samples, autumn and winter, UK grown, pre-packed and loose, top and tailed, peeled and not peeled",DG,13-446 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,178,42,0.4,0.1,7.3,7,0.1,3.9,0.4,0.07,Vegetables
540,13-448,"Carrots, young, raw","Ends trimmed, scrubbed",DG,13-023 50-756 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,161,38,0.5,0.1,5.9,5.5,0.2,3.9,0.7,0.1,Vegetables
570,13-512,"Cauliflower, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-215 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,174,41,0.4,0.09,4.3,2.9,0.2,1.8,2.5,0.02,Vegetables
573,13-219,"Celeriac, raw","Top and root trimmed, peeled",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,105,25,0.4,0.04,2.3,1.8,0.5,3.7,1.3,0.23,Vegetables
576,13-636,"Celery, raw","11 samples, UK, including whole heads, hearts and sticks, stem only",DG,13-451,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,48,12,0.1,0,1.4,1.4,0,1.5,0.5,0.19,Vegetables
582,13-223,"Chard, Swiss, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11",,101,24,0.2,0,2.7,0.6,2.1,2.1,1.8,0.53,Vegetables
732,13-225,"Chicory, pale variety, raw",Cichorium intybus.Stem and inner leaves,DG,50-763 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,80,19,0.6,0.2,0.9,0.7,0.2,4,0.6,0,Vegetables
860,13-627,"Courgette, raw","11 samples from UK and Spain, ends trimmed",DG,13-230,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,73,17,0.2,0.05,2.3,2.2,0.1,0.5,1.3,0,Vegetables
906,13-234,"Curly kale, raw",Main ribs and stalks removed,DG,50-768 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,172,41,1.6,0.2,1.4,1.3,0.1,3.8,3.4,0.11,Vegetables
856,13-668,"Courgette, dried",Calculated from 13-627,DI,17-413,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1298,308,3.6,0.9,41,39.4,1.6,9,23.3,0,Vegetables
557,15-638,"Casserole, vegetable, homemade",Recipe from dietary survey records,DR,15-368 ,Updated 2013,,242,57,0.4,0.07,10.1,5,4.8,2.4,2.1,0.09,Vegetables
564,15-637,"Cauliflower cheese, retail",Recipe and industry data,DR,,"Industry data, 2013; and recipe (15-384)",,378,91,5.8,N,4.7,1.9,2.8,1.6,4.2,0.5,Vegetables
738,15-719,"Chilli, bean and lentil, homemade",Recipe,DR,15-439 ,Updated 2014,,N,N,2.5,0.23,10.7,3.5,7.3,N,5.3,0.1,Vegetables
822,15-635,"Coleslaw, not low calorie, retail","8 samples, 7 products",DR,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,727,176,16.3,1.65,5.9,5.9,0,1.2,0.8,0.74,Vegetables
932,15-748,"Curry, chick pea, UK type, homemade",Recipe,DR,15-464 ,Updated 2014,,469,112,3.5,0.28,12.5,2.7,9.8,3.3,5.9,0.03,Vegetables
953,15-752,"Curry, egg, in sweet sauce, UK type, homemade",Recipe. Eggs in basic UK-type curry sauce. Recipe from review of recipe collection,DR,15-613 ,Updated 2014,,470,113,7.3,1.9,5,3.3,1.7,0.8,6.4,0.17,Vegetables
999,15-146,"Curry, red kidney bean, Punjabi, homemade",Recipe from dietary survey records.  Medium consistency,DR,,"Vegetable Dishes Supplement, 1992",,473,113,5.6,0.6,9.2,1.1,7.1,3.8,4.7,N,Vegetables
642,14-382,"Cherries, flesh and skin, raw","11 samples, UK and imported",FA,14-061,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,310,73,0.4,0.08,14.6,14.6,0,1.9,1.3,0,Fruit
772,14-326,"Citrus fruit, soft/easy peelers, flesh only","22 samples, early and late winter, including clementines, mandarins, satsumas and tangerines",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,206,49,0.2,0.04,9.3,9.3,0,1.5,0.8,0,Fruit
871,14-073,Cranberries,Analysis and literature sources; whole fruit,FA,,"Fruit and Nuts Supplement, 1992",,122,29,0.1,0,3.4,3.4,0,4.6,0.4,0.01,Fruit
909,14-074,Currants,"10 samples, 9 brands",FA,50-883 ,"LGC, Nutritional composition of fruit products, 1985-1986",,1223,288,0.4,0.06,67.7,67.7,0,1.9,2.3,0.04,Fruit
652,14-813,"Chestnuts, kernel only, raw",Analysis and literature sources,GA,50-977 ,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,764,181,2.7,0.5,33.6,6.7,26.9,6.8,2.3,0.03,Nuts and Seeds
785,14-889,"Coconut milk, retail",Estimated from 2013 label data,GA, ,"Industry data, 2013",,696,169,16.9,14.64,2.7,1.5,1.2,0.4,1.3,0,Nuts and Seeds
530,13-808,Caraway seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1381,334,14.6,0.6,11.8,0.6,11.2,38,19.8,0.04,Herbs and Spices
532,13-809,"Cardamom, ground",Literature sources,H,,"Vegetables, Herbs and Spices Supplement, 1991",,1190,285,6.7,0.68,33.8,4.3,29.5,23.1,10.8,0.05,Herbs and Spices
574,13-810,Celery seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1899,456,25.3,2.2,33,27,6,11.8,18.1,0.4,Herbs and Spices
650,13-811,"Chervil, dried",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1404,335,3.9,0.77,37.8,37.8,0,27.9,23.2,0.21,Herbs and Spices
736,13-873,Chilli powder,Literature sources,H,13-812 ,"USDA SR26, 2013",,1256,304,14.3,2.46,12.9,7.2,5.7,34.8,13.5,10,Herbs and Spices
