,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1161,11-899,"Flour, gari (cassava flour)","4 samples, 2 products",AA,,Flours and grains project 2005,,1528,360,0.2,0.04,86.5,0,82.5,4.6,0.8,0.01,Cereals and cereal products
1170,11-886,"Flour, wheat, white, plain, soft","14 samples, 12 products",AA,11-439 ,"LGC, Nutrient survey of flours and grains, 2005",,1505,355,1.4,0.44,73.6,0.6,73,4,10.0,0.01,Cereals and cereal products
1121,11-805,Fig Rolls,"10 samples, 5 products",AM,11-409 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1584,376,10.6,4.76,63.6,42.7,20.9,3.9,4.6,0.68,Cereals and cereal products
1153,11-814,"Flapjacks, retail","10 samples, 9 products",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1867,447,22.8,10.25,52.3,28.2,24.1,5.2,5.4,0.49,Cereals and cereal products
1181,12-528,"Fromage frais, virtually fat free, natural","7 samples, 6 brands",BN,12-371 ,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; vitamins and fats estimated from very low fat fromage frais 50-241",,206,48,0.1,0.1,4.4,4.2,0.2,0,7.5,0.09,Milk and milk products
1184,12-232,"Fruit fool, homemade",Recipe,BR,12-913 ,As Milk Products and Eggs Supplement (1989) 12-232. Fatty acid data is available for commercial fruit fool in Fatty Acid Supplement 12-913 (obsoleted) but is not comparableto this code.,,702,168,9.3,5.8,19,15.3,3.7,1.2,1.0,0.03,Milk and milk products
1118,13-241,"Fennel, Florence, raw",Inner leaves and bulb only,DG,50-770 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,83,20,0.2,0,1.8,1.7,0.1,3.1,0.9,0.03,Vegetables
1119,13-243,"Fenugreek leaves, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,203,49,0.2,0.05,4.6,2.8,1.8,4.9,4.6,0.19,Vegetables
1150,15-804,"Flan, vegetable, homemade","Recipe from dietary survey records and dissection of shop-bought samples, containing short crust pastry, carrots, broccoli, cheese, white sauce and onions",DR,15-372 ,"Updated 2014. Vitamin K1 from Bolton-Smith et al, Br. J. Nutr 83, 2000",,969,233,15.6,6.68,16.3,2.5,13.8,2.5,5.5,0.39,Vegetables
1199,15-807,"Fu-fu, yam, homemade",Recipe. West Indian/African dish. Yam and rice flour.,DR,15-525 ,Updated 2014,,640,151,0.3,0.09,34.1,0.6,33.5,1.5,2.2,0.04,Vegetables
1126,14-091,"Figs, whole green fruit, raw",Analysis and literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,210,50,0.3,0.1,9.6,9.6,0,1.5,1.3,0.01,Fruit
1182,14-336,"Fruit cocktail, canned in juice, whole contents","10 samples, 6 brands.  Drained proportion = 0.65",FA,14-096 ,"LGC, Nutritional composition of fruit products, 1985-1986; LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,221,52,0.0,0,11.7,11.7,0,1,0.4,0.01,Fruit
1196,14-333,"Fruit salad, homemade","Recipe, including apples, oranges, bananas, kiwi fruit, grapes, strawberries, sugar and water",FA,14-303 ,Recipe from NDNS survey. Updated  2013,,284,67,0.3,0.06,14.1,13.8,0.3,1.4,0.7,0,Fruit
1130,16-405,"Fish fingers, cod, grilled/baked","10 samples, 7 products, frozen",JR,16-288 ,"DH, Nutrient analysis of fish and fish products, 2013",,942,225,9.2,1.19,20.2,1.4,18.7,2,14.3,0.79,Fish and fish products
1134,16-458,"Fishcakes, cod, homemade",Recipe,JR,16-352 ,Updated 2014,,978,235,14.7,1.31,13.8,0.6,13.2,0.7,11.4,0.23,Fish and fish products
1176,19-495,Frankfurter,"10 samples, 7 brands of continental style frankfurters. 75-90% meat",MI,,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,1189,287,25.4,9.2,1.1,1.1,0,0.1,13.6,1.83,Meat and meat products
1104,19-131,"Faggots in gravy, retail, reheated","8 samples, 3 brands. 11-35% meat, chilled and frozen",MR,50-509  ,"Reviewed 2013. LGC, Nutritional analysis of meat and poultry products, 1994-1995",,615,147,7.5,2.5,11.6,1.7,9.8,0.2,8.2,1.35,Meat and meat products
