,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1217,11-1079,"Gingerbread, homemade",Recipe,AN,11-644 ,Updated 2014,,1587,377,11.3,3.74,62,33.5,28.5,1.7,6.0,0.63,Cereals and cereal products
1208,12-502,Ghee made from vegetable oil,"5 samples, 3 products",BTM,17-009 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,3702,901,100.0,46.72,0,0,0,0,0.1,0,Milk and milk products
1204,13-244,"Garlic, raw",Peeled cloves,DG,50-772 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,444,105,0.6,0.1,14.9,1.6,13.4,4.1,7.9,0.01,Vegetables
1211,13-245,"Gherkins, raw",5 samples. Ends trimmed,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,61,15,0.1,0,1.8,1.6,0.2,1.3,1.0,0.03,Vegetables
1244,13-608,"Green beans, dried",Calculated from raw beans (13-514),DI,17-415 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1331,319,4.4,0.82,31.1,22.6,8.5,35,21.2,0,Vegetables
1221,14-100,"Gooseberries, cooking, raw",Tops and tails removed,FA,50-895 ,"LGC, Nutritional composition of fresh fruit, 1985-1986",,136,33,0.4,0.04,2.9,2.9,0,4.3,1.1,0.01,Fruit
1236,14-384,"Grapefruit, flesh only, raw","11 samples, imported, pink, red and white",FA,14-292,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,173,41,0.5,0.07,6.8,6.8,0,0.9,0.9,0,Fruit
1240,14-322,"Grapes, green","21 samples, seedless, autumn and winter, including Crimson, Flame",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,300,71,0.2,0.07,15.2,15.2,0,1.2,0.7,0,Fruit
1255,14-118,"Guava, flesh only, raw",Literature sources,FA,50-905 ,"Fruit and Nuts Supplement, 1992",,166,40,0.5,0.13,5,4.9,0.1,4.9,0.8,0.01,Fruit
1201,13-829,Garam masala,Literature sources,H,50-841 ,"Wharton et al. (1983) Sorrento Asian food tables: food tables, recipes and customs of mothers attending Sorrento Maternity Hospital, Birmingham, England",,1668,399,15.1,2.2,41.1,1.2,39.9,18.1,15.6,0.24,Herbs and spices
1203,13-830,Garlic powder,Literature sources and calculation from fresh,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2, and calculation from raw",,1108,262,1.2,0.2,39.1,4.1,35,9.9,18.8,0.05,Herbs and spices
1215,13-890,"Ginger, fresh",Literature sources,H,13-831 ,"USDA SR26, 2013",,204,49,0.8,0.2,7.5,1.7,5.8,2,1.8,0.03,Herbs and spices
1216,13-832,"Ginger, ground",3 samples and literature sources,H,13-865 ,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991 (13-832) with fatty acids from LGC (1987) and phytosterols from 13-865, and Marsh et al (1977) Composition of foods: spices and herbs, raw, processed and prepared",,1319,313,3.3,1.57,56.3,19.8,36.5,14.1,7.4,0.09,Herbs and spices
1209,17-640,"Ghee, butter","10 samples, 7 retail, 3 homemade",OF,17-007 ,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,3613,879,97.6,58.42,0,0,0,0,0.1,0,Meat and meat products
1233,17-745,"Grape juice, unsweetened","10 samples, 6 brands; 100% red juice",PE,14-273 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,298,70,0.1,0,16,16,0,0,0.3,0.02,Beverages
1218,17-049,"Glucose liquid, BP",1 sample,SC,50-1000 ,"MW4, 1978. Values reviewed for Miscellaneous Foods Supplement, 1994",,1372,323,0.0,0,80.7,33,0,0,0.0,0.38,"Sugars, preserves and snacks"
1254,17-797,"Guacamole, homemade",Recipe,WC,17-580 ,Updated 2014,,535,130,12.7,2.67,1.3,1.3,0,2.5,1.4,0.01,"Soups, sauces and miscellaneous foods"
1207,17-360,Gelatine,Literature sources,WY,50-1176 ,"Reviewed 2013. Lewis and English (1990) Composition of foods, Australia. Volume 5, nuts and legumes, beverages, miscellaneous foods. Department of Community Services and Health, Canberra",,1615,380,0.0,0,0,0,0,0,95.0,0.83,"Soups, sauces and miscellaneous foods"
1242,17-724,Gravy instant granules,"7 samples, 3 brands",WY,17-310 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,1691,403,16.1,10.66,59.3,5,N,1.6,4.4,13.25,"Soups, sauces and miscellaneous foods"
