,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1327,11-1084,"Hot cross buns, homemade",Recipe,AP,11-590 ,Updated 2014,,1280,303,5.8,1.95,53.9,22.1,31.7,1.9,7.9,0.19,Cereals and cereal products
1329,13-556,Houmous,Chick pea spread,DB,13-433 ,"Industry data, 2013",,1306,316,26.7,2.48,9.6,0.6,8.5,4.9,6.8,1.03,Vegetables
1326,13-258,"Horseradish, raw",Flesh of root,DG,,"MW4, 1978. Values revised for Vegetables, Herbs and Spices Supplement, 1991",,324,77,0.3,0.1,10.4,7,3.4,7.5,4.5,0.02,Vegetables
1300,14-874,"Hazelnuts, kernel only",10 samples,GA,14-821 14-869 50-980  ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990; fatty acids from Fatty Acids Supplement, 1998; selenium from Analysis of foods for Selenium 1994",,2783,674,63.5,4.55,5.6,3.8,1.8,6.9,16.6,0.02,Nuts and seeds
1271,16-375,"Haddock, flesh only, raw","11 samples, 11 products, frozen and chilled",JA,16-044 16-051 ,"DH, Nutrient analysis of fish and fish products, 2013",,318,75,0.4,0.09,0,0,0,0,17.8,0.17,Fish and fish products
1286,16-070,"Hake, flesh only, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,387,92,2.2,0.3,0,0,0,0,18.0,0.25,Fish and fish products
1294,19-496,Ham,"10 samples, 9 brands; loose and prepacked including honey roast and smoked Ham. Added water 10-15%",MAA,19-308 ,"LGC, Nutrient analysis of foods important in elderly people, 1994; and industry data, 2013",,452,107,3.3,1.1,1,1,0,0.1,18.4,2,Meat and meat products
1283,19-132,"Haggis, boiled",8 samples,MI,50-512 ,"Reviewed 2013. MW4, 1978",,1289,310,21.7,7.6,17.5,0,17.5,1,10.7,1.93,Meat and meat products
1328,19-522,"Hot pot, lamb/beef with potatoes, retail, reheated","10 samples, 6 brands of beef, lamb and Lancashire hot pot.  10-32% meat, chilled and frozen",MR,19-231 ,"LGC, Nutritional analysis of meat and poultry products, 1994-1995; and industry data, 2013",,465,111,4.4,1.7,9.7,1,8.7,1.9,7.2,0.5,Meat and meat products
1324,17-731,"Horlicks, powder",Manufacturer's data (GlaxoSmithKline),PAA,17-503 ,"Industry data, 2013; and MW5, 1991 (50-1069) for sugars. Fibre fractions from 12-097",,1623,383,3.1,1.3,77.7,37,40.7,3.4,9.4,1.25,Beverages
1319,17-050,Honey,8 samples; assorted types,SC,50-1001 ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,1305,307,0.0,0,76.4,76.4,0,0,0.4,0.03,"Sugars, preserves and snacks"
1318,17-800,"Hollandaise sauce, homemade",Recipe,WC,17-610 ,Updated 2014,,2977,723,77.9,46.36,0.5,0.5,0,0.1,5.1,1.58,"Soups, sauces and miscellaneous foods"
