,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1386,12-605,"Knickerbocker glory, homemade","Recipe, containing raspberry sauce, peaches, ice cream, UHT canned spray cream and flaked almonds",BP,12-213 ,Updated 2014,,521,125,6.3,2.83,13.7,13.6,0.1,1.3,2.6,0.08,Milk and milk products
1391,12-606,"Kulfi, homemade",Indian ice cream. Recipe,BP,12-450 ,Updated 2014,,1902,460,42.4,24.22,13.4,13.2,0.2,0.5,5.9,0.14,Milk and milk products
1390,13-261,"Kohl rabi, raw",Peeled thickly,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,126,30,0.2,0,3.7,3.6,0.1,3.6,1.6,0.01,Vegetables
1367,15-809,Khadhi,Recipe. Gujerati dish. Yogurt with chick pea flour and spices.,DR,15-526 ,Updated 2014,,248,59,2.8,1.6,4.9,3,1.8,0.5,3.4,0.09,Vegetables
1384,14-371,"Kiwi fruit, flesh only, raw","11 samples, imported. Including flesh and seeds",FA,14-293,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,230,55,0.9,0.07,8.6,8.3,0.3,2.7,0.8,0,Fruit
1392,14-125,"Kumquats, whole fruit, raw",Analysis and literature sources; whole fruit,FA,,"Fruit and Nuts Supplement, 1992",,256,61,0.5,0.1,9.1,9.1,0,6.5,0.9,0.02,Fruit
1363,16-081,"Kalabasu, raw",Literature sources. Imported frozen from Bangladesh,JA,,Gopalan and Sastri (1980) Nutritive value of Indian foods,,287,68,1.0,0.38,0,0,0,0,14.7,0.09,Fish and fish products
1364,16-186,"Katla, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan and Sastri (1980) Nutritive value of Indian foods, and literature sources",,420,100,2.4,1.67,0,0,0,0,19.5,0.13,Fish and fish products
1382,16-397,"Kippers, flesh only, grilled","7 samples, 7 products, frozen and chilled",JC,16-188 ,"DH, Nutrient analysis of fish and fish products, 2013",,1020,245,17.6,3.74,0,0,0,0,21.7,2.37,Fish and fish products
1375,18-402,"Kidney, lamb, raw",10 samples,MG,50-477 ,"LGC, Carcase meat and offal survey, 1982-1983",,385,91,2.6,0.9,0,0,0,0,17.0,0.38,Meat and meat products
