,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1515,12-373,"Lassi, sweetened","5 samples, takeaway and retail",BN,12-892 ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats as Fatty Acid Supplement (1998) 12-892","Yakult (fermented skimmed milk drink) contains 1.2g protein, 0.1g fat, 18.0g carbohydrate and 77kcal/322kJ energy per 100ml",276,65,0.9,0.59,11.7,11.4,0.2,0,2.6,0.11,Milk and milk products
1582,12-390,"Lollies, containing ice-cream",3 samples,BP,,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,502,119,3.8,2.07,20.1,20.1,0,0,1.2,0.08,Milk and milk products
1583,12-389,"Lollies, with real fruit juice","10 samples, 6 brands, assorted flavours",BP,,"Reviewed 2013. ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,316,74,0.3,N,17.8,17,0,0,0.1,0.03,Milk and milk products
1549,13-089,"Lentils, green and brown, whole, dried, raw","10 samples, 6 brands. Continental type",DB,50-710 ,"LGC, Fruit and Vegetables, 1989-1990",,1263,299,1.9,0.2,41.6,1.1,40.5,17.3,24.4,0.03,Vegetables
1521,13-624,"Leeks, raw","11 samples, UK, trimmed and damaged outer leaves removed",DG,13-466,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,124,30,0.2,0.04,4.1,3.8,0.3,2.8,1.5,0,Vegetables
1552,13-520,"Lettuce, average, raw","22 samples, autumn and winter, UK grown and imported, including shredded, Iceberg, Romaine and Little Gem",DG,13-453 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,60,14,0.1,0.03,1.4,1.4,0,1.5,1.2,0.02,Vegetables
1588,13-271,"Lotus tubers, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,258,61,0.1,0,10.5,5.5,5,4.9,2.1,0.07,Vegetables
1513,15-651,"Lasagne, vegetable, retail",8 assorted samples; cooked in conventional and microwave ovens according to packet directions,DR,15-189 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,N,N,5.3,N,12.4,4.3,8.2,N,4.8,0.53,Vegetables
1538,14-128,"Lemons, whole, without pips",Includes peel but no pips. Analysis and literature sources,FA,50-910 ,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,181,43,0.3,0.1,3.2,3.2,0,4.7,1.0,0.01,Fruit
1556,14-131,"Limes, flesh only",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,121,29,0.3,0.1,0.7,0.7,0,2.8,0.7,0.01,Fruit
1579,14-133,"Loganberries, raw",Whole fruit,FA,,"MW4, 1978. Values revised for Fruit and Nuts Supplement, 1992",,152,36,0.0,0,3.4,3.4,0,5.6,1.1,0.01,Fruit
1527,14-278,"Lemon juice, fresh, weighed as whole fruit",Calculated from 14-277,FC,,"MW4, 1978. Values reviewed and revised for Fruit and Nuts Supplement, 1992",,33,8,0.0,0,0.6,0.6,0,0.1,0.1,0,Fruit
1577,16-332,"Lobster, boiled",Boiled in fresh water,JK,16-236 50-637 ,"Fish and Fish Products Supplement, 1993; selenium calculated from raw (Analysis of foods for Selenium 1994)",,435,103,1.6,0.2,0,0,0,0,22.1,0.83,Fish and fish products
1399,18-478,"Lamb, average, raw, lean and fat",Calculated from 83% lean and 17% fat,MAE,18-123 50-404  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,779,187,12.3,5.36,0,0,0,0,19.1,0.15,Meat and meat products
1410,18-111,"Lamb, breast, raw, lean",10 samples,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,748,179,11.2,5.2,0,0,0,0,19.6,0.22,Meat and meat products
1418,18-115,"Lamb, chump chops, raw, lean and fat",Calculated from 77% lean and 23% fat,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1006,242,18.8,8.8,0,0,0,0,18.3,0.14,Meat and meat products
1461,18-481,"Lamb, mince, raw",10 samples,MAE,18-158 ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994; vitamin D from LGC, Determination of 25-OH vitamin D in selected foodstuffs, 1997",,817,196,13.3,6.2,0,0,0,0,19.1,0.17,Meat and meat products
1572,18-413,"Liver, lamb, raw",10 samples,MG,50-487 18-442 ,"LGC, Carcase meat and offal survey, 1982-1983; fatty acid fractions from 18-442",,575,137,6.2,1.7,0,0,0,0,20.3,0.18,Meat and meat products
1590,19-136,"Luncheon meat, Chinese, steamed","10 samples from different shops, steamed for 15 minutes",MI,,"Meat Products and Dishes Supplement, 1996",,1097,265,22.3,8.7,4.1,0,4.1,0,11.9,1.7,Meat and meat products
1508,17-010,Lard,"6 samples, 3 brands",OF,50-318  ,"Reviewed 2013. MW1, 1940; Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,3663,891,99.0,40.3,0,0,0,0,0.0,0.01,Fats and oils
1534,17-179,Lemonade,"10 samples, 8 brands",PCA,50-1081 ,"Reviewed 2013. LFRA, Nutritional analysis of soft drinks, 1993",,96,23,0.0,0,5.7,5.7,0,0,0.0,0.02,Beverages
1589,17-761,Lucozade,"Including lemon, orange and tropical flavours",PCA,17-543 ,"MSF supplement, 1994; and industry data, 2013",,266,63,0.0,0,15.6,11.1,0,0,0.0,0.07,Beverages
1396,17-751,"Lager, premium","Approx. 5% ABV, 10 samples including Bitburger Pils, San Miguel, Stella Artois, Bud, Kronenbourg, Grolsch, Beck's and Carlsberg Export",QA,17-211 ,"Estimated from standard lager and industry data, 2013",,118,29,0.0,0,0,0,0,0,0.3,0.02,Beverages
1560,17-244,"Liqueurs, high strength","30-40% ABV. 5 samples including Pernod, Drambuie, Cointreau, Grand Marnier and Southern Comfort",QI,,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,1321,316,0.0,0,23.5,23.5,0,0,0.0,0.02,Beverages
1562,17-777,Liquorice allsorts,"7 samples, 4 brands",SEC,17-112 ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992; fatty acids from 17-446",,1433,339,5.2,3.6,68.4,59.8,8.5,2,3.7,0.14,"Sugars, preserves and snacks"
