,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
1773,11-823,"Oatcakes, plain, retail","10 samples, 7 products, Nairns and own label",AM,11-518 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1958,468,20.0,5.67,57.2,3,54.2,9.4,10.0,1.99,Cereals and cereal products
1796,13-300,"Okra, raw",Analysis and literature sources. Ends trimmed,DG,50-789 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,159,38,1.0,0.3,2.8,2.4,0.5,4,2.5,0.02,Vegetables
1816,13-499,"Onions, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-304 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,170,40,0.1,0,7.8,6.1,0,2.2,1.0,0.01,Vegetables
1798,14-340,"Olives, green, in brine, drained, flesh and skin","Bottled, drained; flesh and skin, green",FA,14-173 ,"MW1, 1940; and industry data, 2013. Individual fatty acid data from a different sample with a different fatty acid profile is available from 14-854",,454,111,11.0,1.7,0,0,0,4,0.9,3.33,Fruit
1822,14-327,"Oranges, flesh only","22 samples, early and late winter, including Navel and Valencia",FA,14-298 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,183,43,0.2,0.05,8,8,0,1.2,0.8,0,Fruit
1819,14-369,"Orange juice, freshly squeezed",Strained juice from fresh oranges,FC,14-281 ,"Fruit and Nuts Supplement, 1992; and estimated from 14-327",,165,39,0.0,0,8,8,0,0.3,0.6,0.01,Fruit
1824,13-878,"Oregano, dried, ground",Literature sources,H,13-842 ,"USDA SR26, 2013",,1100,265,4.3,1.55,26.4,4.1,22.3,42.5,9.0,0.06,Herbs and Spices
1774,16-259,"Octopus, raw",Literature sources,JM,,"Fish and Fish Products Supplement, 1993",,352,83,1.3,0.3,0,0,0,0,17.9,0.58,Fish and fish products
1834,16-260,"Oysters, raw",Analytical and literature sources,JM,16-311 ,"As Fish and Fish Products Supplement, 1993 (16-260) with fatty acids from Fatty Acid Supplement 1998 (16-311)",,231,55,1.3,0.2,0,0,0,0,10.8,1.28,Fish and fish products
1833,18-419,"Oxtail, raw",12 samples,MG,,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,714,171,10.1,4.2,0,0,0,0,20.0,0.28,Meat and meat products
1775,17-031,"Oil, coconut",Mean of 35 samples,OC,50-320  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,86.5,0,0,0,0,0.0,0,Fats and oils
1783,17-039,"Oil, palm",Mean of 55 samples,OC,50-325  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,47.8,0,0,0,0,0.0,0,Fats and oils
1788,17-044,"Oil, soya",Mean of 39 samples,OC,50-331  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,15.6,0,0,0,0,0.0,0,Fats and oils
1789,17-045,"Oil, sunflower",Mean of 46 samples,OC,50-332  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,12,0,0,0,0,0.0,0,Fats and oils
1790,17-686,"Oil, vegetable, average",Based on rapeseed oil - most vegetable oils are made from rapeseed oil,OC,17-489 ,"Miscellaneous Foods Supplement, 1994; and FA Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,6.6,0,0,0,0,0.0,0,Fats and oils
1830,17-734,"Ovaltine, powder","6 samples, Manufacturer's data",PAA,17-504 ,"Industry data, 2013; folate from LGC, added folic acid in supplements and fortified foods, 1995. Fibre from 12-108",,1546,365,1.9,1.4,77.6,46,31.6,4.3,7.1,0.3,Beverages
