,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
2050,11-936,"Pizza, cheese and tomato, retail","11 samples, 10 products, frozen and chilled, all bases, not stuffed crust",A,11-553 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1154,275,9.8,4.12,33,3.7,29.3,2.9,12.2,0.99,Cereals and cereal products
2174,11-788,"Porridge oats, unfortified","18 samples, 10 products, Quaker and other/own brands",A,11-017 ,"LGC, Nutrient survey of breakfast cereals, 2004",,1654,392,8.1,1.28,64.3,0.3,64,7.8,11.7,0,Cereals and cereal products
1888,11-450,"Pasta, plain, fresh, boiled","12 Samples, 8 brands including spaghetti, tagliatelle, lasagne, linguine and fusilli",AD,11-397  ,"RHM (1995) Nutrient content of selected foods, Food Surveillance Information Sheet No. 70, with fats as Fatty Acids Supplement (1998) 11-397.",,675,160,1.5,0.28,28.9,0.6,27.9,1.9,6.6,0.04,Cereals and cereal products
1890,11-735,"Pasta, spaghetti, canned, in tomato sauce","10 samples, 9 products",AD,11-357 ,"LGC, Nutrient analysis of pasta and pasta sauces, 2004; and industry data, 2013",,314,74,0.3,0.05,15.1,5.4,9.7,0.9,2.3,0.48,Cereals and cereal products
1859,11-998,"Papadums, takeaway",10 samples from different outlets,AF,11-464 ,"Aspland and James, Nutrient analysis of ethnic and takeaway foods, 1997; fatty acids as Fatty Acids Supplement 17-447. Riboflavin from Cereals and Cereal Products Supplement, 1988",,2119,511,38.8,7.95,25.7,0,25.7,6.3,11.5,N,Cereals and cereal products
1915,11-853,"Pastry, shortcrust, retail, cooked","Calculated from uncooked, using weight loss of 17.2%",AO,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",Calculated from uncooked using 17.2% weight loss,2299,553,37.9,14.1,43.2,1,42.3,4.1,7.6,0.68,Cereals and cereal products
1900,11-844,"Pastries, chocolate eclairs, cream filled, retail","10 samples, 7 products",AP,11-247 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1624,391,28.5,13.59,26.8,23,3.8,1.4,6.1,0.31,Cereals and cereal products
1854,11-1141,"Pancakes, sweet, made with skimmed milk, homemade",Recipe,AS,11-702 ,Updated 2014,,992,236,7.4,1.22,35.2,16.2,19,1,6.6,0.13,Cereals and cereal products
1998,11-921,"Pie, apple, pastry, double crust, retail","11 samples, 11 products, chilled and frozen",AS,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1038,248,12.9,4.04,28,6.8,21.1,2.6,3.8,0.4,Cereals and cereal products
2011,11-847,"Pie, fruit, individual, retail","10 samples, 7 products, including apple, apple and blackcurrant and cherry",AS,11-547 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1559,371,13.7,4.87,56.4,30.1,26.3,4.3,3.4,0.29,Cereals and cereal products
2270,11-1119,"Pudding, sponge, homemade",Recipe,AS,11-706 ,Updated 2014,,1381,329,14.6,4.82,42.8,17.6,25.2,1.4,6.0,0.75,Cereals and cereal products
2239,11-1023,"Prawn crackers, takeaway",10 samples from different outlets,AT,11-551 ,"Aspland and James, Nutrient analysis of ethnic and takeaway foods, 1997; fatty acids from supplement as 17-448",,2357,566,39.0,3.64,53,2.1,50.9,0.9,0.3,1.92,Cereals and cereal products
2265,12-553,"Pudding, rice, canned, low fat","10 samples, 6 brands",BR,12-407 ,"Reviewed 2013. RHM, Nutrient content of selected foods, 1995; inorganics and vitamins estimated from rice pudding canned",,345,81,0.8,0.5,15,8.4,6.5,0.1,3.5,0.11,Milk and milk products
2234,13-534,"Potatoes, old, roasted in rapeseed oil","Calculated from raw, parboiled for 5-10 minutes and roasted for 50 minutes. Water and fat analysed, 2013. Most unspecified vegetable oils are made from rapeseed oil",DA,,"DH, Nutrient analysis of fruit and vegetables, 2013",,687,164,5.7,0.4,24.1,1.2,22.9,2.7,2.6,0.01,Vegetables
2197,13-487,"Potato chips, oven ready, no batter, baked","11 samples, 10 products, straight cut and crinkle cut",DAP,13-029 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,812,193,4.9,0.78,32.3,1.1,31.2,3.5,3.2,0.08,Vegetables
