,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
2517,11-903,"Semolina, raw","6 samples, 5 products",AA,11-024 ,Nutrient survey of flours and grains 2005,,1482,349,1.6,0.23,70.7,0.5,70.3,2.9,11.6,0,Cereals and cereal products
2438,11-955,"Sandwich, white bread, bacon, lettuce and tomato",Recipe from University of North London survey of commercial sandwiches,AB,11-563 ,University of North London 1997. Recalculated in 2013,,973,233,11.9,2.46,21.9,2.2,19.7,1.5,8.7,1.19,Cereals and cereal products
2534,11-802,Shortbread,"10 samples, 7 products",AM,11-523 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,2162,517,29.0,17.45,57.1,14.9,42.3,2.2,5.9,0.8,Cereals and cereal products
2509,11-544,"Scotch pancakes, retail","6 samples, 4 brands",AP,11-270 50-148 ,"LGC, Nutrient analysis of bread and morning goods, 1999",,1160,276,9.6,0.74,40.2,20.6,19.5,1.9,6.3,1.05,Cereals and cereal products
2621,11-919,"Strudel, fruit filled, retail, frozen","12 samples, 7 products",AS,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1060,254,13.5,5.02,27.3,10.5,16.7,5.4,3.0,N,Cereals and cereal products
2622,17-371,"Stuffing mix, dried","10 samples, 4 brands; assorted flavours",AT,50-178 ,"Miscellaneous Foods Supplement, 1994",,1458,345,5.2,2.4,61.4,4.3,57.1,6.8,9.9,3.65,Cereals and cereal products
2582,13-521,"Spinach, baby, raw","16 samples, autumn and winter, UK grown and imported",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,78,19,0.6,0.08,0.2,0,0.2,1,2.6,0.08,Vegetables
2639,13-359,"Swede, flesh only, raw",Peeled thinly,DG,50-819 ,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",,131,31,0.3,0,5,4.9,0.1,2.9,0.7,0.04,Vegetables
2644,13-672,"Sweet potato, baked",Literature sources and calculation from raw,DG,13-363,"Vegetables, Herbs and Spices Supplement, 1991",,529,125,0.4,0.2,26.1,13.9,12.2,5.2,1.6,0.13,Vegetables
2651,13-529,"Sweetcorn kernels, canned in water, drained","12 samples, 8 brands, no added salt or sugar",DG,13-459 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,356,85,1.7,0.27,13,7.2,5.6,3.1,2.6,0,Vegetables
2658,13-622,"Sweetcorn, kernels, raw",IFR; removed from cob,DG,13-368 ,"Vegetables, Herbs and Spices Supplement, 1991; and calculated from 13-508",,275,66,1.8,0.2,7.5,2,5.4,2.3,3.4,0,Vegetables
2402,15-872,"Salad, pasta, vegetables and mayonnaise",Recipe from dietary survey records,DR,15-590 ,Updated 2014,,639,153,7.9,0.76,15.9,1.9,14,1.4,3.9,0.06,Vegetables
2528,15-883,"Shepherd's pie, vegetable",Recipe. Vegetable and lentil base with potato topping. Recipe from review of recipe collection,DR,15-602 ,Updated 2014,,482,115,3.9,0.3,14.2,1.5,12.7,2.4,4.6,0.01,Vegetables
2637,15-617,"Sushi, vegetable","10 samples, 9 products",DR,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,631,149,1.3,N,30.2,6.8,23.3,1.6,3.4,1.3,Vegetables
2605,14-059,Star fruit,Carambola. Analysis and literature sources; ends trimmed,FA,,"Fruit and Nuts Supplement, 1992",,182,43,0.3,0.1,7.2,7.1,0.2,2.8,0.5,0.01,Fruit
2620,14-324,"Strawberries, raw","19 samples, summer and autumn, UK grown and imported, including Elsanta, Sonata, Ava, Portola and unspecified varieties",FA,14-260 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,178,42,0.5,0.04,6.1,6.1,0,3.8,0.6,0,Fruit
2633,14-845,Sunflower seeds,Analysis and literature sources,GA,50-995 14-859 ,"Reviewed 2013. LGC, Fatty acid composition of foods, 1987; and Fruit and Nuts Supplement, 1992",,2513,606,47.5,6.58,17,1.6,14.8,8.6,23.4,0.01,Nuts and seeds
2393,13-852,Saffron,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1489,353,5.9,1.59,61.5,44.1,17.4,3.9,11.4,0.38,Herbs and spices
2394,13-854,"Sage, dried, ground",Literature souces,H,50-850 ,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1549,372,12.7,7,38.8,1.7,37.1,29.9,10.6,0.03,Herbs and spices
2530,17-236,"Sherry, medium","15-19.5% ABV. 8 samples; including Spanish, British, Cyprus, own label",QF,50-1115 ,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984. Additional data from 50-1115",,488,117,0.0,0,5.9,5.9,0,0,0.1,0.07,Alcoholic beverages
