,Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Super Group
2739,11-925,"Tortilla, wheat, soft","8 samples, 6 products",AF,11-632 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,1220,289,5.7,2.5,49.1,1.9,47.2,3.6,8.6,1.56,Cereals and cereal products
2690,11-845,"Tarts, bakewell, iced, retail","10 samples, 7 products, including large, slices and individual cherry bakewells",AS,11-426 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1746,416,16.8,6.94,62.2,43.4,18.8,1.1,3.4,0.33,Cereals and cereal products
2795,12-547,Tzatziki,Yogurt-based Greek starter. Recipe,BN,12-410 ,Updated 2013,,321,77,5.5,3.58,3.4,3,0.4,0.3,3.4,0.92, Milk and milk products
2715,13-570,"Tofu, soya bean, steamed",Soya bean curd; 7 assorted samples,DB,13-119 ,"Vegetables, Herbs and Spices Supplement, 1991",,305,73,4.2,0.5,0.6,0.2,0.3,0.4,8.1,0.01, Vegetables
2721,13-530,"Tomatoes, canned, whole contents","12 samples, 9 brands, whole and chopped, no added salt",DG,13-461 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,94,22,0.1,0.01,3.8,3.8,0,0.8,1.1,0.01,Vegetables
2726,13-517,"Tomatoes, standard, raw","22 samples, autumn and winter, UK grown and imported, 'on the vine' and loose",DG,13-460 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,71,17,0.1,0.03,3,3,0,1,0.5,0.01,Vegetables
2793,13-389,"Turnip, flesh only, raw",Peeled thinly,DG,50-833 ,"As Vegetables, Herbs and Spices Supplement, 1991 (13-391), Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",,128,31,0.3,0,4.8,4.6,0.2,2.4,0.9,0.04,Vegetables
2669,14-847,Tahini paste,Literature sources and calculation from 14-844,GA,50-996 ,"Reviewed 2013. McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared, Agriculture Handbook No, 8-12, and calculation from 14-844",,2639,639,58.9,8.4,0.8,0.4,0.5,9.3,21.8,0.05,Nuts and seeds
2706,14-848,Tigernuts,Literature sources,GA,,"Fruit and Nuts Supplement, 1992",,1811,435,23.8,4,42.2,15.3,26.9,17.4,4.3,0,Nuts and seeds
2740,14-849,Trail mix,10 samples; mix of nuts and dried fruit,GA,50-1041 ,"Reviewed 2013. LGC, Nutritional composition of fruit products, 1985-1986; and industry data, 2013",,1880,451,28.5,5.37,37.1,37,0.1,5.1,9.1,0.07,Nuts and seeds
2683,13-858,"Tarragon, dried, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1374,326,7.2,1.88,38.9,8.2,30.7,7.4,22.8,0.16,Herbs and spices
2704,13-883,"Thyme, dried, ground",Literature sources,H,13-860 ,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2; and data from USDA SR26, 2013",,1383,332,7.4,2.7,38.7,1.7,37,37,9.1,0.14,Herbs and spices
2790,13-861,"Turmeric, ground",Literature sources,H,,"Vegetables, Herbs and Spices Supplement, 1991",,1467,350,7.0,2.9,53.7,3.2,50.5,22.7,6.7,0.08,Herbs and spices
2707,16-154,"Tilapia, raw",Literature sources. Type of bream,JA,,"Fish and Fish Products Supplement, 1993",,358,85,1.5,0.3,0,0,0,0,17.8,0.13,Fish and fish products
2749,16-224,"Trout, brown, raw",Analytical and literature sources,JC,,"Fish and Fish Products Supplement, 1993",,470,112,3.8,0.84,0,0,0,0,19.4,0.14,Fish and fish products
2757,16-416,"Tuna, canned in brine, drained","11 samples, 10 products",JC,16-339 ,"DH, Nutrient analysis of fish and fish products, 2013",,460,109,1.0,0.3,0,0,0,0,24.9,0.73,Fish and fish products
2784,18-352,"Turkey, whole, raw","Calculated from 49% light meat, 39% dark meat and 13% skin",MCO,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,560,133,5.2,1.7,0,0,0,0,21.6,0.18,Meat and meat products
