Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-001,Arrowroot,2 samples from different shops,AA,,"MW3, 1960. Reviewed 2014",,12.2,0.07,0.4,0.1,94.0,355,1515,94.0,,Tr,Tr,,0.0,Tr,0.0,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
11-003,"Barley, pearl, boiled","2 samples from different shops, boiled in water",AA,,"MW4, 1978. Reviewed 2014",,69.6,0.46,2.7,0.6,27.6,120,510,27.6,,Tr,Tr,,Tr,Tr,Tr,0.0,,N,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
11-002,"Barley, pearl, raw",2 samples from different shops; literature sources,AA,  ,"MW4, 1978. Reviewed 2014",,10.6,1.35,7.9,1.7,83.6,360,1535,83.6,,Tr,Tr,,Tr,Tr,Tr,0.0,,N,,,,N,0.70,N,0.07,N,0.14,,,N,0.77,,,N,0.29,0.00,0.00,0.00,0.00,,Unknown,Unknown
11-906,"Bran, wheat","5 samples, 4 products",AA,11-005 ,"LGC, Nutrient survey of flours and grains, 2005",,10.4,2.35,14.8,5.5,20.6,186,785,18.3,,2.3,Tr,,Tr,2.3,Tr,0.0,0.0,33.0,41.3,19.83,0.89,58.60,2.64,4.82,0.21,16.36,0.74,16.39,0.74,63.60,2.86,63.78,2.86,19.83,0.89,,,0.22,0.02,0.0,Unknown,Unknown
11-006,"Buckwheat, groats",Literature sources,AA,,"Cereals and Cereal Products Supplement, 1988. Reviewed 2014",,13.2,1.30,8.1,1.5,84.9,364,1522,84.5,,0.4,Tr,,Tr,Tr,Tr,0.0,,2.1,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
11-011,"Cornmeal, sifted",Analytical and literature sources,AA,,Wu Leung et al. (1968) Food composition table for use in Africa. Reviewed 2014,,12.2,1.50,9.4,3.3,73.1,368,1540,N,,N,N,,N,N,N,0.0,,2.2,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
11-1138,Custard powder,"Taken as cornflour (11-1045) except Na, Cl and Cu",AA,,"LGC, Nutrient survey of flours and grains, 2005; MW4, 1978; and industry data, 2014",,12.5,0.09,0.6,0.7,92.0,354,1508,92.0,,Tr,Tr,,0.0,Tr,0.0,0.0,0.0,0.1,N,,0.10,,,,,,,,0.10,,,,0.30,,,,,,0.00,0.0,Unknown,Unknown
11-895,"Flour, chapati, brown","7 samples, 5 products",AA,11-433 ,"LGC, Nutrient survey of flours and grains, 2005",,11.2,1.81,10.3,1.9,73.0,332,1413,71.9,,1.1,Tr,,Tr,0.9,0.2,0.0,0.0,7.3,7.9,22.71,0.29,58.81,0.75,4.11,0.05,14.04,0.18,14.06,0.18,63.07,0.80,63.22,0.80,22.71,0.29,,,0.17,Tr,0.0,Unknown,Unknown
11-894,"Flour, chapati, white","7 samples, 6 products",AA,11-434 ,Nutrient survey of flours and grains 2005,,11.8,1.70,9.7,1.4,78.3,345,1470,77.7,0.0,0.6,Tr,,Tr,0.5,Tr,0.0,0.0,3.4,3.6,36.91,0.35,43.28,0.41,1.28,0.01,18.17,0.17,18.24,0.17,44.63,0.42,44.85,0.42,36.91,0.35,,,0.29,Tr,0.0,Unknown,Unknown
11-1045,"Flour, corn","6 samples, 5 products",AA,,"LGC, Nutrient survey of flours and grains, 2005; and MW4, 1978",,12.5,0.09,0.6,0.7,92.0,354,1508,92.0,,Tr,Tr,,0.0,Tr,0.0,0.0,0.0,0.1,N,,0.10,,,,,,,,0.10,,,,0.30,,,,,,0.00,0.0,Unknown,Unknown
