Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-877,"Red rice, boiled in unsalted water","6 samples, 4 products, Camargue rice",AC,11-038 ,Nutrient survey of flours and grains 2005,,71.9,0.51,3.0,1.2,28.2,129,547,28.1,0.0,0.2,Tr,,Tr,0.2,0.0,0.0,0.0,1.2,1.4,7.53,0.18,13.72,0.33,0.47,0.01,11.74,0.28,11.75,0.28,14.18,0.34,14.20,0.34,7.53,0.18,,,0.03,Tr,0.1,Unknown,Unknown
11-867,"Rice, brown, basmati, boiled in unsalted water","6 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,66.8,0.55,3.3,1.1,28.7,131,558,28.4,0.0,0.3,Tr,,Tr,0.3,0.0,0.0,0.0,0.8,1.2,22.70,0.21,35.70,0.34,0.81,0.01,41.40,0.39,41.40,0.39,36.49,0.34,36.49,0.34,22.70,0.21,,,0.01,Tr,0.1,Unknown,Unknown
11-866,"Rice, brown, basmati, raw","6 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,11.4,1.49,8.9,3.1,77.6,355,1508,76.8,0.0,0.8,Tr,,Tr,0.8,0.0,0.0,0.0,2.2,3.3,47.12,0.58,72.79,0.91,2.46,0.02,84.11,1.05,84.18,1.05,75.23,0.93,75.33,0.93,47.12,0.58,,,0.21,Tr,0.3,Unknown,Unknown
11-871,"Rice, brown, easy cook, boiled in unsalted water","6 samples, 5 products, including Italian and American",AC,,"LGC, Nutrient survey of flours and grains, 2005",,61.6,0.54,3.2,1.3,35.3,157,669,33.0,2.0,0.3,Tr,,Tr,0.3,0.0,0.0,,0.9,1.5,,N,,,,,,,,N,,,,N,,,,,,Tr,Tr,Unknown,Unknown
11-870,"Rice, brown, easy cook, raw","6 samples, 5 products, including Italian and American",AC,,"LGC, Nutrient survey of flours and grains, 2005",,11.1,1.26,7.5,3.1,82.1,366,1556,76.7,4.7,0.7,0.1,,Tr,0.6,0.0,0.0,0.0,2.2,3.5,,N,,,,,,,,N,,,,N,,,,,,Tr,Tr,Unknown,Unknown
11-869,"Rice, brown, wholegrain, boiled in unsalted water","6 samples, 6 products",AC,11-443 ,"LGC, Nutrient survey of flours and grains, 2005",,67.0,0.60,3.6,0.9,29.2,132,562,29.0,0.0,0.1,Tr,,Tr,0.1,0.0,0.0,,0.9,1.5,21.39,0.17,38.17,0.30,1.38,0.01,38.99,0.30,39.05,0.30,39.49,0.31,39.61,0.31,21.39,0.17,,,0.17,Tr,0.1,Unknown,Unknown
11-868,"Rice, brown, wholegrain, raw","6 samples, 6 products",AC,11-442 ,"LGC, Nutrient survey of flours and grains, 2005",,11.9,1.30,7.7,1.5,77.0,333,1418,76.3,,0.7,Tr,,Tr,0.7,0.0,0.0,0.0,1.8,3.0,22.81,0.28,35.22,0.44,1.19,0.01,40.73,0.51,40.76,0.51,36.39,0.45,36.44,0.45,22.81,0.28,,,0.08,Tr,0.2,Unknown,Unknown
11-885,"Rice, egg fried, ready cooked, re-heated, retail, not takeaway","6 samples, 6 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,59.9,0.66,3.9,5.3,28.1,169,712,28.1,0.0,Tr,Tr,,Tr,Tr,0.0,Tr,0.0,1.2,2.8,14.09,0.72,29.06,1.48,4.92,0.25,51.30,2.61,51.37,2.61,33.91,1.72,34.52,1.75,14.04,0.72,0.05,Tr,0.68,0.03,52.6,Unknown,Unknown
11-444,"Rice, egg fried, takeaway",10 samples from different outlets,AC,12-818 12-916 50-298 ,"Aspland and James, Nutrient analysis of ethnic and takeaway foods, 1997",,57.5,0.68,4.3,4.9,33.3,186,787,33.1,2.0,Tr,Tr,0.0,Tr,Tr,Tr,Tr,0.0,0.8,1.1,,0.62,23.11,1.00,7.16,0.31,54.37,2.34,,2.34,30.36,1.31,,1.31,14.48,0.62,0.00,0.00,0.00,0.00,18.7,Unknown,Unknown
11-968,"Rice, pilau, plain, homemade",Recipe from a personal collection,AC,11-561 ,As MW6. Updated 2013,,69.9,0.41,2.5,3.7,24.3,134,564,23.3,0.2,0.8,0.3,Tr,0.2,0.3,0.0,0.0,0.0,0.3,0.6,,0.47,,,,,,,,0.80,,,,2.29,,,,,,Tr,0.0,Unknown,Unknown
11-884,"Rice, ready-cooked, ""plain"", re-heated","8 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,59.6,0.70,4.1,1.9,33.9,161,682,33.9,,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,1.1,19.64,0.30,56.16,0.85,0.38,0.01,23.33,0.36,23.38,0.36,56.25,0.86,56.98,0.87,19.64,0.30,,,0.78,0.01,0.0,Unknown,Unknown
11-876,"Rice, red, raw","6 samples, 4 products, Carmargue rice",AC,11-037 ,Nutrient survey of flours and grains 2005,,12.7,1.18,7.0,2.9,80.4,356,1513,75.7,3.9,0.9,Tr,,Tr,0.8,0.0,0.0,0.0,2.7,4.1,22.46,0.53,41.01,0.98,1.41,0.03,35.06,0.83,35.09,0.83,42.41,1.01,42.45,1.01,22.46,0.53,,,0.07,Tr,0.3,Unknown,Unknown
11-881,"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, cooked","10 samples, 10 products, assorted meat and vegetable varieties. Cooked in water according to manufacturer's instructions",AC,11-620 ,"LGC, Nutrient survey of flours and grains, 2005; and industry data, 2013",,59.0,0.62,3.7,1.4,34.0,155,659,30.8,0.0,3.2,0.5,,0.5,1.4,Tr,0.8,0.0,1.3,1.7,34.62,0.46,22.22,0.30,1.28,0.02,37.54,0.50,41.05,0.50,23.62,0.32,24.40,0.32,34.62,0.46,,,4.23,0.06,0.2,Unknown,Unknown
11-880,"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, uncooked","10 samples, 10 products, assorted meat and vegetable varieties",AC,11-039 ,"LGC, Nutrient survey of flours and grains, 2005",,6.2,1.35,8.0,2.7,83.3,369,1569,71.6,4.9,6.7,0.9,,1.1,3.3,Tr,1.4,0.0,3.0,3.6,35.07,0.91,19.04,0.50,1.12,0.03,39.67,1.03,43.78,1.14,20.18,0.52,21.11,0.54,35.07,0.91,,,5.04,0.13,0.6,Unknown,Unknown
11-875,"Rice, Thai fragrant, boiled in unsalted water","8 samples, 7 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,68.0,0.38,2.3,0.4,32.1,133,568,28.7,3.3,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,Tr,10.32,0.09,12.50,0.11,0.39,Tr,11.22,0.10,11.26,0.10,12.91,0.12,12.92,0.12,10.32,0.09,,,0.07,Tr,0.0,Unknown,Unknown
11-874,"Rice, Thai fragrant, raw","8 samples, 7 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,12.5,1.08,6.4,1.1,84.5,352,1502,84.4,0.0,0.1,Tr,,Tr,Tr,0.0,0.0,0.0,0.8,0.8,29.93,0.27,36.21,0.33,1.14,0.01,32.53,0.29,32.67,0.29,37.40,0.34,37.43,0.34,29.93,0.27,,,0.15,Tr,0.0,Unknown,Unknown
11-858,"Rice, white, basmati, boiled in unsalted water","11 samples, 9 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,69.5,0.47,2.8,0.7,26.5,117,498,26.5,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,,0.6,0.6,28.03,0.16,45.45,0.26,1.55,0.01,24.82,0.14,24.92,0.14,46.96,0.27,47.06,0.27,28.03,0.16,,,0.19,Tr,0.0,Unknown,Unknown
11-860,"Rice, white, basmati, easy cook, boiled in unsalted water","7 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,66.8,0.59,3.5,0.4,32.2,138,590,32.1,0.0,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,Tr,Tr,,0.09,,0.15,,0.01,,0.08,,0.08,,0.15,,0.15,,0.09,,,,Tr,0.0,Unknown,Unknown
11-859,"Rice, white, basmati, easy cook, raw","7 samples, 5 products",AC,,"LGC, Nutrient survey of flours and grains, 2005",,11.3,1.36,8.1,0.4,83.8,350,1493,83.3,0.0,0.6,Tr,,Tr,0.5,0.0,0.0,0.0,0.9,1.4,29.59,0.11,37.86,0.14,1.23,Tr,30.82,0.11,31.18,0.11,39.01,0.14,39.22,0.14,29.59,0.11,,,0.56,Tr,0.0,Unknown,Unknown
