Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-954,"Macaroni cheese, homemade",Recipe,AD,11-562 ,As MW6. Recalculated in 2013,,62.4,1.27,7.8,8.6,19.8,183,768,16.9,Tr,2.8,0.0,,0.0,0.1,0.3,2.4,,0.8,1.1,12.26,4.47,N,0.46,N,0.12,N,2.57,6.39,2.72,N,0.66,1.95,0.70,N,1.45,N,0.02,N,0.24,16.9,Unknown,Unknown
11-719,"Noodles, egg, dried, raw","10 samples, 6 products. Fine, medium and thick noodles",AD,11-055 ,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,8.2,2.11,12.0,2.0,72.6,338,1440,70.9,Tr,1.7,0.2,,0.2,0.6,0.7,0.0,0.0,3.9,N,22.84,0.31,51.60,0.69,3.13,0.04,22.11,0.30,22.25,0.30,54.81,0.73,54.91,0.73,22.78,0.31,0.06,Tr,0.23,Tr,1.8,Unknown,Unknown
11-941,"Noodles, egg, fine, dried, boiled in unsalted water",Calculated from medium cooked noodles,AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,66.8,0.82,4.7,0.8,27.5,129,549,27.5,Tr,Tr,Tr,,Tr,Tr,Tr,0.0,0.0,1.7,2.3,,0.12,,0.25,,0.02,,0.11,,0.11,,0.27,,0.27,,0.12,,Tr,,Tr,0.7,Unknown,Unknown
11-1096,"Noodles, egg, fried with spring onions, homemade",Recipe,AD,11-626 ,Updated 2014,,51.7,0.89,5.0,12.2,30.5,244,1026,30.4,,0.2,0.1,,0.1,0.0,Tr,0.0,0.0,2.0,N,,0.88,,,,,,,,6.85,,,,3.63,,,,,,Tr,0.8,Unknown,Unknown
11-724,"Noodles, egg, medium, dried, boiled in unsalted water","6 samples, 2 products",AD,11-056 ,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,57.0,1.02,5.8,1.0,35.7,166,707,35.7,Tr,Tr,Tr,,Tr,Tr,Tr,0.0,0.0,2.2,3.0,23.47,0.15,51.64,0.33,2.98,0.02,21.77,0.14,21.89,0.14,54.49,0.35,54.62,0.35,23.35,0.15,0.12,Tr,0.24,Tr,0.9,Unknown,Unknown
11-942,"Noodles, egg, thick, dried, boiled in unsalted water",Calculated from medium cooked noodles,AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,63.0,0.88,5.0,0.9,30.7,143,608,30.7,Tr,Tr,Tr,,Tr,Tr,Tr,0.0,,1.9,2.6,,0.13,,0.28,,0.02,,0.12,,0.12,,0.30,,0.30,,0.13,,Tr,,Tr,0.7,Unknown,Unknown
11-725,"Noodles, rice, fine, dried, boiled in unsalted water","8 samples, 3 products",AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,73.2,0.33,1.9,0.2,21.3,89,381,21.3,Tr,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,0.7,1.1,31.67,0.05,47.07,0.08,1.67,Tr,19.17,0.03,19.49,0.03,48.49,0.08,48.84,0.08,31.38,0.05,0.29,Tr,0.67,Tr,0.0,Unknown,Unknown
11-734,"Pasta and sauce mixes, dried, raw","10 samples, 10 products, pasta with sauce including cheese, meat and vegetables",AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,6.4,2.25,12.8,4.9,70.0,358,1519,61.9,Tr,8.1,0.4,,0.5,1.2,4.3,1.7,0.0,4.6,4.5,47.67,2.25,17.66,0.84,1.40,0.07,27.38,1.29,32.42,1.53,19.05,0.90,19.93,0.94,47.12,2.23,0.55,0.02,5.73,0.27,3.0,Unknown,Unknown
11-717,"Pasta shapes, coloured, flavoured, dried, raw","10 samples, including spirali, farfalle, fusilli, penne, pennette",AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,9.7,1.94,11.0,1.6,75.4,341,1453,73.1,Tr,2.3,0.2,,0.3,0.3,1.5,0.0,0.0,3.5,5.5,21.65,0.23,57.91,0.62,3.39,0.04,16.85,0.18,16.95,0.18,61.25,0.65,61.39,0.65,21.65,0.23,,,0.25,Tr,0.0,Unknown,Unknown
11-729,"Pasta, egg, fresh, filled with cheese and tomato, boiled in unsalted water","10 samples, 7 products, including tortelloni and ravioli",AD,11-451 ,Nutrient analysis of pasta and pasta sauces 2003,,53.3,1.37,8.7,5.9,28.1,193,816,27.9,Tr,0.2,Tr,,0.2,Tr,Tr,Tr,0.0,1.6,2.3,49.39,3.12,9.49,0.60,0.63,0.04,25.82,1.63,27.64,1.74,10.17,0.64,10.51,0.66,47.96,3.03,1.44,0.09,2.16,0.13,29.1,Unknown,Unknown
