Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-1030,"Bannocks, made with beremeal, homemade",Recipe,AF,11-627 ,Updated 2014,,25.9,1.58,9.3,1.7,56.8,266,1131,53.7,,3.1,0.1,,0.1,0.7,0.3,2.0,,8.6,1.0,,0.23,,,,,,,,0.10,,,,0.06,,,,,,Tr,0.8,Unknown,Unknown
11-951,"Bannocks, made with wheat flour, homemade",Recipe,AF,11-628 ,Updated 2014,,25.7,1.47,8.5,1.3,65.5,292,1246,63.1,,2.4,Tr,,Tr,0.4,0.1,2.0,,2.7,3.1,,0.46,,,,,,,,0.22,,,,0.19,,,,,,Tr,0.8,Unknown,Unknown
11-1144,"Bread rolls, brown, crusty","12 samples of 6 rolls, different shops",AF,11-477 ,"Data from Cereals and cereal Products Supplement, 1988;  with some vitamins from LGC, nutrient analysis of bread and morning goods, 1999; and selenium from Analysis of foods for Selenium 1994.",,30.5,1.81,10.3,2.8,50.4,255,1085,48.5,,1.9,N,,N,N,N,0.0,0.0,3.5,N,,0.60,,,,,,,,0.60,,,,0.70,,,,,,N,0.0,Unknown,Unknown
11-1006,"Bread rolls, white, soft",10 samples,AF,11-483 ,"LGC, Nutrient analysis of bread and morning goods, 1999, Food Surveillance Sheet No.194. Updated 2013.",,35.6,1.60,9.3,2.6,51.5,254,1078,48.8,,2.6,0.2,,0.2,Tr,2.2,0.0,0.0,2.0,2.6,29.40,0.62,,,,,28.51,0.59,,0.59,39.24,0.82,39.99,0.82,,,,,Tr,Tr,0.0,Unknown,Unknown
11-971,"Bread, brown, average","11 samples, 8 brands",AF,11-456 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,41.2,1.40,7.9,2.0,42.1,207,882,38.7,,3.4,Tr,,0.3,Tr,3.0,0.0,0.0,3.5,5.0,27.74,0.43,,,,,28.24,0.43,28.43,0.43,42.51,0.65,43.19,0.65,,,,,1.00,0.02,0.0,Unknown,Unknown
11-1136,"Bread, brown, toasted","11 samples, 8 brands. Calculated using 22% weight loss",AF,11-457 ,"Data calculated from LGC, Nutrient analysis of bread and morning goods, 1999, using 22% weight loss",,24.6,1.79,10.1,2.6,54.0,266,1131,49.6,,4.4,Tr,,0.4,Tr,3.8,0.0,0.0,4.5,6.4,27.74,0.55,,,,,28.24,0.55,28.43,0.55,42.51,0.83,43.19,0.83,,,,,1.00,0.03,0.0,Unknown,Unknown
11-969,"Bread, ciabatta",8 samples,AF,11-609 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Some inorganics  and vitamins estimated from white bread, French stick.",,29.2,1.80,10.2,3.9,52.0,271,1150,48.9,,3.1,Tr,,0.1,0.3,2.7,0.0,0.0,2.3,3.3,,0.57,,,,,15.94,0.57,59.03,2.11,23.97,0.86,23.97,0.86,,,,,0.51,0.02,0.0,Unknown,Unknown
11-937,"Bread, garlic and herb, retail","10 samples, 10 products , frozen and chilled",AF,11-460 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,25.8,1.23,7.0,16.7,45.1,348,1459,42.2,,2.9,0.1,Tr,0.2,Tr,2.5,Tr,0.0,0.8,2.7,54.67,8.63,7.85,1.24,2.02,0.32,32.25,5.09,34.18,5.39,9.87,1.56,9.87,1.56,53.24,8.40,1.43,0.23,1.93,0.31,31.2,Unknown,Unknown
11-462,"Bread, malt, fruited","6 samples, 3 brands",AF,11-084 50-042 ,"Data from LGC, Nutrient analysis of bread and morning goods, 1999. Vit B6, vit B12, pantothenate and biotin from 50-042.",,24.2,1.40,7.8,2.3,64.9,295,1256,42.3,,22.6,7.4,,6.3,1.0,7.2,0.7,0.0,2.6,3.5,20.00,0.52,,,,,34.86,0.91,39.80,1.00,38.65,1.01,39.69,1.01,,,,,5.95,0.16,0.3,Unknown,Unknown
11-972,"Bread, malted wheat","24 samples, sliced and unsliced, including granary products",AF,11-461 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,34.9,1.65,9.6,2.3,47.4,237,1005,44.5,,2.9,0.1,0.0,0.3,Tr,2.5,0.0,0.0,3.3,5.3,29.62,0.58,,,,,30.94,0.60,31.28,0.61,37.93,0.74,38.72,0.76,,,,,1.12,0.02,0.0,Unknown,Unknown
