Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-763,"Breakfast cereal, bran flakes, fortified","15 samples, 8 products, including Kellogg's and own brands",AI,11-486 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,4.0,1.65,9.6,2.2,73.3,333,1417,52.3,,21.0,2.0,,2.6,15.9,0.5,0.0,0.0,12.8,13.4,19.30,0.31,62.19,0.98,4.69,0.07,13.60,0.22,13.67,0.22,66.90,1.06,67.05,1.06,19.30,0.31,Tr,Tr,0.20,Tr,0.0,Unknown,Unknown
11-767,"Breakfast cereal, bran type cereal, fortified","15 samples, 9 products, including All-Bran and own brand",AI,11-485 ,"LGC, Nutrient survey of breakfast cereals, 2004",,4.0,1.97,12.4,3.4,49.7,267,1132,29.7,N,20.0,0.7,,0.7,17.5,1.1,0.0,0.0,23.0,24.6,18.80,0.53,59.70,1.68,5.21,0.15,16.10,0.45,16.20,0.45,64.80,1.83,64.96,1.83,18.68,0.53,0.12,Tr,0.30,0.01,0.1,Unknown,Unknown
11-746,"Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified","10 samples, 7 products, including Crunchy Nut Corn Flakes and own label",AI,11-491 ,Nutrient survey of breakfast cereals 2004. Updated using 2013 manufacturers' label data,,2.9,0.85,5.3,4.2,86.6,384,1631,49.2,,37.4,2.7,,1.6,33.1,Tr,0.0,0.0,1.2,3.8,18.10,0.73,24.67,1.00,0.27,0.01,56.90,2.30,56.96,2.30,24.90,1.01,24.95,1.01,18.10,0.73,Tr,Tr,0.11,Tr,0.0,Unknown,Unknown
11-742,"Breakfast cereal, cornflakes, fortified","15 samples, 9 products, including Kellogg's and other / own brands",AI,11-490 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,3.4,1.14,7.1,0.8,90.9,376,1605,83.6,,7.3,1.7,,1.5,4.1,Tr,0.0,0.0,1.8,2.6,25.70,0.14,48.42,0.26,2.23,0.01,23.60,0.13,23.69,0.13,50.50,0.27,50.64,0.27,25.62,0.14,0.18,Tr,0.20,Tr,0.0,Unknown,Unknown
11-749,"Breakfast cereal, cornflakes, frosted, fortified","10 samples, 8 products, including Frosties and own brand",AI,11-492 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,3.1,0.75,4.7,0.5,87.0,350,1490,48.7,,38.3,1.1,,1.0,36.2,Tr,0.0,0.0,N,2.0,,0.09,,,,,,,,0.08,,,,0.17,,,,,,Tr,0.0,Unknown,Unknown
11-745,"Breakfast cereal, cornflakes, unfortified","7 samples, 4 products, organic",AI,,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,3.4,1.14,7.1,0.8,91.4,378,1613,88.4,N,3.0,0.7,,0.6,1.7,Tr,0.0,0.0,1.8,2.6,,0.14,,,,,,,,0.13,,,,0.27,,,,,,Tr,0.0,Unknown,Unknown
11-938,"Breakfast cereal, crunchy clusters type, without nuts, unfortified","7 samples, 5 brands, including Jordans Country Crisp, Quaker Oat granola and own brand",AI,11-783 11-138 11-403 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,3.0,1.23,7.2,11.6,71.0,399,1687,45.7,,25.3,3.6,,3.8,16.6,1.3,0.0,0.0,4.3,7.2,37.43,4.15,19.31,2.14,1.70,0.19,40.25,4.46,40.31,4.47,21.04,2.33,21.04,2.33,37.37,4.14,0.06,0.01,0.06,0.01,N,Unknown,Unknown
11-939,"Breakfast cereal, crunchy/crispy muesli type cereal, with nuts, unfortified","7 samples, 5 brands, including Jordans's Country Crisp, Kellogg's Crunchy Nut Clusters and own labels",AI,11-783 11-138 11-403 11-784 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,3.3,1.45,8.4,20.5,61.9,450,1892,38.7,,23.1,1.4,Tr,1.6,20.2,Tr,0.0,0.0,4.4,7.9,23.51,4.61,19.95,3.91,1.60,0.31,54.19,10.62,54.23,10.63,21.55,4.22,21.55,4.22,23.46,4.60,0.05,0.01,0.04,0.01,N,Unknown,Unknown
11-779,"Breakfast cereal, fruit and fibre type, fortified","10 samples, 7 products, including Kellogg's Fruit 'n Fibre and own brand",AI,11-493 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,5.7,1.38,8.0,5.8,70.3,348,1475,44.1,Tr,26.2,8.4,,9.4,8.4,Tr,0.0,0.0,8.6,8.6,63.50,2.65,14.20,0.59,0.99,0.04,21.00,0.88,21.06,0.88,15.40,0.64,15.45,0.64,63.42,2.65,0.08,Tr,0.10,Tr,0.1,Unknown,Unknown
11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified","8 samples, 5 products, including Honey Loops and own brands. Based on Honey Nut Cheerios and products containing nuts",AI,,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,3.6,1.13,6.6,3.1,78.7,349,1486,44.0,,34.7,1.4,,1.6,31.0,0.7,0.0,0.0,4.4,4.3,23.10,0.67,40.91,1.19,1.85,0.05,33.90,0.99,34.07,0.99,42.70,1.24,42.81,1.24,23.04,0.67,0.06,Tr,0.30,0.01,0.0,Unknown,Unknown
