Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-821,"Biscuits, cheese flavoured","10 samples, 5 products, including Cheddars, Mini Cheddars, cheese melts and cheese savouries",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,3.1,1.84,10.5,28.1,53.2,494,2069,50.5,,2.7,Tr,Tr,Tr,2.7,Tr,Tr,0.0,2.4,4.5,43.40,11.67,9.38,2.53,0.33,0.10,45.40,12.09,45.81,12.20,9.80,2.62,9.80,2.62,43.04,11.57,0.36,0.10,0.40,0.11,18.4,Unknown,Unknown
11-816,"Biscuits, cookies, chocolate chip, American style","10 samples, 10 products, including milk, plain and white chocolate from instore bakeries and catering outlets",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,6.9,0.91,5.2,21.3,60.6,440,1845,20.0,,40.5,Tr,Tr,Tr,40.5,Tr,Tr,0.0,1.8,2.5,47.00,9.58,9.78,2.01,2.62,0.55,39.20,7.90,8.30,7.99,12.50,2.56,12.50,2.56,46.59,9.51,0.41,0.07,0.40,0.08,35.5,Unknown,Unknown
11-815,"Biscuits, cookies, chocolate chip, standard","10 samples, 7 products, including Maryland, Fox's and own brand",AM,11-508 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,3.6,0.94,5.4,24.9,60.0,471,1973,30.0,,30.0,Tr,Tr,Tr,30.0,Tr,Tr,0.0,2.2,3.0,51.10,12.15,9.84,2.35,0.52,0.12,37.80,8.96,37.91,8.99,10.40,2.47,10.40,2.47,51.00,12.14,0.10,0.01,0.10,0.03,2.9,Unknown,Unknown
11-807,"Biscuits, digestive, half coated in chocolate","10 samples, 6 products, including milk and plain chocolate",AM,11-512 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.8,1.11,6.3,25.7,61.8,488,2047,37.5,,24.3,Tr,Tr,Tr,24.3,Tr,Tr,0.0,3.1,2.1,51.60,12.68,9.22,2.27,0.34,0.08,36.10,8.83,36.26,8.87,9.60,2.35,9.60,2.35,51.56,12.67,0.04,0.01,0.20,0.04,6.1,Unknown,Unknown
11-799,"Biscuits, digestive, plain","10 samples, 7 products",AM,11-513 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,2.8,1.09,6.2,21.3,65.6,463,1943,48.1,,17.5,Tr,Tr,Tr,17.5,Tr,Tr,0.0,2.7,3.8,42.29,7.71,10.76,2.19,0.42,0.08,50.00,10.18,50.06,10.19,11.20,2.28,11.20,2.28,42.29,7.72,,,0.10,0.01,2.4,Unknown,Unknown
11-803,"Biscuits, digestive, with oats, plain","9 samples, 4 products, including Hobnobs and own label",AM,11-517 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,3.0,1.09,6.4,22.9,66.4,480,2017,40.5,,25.9,1.2,Tr,0.9,23.9,Tr,Tr,0.0,4.4,7.2,27.10,5.94,13.35,2.93,0.56,0.12,58.10,12.72,58.17,12.73,13.90,3.05,13.90,3.05,27.09,5.94,0.01,Tr,0.10,0.01,9.5,Unknown,Unknown
11-809,"Biscuits, fully coated with chocolate","10 samples, 6 products, including Breakaway, Rocky and chocolate fingers",AM,11-506 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.9,1.12,6.4,27.2,62.8,506,2120,23.5,,39.3,Tr,Tr,Tr,33.3,Tr,5.9,0.0,2.2,1.7,57.61,15.06,6.67,1.74,0.31,0.09,34.00,8.74,34.36,8.84,7.00,1.83,7.00,1.83,57.36,14.92,0.25,0.06,0.40,0.09,16.6,Unknown,Unknown
11-810,"Biscuits, fully coated with chocolate, with cream","10 samples, 8 products, including Penguin, Club, Classic, own label",AM,11-507 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.6,0.90,5.2,28.2,59.0,496,2075,21.6,,37.4,Tr,Tr,Tr,34.1,Tr,3.3,0.0,1.9,3.1,58.60,15.81,6.99,1.89,0.26,0.07,33.20,8.90,33.45,8.96,7.30,1.96,7.30,1.96,58.42,15.76,0.18,0.05,0.20,0.07,18.3,Unknown,Unknown
11-811,"Biscuits, fully coated with chocolate, with marshmallow","10 samples, 7 products, including teacakes and Wagon Wheels",AM,11-419 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,9.8,0.78,4.5,19.0,59.9,413,1737,18.5,,41.4,6.0,Tr,Tr,28.7,6.7,Tr,0.0,1.6,2.7,58.60,10.64,6.35,1.16,0.69,0.13,33.70,6.09,33.93,6.13,7.00,1.28,7.00,1.28,58.44,10.63,0.16,0.01,0.20,0.04,5.7,Unknown,Unknown
11-798,"Biscuits, ginger nuts","10 samples, 8 products",AM,11-514 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,3.3,0.84,4.8,15.7,75.3,443,1867,44.0,,31.3,3.0,Tr,2.4,22.6,3.3,Tr,0.0,1.5,2.2,48.34,7.26,11.17,1.68,0.35,0.05,39.50,5.92,39.58,5.93,11.50,1.73,11.50,1.73,48.31,7.26,0.03,Tr,0.10,0.01,2.6,Unknown,Unknown
