Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-1029,"Banana bread, homemade",Recipe,AN,11-573 ,Based on Mary Berry's complete cookbook. Recalculated 2014,,27.4,0.75,4.4,12.4,53.9,331,1396,17.4,,36.3,7.6,,6.4,19.9,2.2,Tr,,1.4,N,,3.27,,,,,,,,4.42,,,,3.85,,,,,,0.02,30.8,Unknown,Unknown
11-1127,"Brownies, chocolate, homemade",Recipe,AN,,Updated 2014,,6.3,1.07,6.2,30.8,54.3,506,2114,8.2,,46.1,0.0,,0.0,45.9,0.0,0.2,,1.7,N,,16.43,,,,,,,,8.11,,,,4.02,,,,,,0.63,111.8,Unknown,Unknown
11-740,"Cake bars, chocolate","10 samples, 10 products, including chocolate chip, Galaxy, Milky Way, Penguin and Crunchie",AN,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,10.5,0.88,5.0,21.6,57.5,430,1804,15.0,1.0,41.5,2.1,Tr,1.0,33.3,1.2,4.0,0.0,1.6,1.9,48.08,9.90,11.60,2.39,1.40,0.29,37.33,7.72,38.23,7.91,13.00,2.68,13.13,2.71,48.08,9.90,Tr,Tr,0.90,0.19,29.4,Unknown,Unknown
11-835,"Cake, battenberg, retail","10 samples, 4 products, including standard and mini cakes",AN,11-574 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,16.7,0.70,4.4,9.9,65.9,354,1495,9.1,,56.8,5.1,Tr,0.3,46.7,4.7,Tr,0.0,1.1,1.5,32.60,3.08,18.25,1.73,4.64,0.44,43.10,4.06,43.30,4.08,23.00,2.17,23.00,2.17,32.58,3.08,0.02,Tr,0.20,0.02,5.9,Unknown,Unknown
11-836,"Cake, carrot, iced, retail","10 samples, 8 products, including plain carrot and products with orange and walnuts",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,20.4,0.74,4.2,20.2,46.8,374,1569,12.3,,34.5,Tr,Tr,0.8,31.8,1.9,Tr,0.0,1.1,1.9,26.60,5.14,23.47,4.55,5.27,1.03,42.40,8.03,43.18,8.19,28.90,5.58,28.90,5.58,25.79,4.99,0.81,0.15,0.80,0.16,53.2,Unknown,Unknown
11-1041,"Cake, carrot, with topping, homemade","Recipe, with topping",AN,11-616 ,Based on Mary Berry's ultimate cake book. Recalculated 2014,,36.1,0.67,4.0,21.1,37.7,346,1447,13.9,,23.7,1.3,Tr,1.2,20.8,0.0,0.4,,0.9,1.5,,5.19,,,,,,,,5.31,,,,9.61,,,,,,0.14,36.9,Unknown,Unknown
11-1044,"Cake, cherry, homemade",Recipe,AN,11-640 ,Recalculated 2014,,15.7,0.84,5.0,14.4,66.5,398,1680,22.8,,40.0,7.9,,4.2,20.7,6.9,Tr,,1.2,N,,4.67,,,,,,,,6.31,,,,2.32,,,,,,0.03,71.2,Unknown,Unknown
11-527,"Cake, chocolate fudge","12 samples, 6 brands. Mixture of fresh and frozen",AN,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,24.7,0.83,5.2,14.3,55.7,358,1509,11.3,0.9,43.5,1.7,Tr,0.4,39.1,1.3,1.0,0.0,0.9,1.9,33.40,4.57,,,,,44.20,6.04,46.60,6.37,19.50,2.67,19.90,2.72,,,,,2.60,0.36,33.0,Unknown,Unknown
11-1046,"Cake, chocolate, not filled, homemade",Recipe,AN,11-641 ,Recalculated 2014,,14.9,1.26,7.3,24.1,51.3,438,1835,22.8,,28.5,Tr,,Tr,28.4,0.0,Tr,,1.8,N,,8.28,,,,,,,,10.50,,,,3.68,,,,,,0.04,97.1,Unknown,Unknown
11-1047,"Cake, chocolate, with butter icing, homemade",Recipe,AN,11-642 ,Recalculated 2014,,13.6,1.01,5.8,25.2,53.8,452,1895,18.2,,35.7,Tr,,Tr,35.5,0.0,0.0,0.1,1.4,N,,10.43,,,,,,,,9.87,,,,3.12,,,,,,0.25,92.7,Unknown,Unknown
