Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-992,"Pastry, cheese, shortcrust, homemade",Recipe,AO,11-650 ,Recalculated 2013,,15.3,2.15,13.2,32.4,39.2,491,2049,38.7,,0.5,Tr,,Tr,0.2,0.0,0.2,0.0,1.6,1.9,,20.16,,,,,,,,8.37,,,,1.17,,,,,,1.18,84.5,Unknown,Unknown
11-1049,"Pastry, choux, cooked, homemade",Recipe,AO,11-652 ,Updated 2014,,42.6,1.40,8.4,18.1,31.1,313,1309,30.9,,0.2,Tr,,Tr,0.2,0.0,Tr,,1.3,1.5,,5.82,,,,,,,,7.83,,,,2.92,,,,,,0.03,136.6,Unknown,Unknown
11-1048,"Pastry, choux, uncooked, homemade",Recipe,AO,,Based on Recipe as Cereals and Cereal Products Supplement  (1988) 11-220. Updated 2013,,62.7,0.91,5.5,11.8,20.2,203,851,20.1,,0.2,Tr,,Tr,0.1,0.0,Tr,,0.9,1.0,,3.78,,,,,,,,5.09,,,,1.89,,,,,,0.02,88.8,Unknown,Unknown
11-856,"Pastry, filo, retail, cooked","Calculated from uncooked, using weight loss of 23.6%",AO,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",Calculated from uncooked based on 23.6% weight loss,3.9,1.75,10.0,3.8,77.1,363,1544,74.0,,3.1,0.2,Tr,0.1,Tr,2.7,Tr,0.0,2.2,4.5,11.50,0.42,37.83,1.38,5.45,0.20,44.10,1.60,44.10,1.60,43.40,1.58,43.40,1.58,11.40,0.42,0.06,Tr,Tr,Tr,2.0,Unknown,Unknown
11-855,"Pastry, filo, retail, uncooked","6 samples, 4 products; frozen and chilled",AO,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,26.6,1.33,7.6,2.9,58.9,278,1180,56.5,,2.4,0.2,Tr,0.1,Tr,2.1,Tr,0.0,1.7,3.4,11.60,0.32,37.87,1.05,5.45,0.15,44.20,1.22,44.20,1.22,43.50,1.21,43.50,1.21,11.55,0.32,0.05,Tr,Tr,Tr,1.5,Unknown,Unknown
11-1139,"Pastry, flaky, cooked, homemade",Recipe,AO,11-583 ,Updated 2014,,9.4,1.00,5.7,37.4,48.3,540,2254,47.7,,0.6,0.0,,0.0,0.3,0.1,0.2,,2.0,2.4,,23.46,,,,,,,,9.45,,,,1.40,,,,,,1.28,94.9,Unknown,Unknown
11-1140,"Pastry, flaky, uncooked, homemade",Recipe,AO,11-582 ,Updated 2014,,31.4,0.75,4.3,28.3,36.6,409,1707,36.1,,0.5,0.0,,0.0,0.2,0.0,0.2,,1.5,1.8,,17.76,,,,,,,,7.15,,,,1.06,,,,,,0.97,71.9,Unknown,Unknown
11-854,"Pastry, flaky/puff, retail, cooked","Calculated from uncooked, using weight loss of 21.1%",AO,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",Calculated from uncooked based on 21.1% weight loss,13.4,1.18,6.7,33.2,42.8,486,2027,40.8,,1.9,Tr,Tr,Tr,Tr,1.9,Tr,0.0,1.1,3.5,50.20,15.92,9.72,3.14,1.45,0.46,37.70,11.95,37.77,11.98,11.30,3.60,11.30,3.60,50.17,15.91,0.03,0.01,0.10,0.03,2.7,Unknown,Unknown
11-852,"Pastry, flaky/puff, retail, uncooked","10 samples, 9 products; frozen and chilled, block and ready rolled",AO,11-224 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,31.7,0.93,5.3,26.2,33.7,384,1600,32.2,,1.5,Tr,Tr,Tr,Tr,1.5,Tr,0.0,0.9,2.8,50.20,12.56,9.85,2.47,1.46,0.37,37.70,9.43,37.77,9.45,11.30,2.84,11.30,2.84,50.17,12.55,0.03,0.01,0.10,0.02,2.1,Unknown,Unknown
11-1052,"Pastry, shortcrust, cooked, homemade",Recipe,AO,11-585 ,Updated 2014,,7.9,1.16,6.6,29.9,57.1,509,2131,56.5,,0.6,Tr,,Tr,0.4,0.1,0.2,0.0,2.4,2.8,,18.62,,,,,,,,7.51,,,,1.16,,,,,,1.01,74.9,Unknown,Unknown
