Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-970,"Bagels, plain",2 brands,AP,11-534 ,"RHM, Nutrient content of selected foods, 1995; and industry data, 2013",,32.1,1.60,10.0,1.8,57.8,273,1161,51.3,1.7,4.8,0.8,,1.0,Tr,3.0,0.0,0.0,2.4,3.0,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
11-1043,"Chelsea buns, homemade",Recipe. Ref. Wiles et al. (1980),AP,11-588 ,Based on Flour Milling and Baking Research Association. Fibre fractions added from 11-232. Recalculated in 2014,,21.0,1.33,7.8,12.5,57.8,361,1522,36.9,,21.0,4.4,,4.3,11.2,Tr,1.0,,1.7,1.6,,4.08,,,,,,,,5.45,,,,2.07,,,,,,0.02,31.0,Unknown,Unknown
11-1050,"Choux buns, homemade",Recipe,AP,11-653 ,"Based on recipe as proportions in shop bought samples, as Cereals and Cereal Products Supplement. Recalculated in 2014",,44.5,0.90,5.3,34.1,17.9,395,1638,17.0,,0.9,Tr,,Tr,0.1,0.0,0.8,,0.7,0.8,,18.23,,,,,,,,10.52,,,,2.44,,,,,,0.84,136.8,Unknown,Unknown
11-989,"Crumpets, toasted",9 samples,AP,11-535 ,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,40.3,1.20,6.9,1.0,45.4,207,881,42.3,,3.1,1.1,,0.3,Tr,1.7,0.0,0.0,2.0,3.1,,0.10,,,,,,,,0.10,,,,0.50,,,,,,Tr,0.0,Unknown,Unknown
11-948,"Currant buns, toasted",Calculated using a weight loss of 10%,AP,,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",,19.9,1.56,8.9,6.2,58.4,311,1316,40.7,,17.8,9.1,,7.8,Tr,1.0,Tr,0.0,2.4,3.2,,2.07,,,,,,2.19,,2.19,,1.24,,1.33,,,,,,Tr,1.7,Unknown,Unknown
11-850,"Doughnuts, ring, iced","10 samples, branded and own brand",AP,11-244 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,21.3,1.03,5.8,25.7,42.3,413,1728,26.2,,16.2,1.7,Tr,0.8,13.7,Tr,Tr,0.0,1.4,2.7,57.60,14.14,8.72,2.15,0.48,0.12,32.30,7.83,32.73,7.94,9.20,2.26,9.20,2.26,57.60,14.14,,,0.50,0.11,8.9,Unknown,Unknown
11-849,"Doughnuts, with jam","10 samples, branded and own brand",AP,11-242 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,28.9,0.95,5.4,13.1,48.4,321,1352,28.2,,20.3,11.4,Tr,5.5,Tr,3.4,Tr,,1.4,1.7,39.60,4.96,16.01,2.01,1.77,0.22,40.90,5.02,41.75,5.12,17.80,2.23,17.80,2.23,39.55,4.95,0.05,0.01,0.90,0.11,7.2,Unknown,Unknown
11-1081,"Gulab jamen/jambu, homemade",Recipe,AP,11-659 ,Updated 2014,,37.8,1.06,6.5,6.6,49.9,273,1153,14.3,,35.6,Tr,,Tr,28.7,0.0,7.0,,0.5,0.5,,0.62,,,,,,,,3.69,,,,1.83,,,,,,0.01,2.2,Unknown,Unknown
11-1083,"Gulab jamen/jambu, retail",Recipe,AP,11-661 ,Updated 2014,,37.0,1.15,7.2,12.8,43.3,306,1287,4.4,,38.9,Tr,,Tr,29.6,0.0,9.3,,0.2,N,,4.38,,,,,,,,5.64,,,,1.98,,,,,,0.01,30.4,Unknown,Unknown
11-1084,"Hot cross buns, homemade",Recipe,AP,11-590 ,Updated 2014,,25.1,1.26,7.3,5.8,58.3,312,1319,34.9,,23.4,5.0,,4.1,11.7,1.1,0.9,,1.9,N,,1.95,,,,,,,,2.31,,,,0.94,,,,,,0.02,20.1,Unknown,Unknown
11-1088,"Jellabi, homemade",Recipe,AP,11-665 ,Recipe uses jellabi dough. Updated 2014,,25.4,0.74,4.2,14.9,57.5,369,1551,39.2,,N,N,,N,N,N,0.0,,1.5,1.6,,1.12,,,,,,,,8.54,,,,4.27,,,,,,Tr,0.0,Unknown,Unknown
11-1092,"Mince pies, homemade, individual",Recipe,AP,11-591 ,Recalculated in 2014,,13.1,0.73,4.2,23.5,55.5,436,1829,26.4,,29.0,14.3,,14.1,0.3,0.3,Tr,,1.8,N,,N,,,,,,,,N,,,,N,,,,,,N,1.4,Unknown,Unknown
11-1095,"Muffins, bran, homemade",Recipe,AP,11-667 ,Updated 2014,,30.6,1.35,8.2,7.0,44.5,263,1111,27.2,,17.3,1.3,,1.3,12.7,0.0,1.8,,7.4,9.2,,3.50,,,,,,,,1.72,,,,0.90,,,,,,0.17,46.7,Unknown,Unknown
11-541,"Muffins, English style, white",10 samples,AP,11-260 ,"LGC, Nutrient analysis of bread and morning goods, 1999",,40.5,1.80,10.0,1.9,44.2,223,948,40.8,,3.4,0.5,,0.8,Tr,2.1,Tr,0.0,1.9,2.6,25.80,0.38,,,,,30.94,0.46,31.23,0.46,41.61,0.62,42.34,0.62,,,,,1.02,0.02,0.0,Unknown,Unknown
11-542,"Muffins, English style, white, toasted",Calculated using a weight loss of 12.6%,AP,11-260 ,"LGC, Nutrient analysis of bread and morning goods, 1999",,31.9,2.00,11.3,2.7,51.0,261,1108,47.3,,3.8,0.5,,0.8,Tr,2.4,Tr,0.0,2.2,3.0,,0.43,,,,,,,,0.53,,,,0.71,,,,,,0.02,0.0,Unknown,Unknown
11-230,"Pastries, Asian","5 samples, assorted sata pastries",AP,,"Cereals and Cereal Products Supplement, 1988",,6.9,1.11,6.3,39.1,43.0,538,2242,20.4,,22.6,N,,N,N,N,N,,N,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
11-844,"Pastries, chocolate eclairs, cream filled, retail","10 samples, 7 products",AP,11-247 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,34.5,0.97,6.1,28.5,28.2,387,1609,4.2,,24.0,2.7,Tr,Tr,18.4,Tr,2.9,0.0,1.0,1.4,50.30,13.59,7.65,2.06,2.73,0.74,36.00,9.30,37.49,9.72,10.40,2.77,10.46,2.80,49.06,13.27,1.24,0.32,1.50,0.42,136.2,Unknown,Unknown
11-1064,"Pastries, chocolate eclairs, fresh, homemade",Recipe,AP,11-657 ,Updated 2014,,35.1,0.67,4.1,24.7,38.0,381,1590,11.9,,26.0,Tr,,Tr,25.5,0.0,0.5,,0.7,N,,13.23,,,,,,,,7.71,,,,1.72,,,,,,0.53,90.9,Unknown,Unknown
11-843,"Pastries, cream filled, retail","10 samples, 6 products, including fresh cream slices and horns",AP,11-654 11-690 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,29.8,0.57,3.3,27.4,41.4,415,1731,14.1,,27.3,2.7,Tr,1.0,20.8,1.6,1.2,0.0,0.9,2.9,62.00,16.05,5.31,1.37,0.89,0.25,28.60,6.99,30.15,7.40,6.20,1.60,6.26,1.62,60.59,15.69,1.41,0.36,1.60,0.42,52.3,Unknown,Unknown
11-841,"Pastries, Danish, retail","10 samples, 9 products, assorted shapes and flavours",AP,11-538 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,20.0,0.85,4.9,29.2,43.6,446,1861,26.3,,17.3,3.3,Tr,2.7,9.6,1.7,Tr,,1.5,2.1,42.40,11.83,13.32,3.72,2.38,0.67,41.00,11.38,41.22,11.45,15.70,4.39,15.70,4.39,42.36,11.82,0.04,0.01,0.20,0.06,19.4,Unknown,Unknown
11-842,"Pastries, Greek, baklava, retail","7 samples, 7 products, assorted baklava",AP,11-248 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,10.8,1.18,6.7,25.1,54.1,456,1909,25.1,,29.0,9.7,Tr,8.6,9.0,1.7,Tr,0.0,1.6,2.0,40.20,9.65,14.83,3.57,0.81,0.20,42.20,9.91,43.09,10.12,15.70,3.77,15.70,3.77,39.75,9.54,0.45,0.11,0.90,0.21,20.1,Unknown,Unknown
11-1105,"Pinni, homemade","Asian Sweetmeat, Recipe",AP,11-668 ,Updated 2014,,3.5,0.99,5.4,31.4,59.5,527,2203,18.5,,40.9,Tr,,Tr,40.9,0.0,Tr,0.0,2.5,N,,15.46,,,,,,,,10.68,,,,2.49,,,,,,0.54,62.8,Unknown,Unknown
11-1111,"Rum baba, homemade",Recipe,AP,11-672 ,Updated 2014,,53.5,0.65,3.7,7.7,33.1,222,935,13.3,,19.7,Tr,,Tr,19.7,0.0,Tr,2.0,0.9,N,,1.94,,,,,,,,3.91,,,,1.30,,,,,,0.01,26.3,Unknown,Unknown
11-1112,"Scones, cheese, homemade",Recipe,AP,11-669 ,Updated 2014,,26.9,1.68,10.1,16.4,45.3,358,1503,43.5,,1.9,Tr,,Tr,0.3,0.1,1.5,,1.8,2.1,,7.18,,,,,,,,6.11,,,,1.84,,,,,,0.27,18.5,Unknown,Unknown
