Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-1038,"Bread pudding, homemade",Recipe,AS,11-594 ,Recalculated 2014,,32.3,0.99,5.9,7.7,48.0,289,1220,14.7,,33.3,8.9,,8.5,12.2,1.7,2.0,,1.2,N,,N,,,,,,,,N,,,,N,,,,,,0.05,30.1,Unknown,Unknown
11-1055,"Crumble, apple, homemade",Recipe,AS,11-694 ,Updated 2014,,54.1,0.30,1.7,6.4,35.0,201,845,12.2,,23.4,1.3,,3.9,18.2,0.0,Tr,,1.5,0.8,,2.09,,,,,,,,2.81,,,,1.08,,,,,,0.01,0.9,Unknown,Unknown
11-1056,"Crumble, fruit, homemade","Recipe, apple, plum, gooseberry, rhubarb, homemade",AS,11-695 ,Updated 2014,,55.1,0.35,2.0,6.4,34.5,195,823,13.3,,21.1,1.3,,1.6,18.1,0.0,Tr,,1.7,N,,2.10,,,,,,,,2.81,,,,1.04,,,,,,0.01,0.9,Unknown,Unknown
11-1020,"Crumble, fruit, retail","10 samples, including apple, apple and blackberry and rhubarb. Frozen and chilled",AS,11-546 ,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,49.1,0.38,2.4,8.3,36.0,219,924,14.0,0.2,21.8,4.1,0.0,4.2,11.3,2.2,Tr,0.0,1.3,2.3,50.00,3.97,,,,,39.20,3.06,39.30,3.07,8.80,0.70,9.50,0.75,,,,,0.10,0.01,13.2,Unknown,Unknown
11-994,"Crumble, fruit, wholemeal, homemade","Apple, gooseberry, plum, rhubarb recipe.",AS,11-595 ,As MW6. Recalculated in 2013,,54.2,0.41,2.5,7.3,32.7,198,834,11.4,,21.3,1.3,,1.6,18.2,Tr,Tr,0.0,2.6,N,,4.37,,,,,,,,1.77,,,,0.39,,,,,,0.24,17.7,Unknown,Unknown
11-1057,"Crumble, with pie filling, homemade",Recipe,AS,11-693 ,Based on recipe as Cereals and Cereal Products Supplement. Recalculated in 2014,,55.1,0.32,1.9,6.6,37.2,207,872,17.8,,19.4,3.6,,3.8,11.9,0.0,Tr,,1.3,0.7,,N,,,,,,,,N,,,,N,,,,,,0.01,0.9,Unknown,Unknown
11-1066,"Flan case, pastry, homemade",Recipe,AS,11-698 ,Updated 2014,,4.5,1.20,7.0,30.9,58.9,527,2205,47.0,,11.9,Tr,,Tr,11.8,0.1,Tr,,2.0,2.3,,10.12,,,,,,,,13.65,,,,4.99,,,,,,0.06,121.9,Unknown,Unknown
11-1067,"Flan case, sponge, homemade",Recipe,AS,11-699 ,Updated 2014,,31.8,1.58,9.6,5.6,54.4,293,1241,19.8,,34.6,Tr,,Tr,34.6,0.0,0.0,,0.8,1.0,,1.58,,,,,,,,2.07,,,,0.90,,,,,,0.01,205.1,Unknown,Unknown
11-1069,"Flan, pastry, with fruit, homemade","Recipe. Apple and tinned gooseberry, plum, rhubarb",AS,11-700 ,Updated 2014,,75.5,0.19,1.2,3.5,18.3,105,444,7.1,,11.2,3.6,,4.1,3.6,Tr,Tr,,1.1,N,,1.14,,,,,,,,1.54,,,,0.60,,,,,,0.01,13.6,Unknown,Unknown
11-1070,"Flan, sponge, with fruit, homemade","Recipe. Apple and tinned gooseberry, plum, rhubarb",AS,11-701 ,Updated 2014,,73.8,0.38,2.3,1.2,21.5,101,430,5.7,,15.8,3.1,,3.5,9.2,0.0,0.0,,0.9,N,,0.34,,,,,,,,0.45,,,,0.22,,,,,,Tr,42.5,Unknown,Unknown
11-913,Gajjeralla,"6 samples, 3 retail, 3 homemade, hot dessert of carrots cooked in cream",AS,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,36.5,0.58,3.6,12.3,39.3,272,1145,Tr,,39.3,1.1,0.0,1.1,32.8,0.0,4.3,,1.6,2.1,,4.81,,,,,,,,3.21,,,,3.41,,,,,,0.15,74.1,Unknown,Unknown
11-846,"Jam tarts, retail","10 samples, 6 products",AS,11-540 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,16.9,0.56,3.2,13.5,58.2,353,1485,26.2,,32.1,9.4,Tr,3.7,10.9,8.2,Tr,0.0,1.3,1.4,42.90,5.54,12.36,1.60,1.95,0.25,42.10,5.43,42.18,5.43,14.30,1.85,14.30,1.85,42.87,5.54,0.03,Tr,0.10,0.01,2.8,Unknown,Unknown
11-848,"Mince pies, retail","10 samples, 8 products",AS,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,18.5,0.68,3.8,14.9,60.7,377,1588,25.2,,35.5,16.6,0.5,11.9,3.4,2.7,0.4,0.0,1.7,2.6,41.90,5.97,12.48,1.79,3.04,0.44,40.60,5.70,41.17,5.78,15.60,2.23,15.60,2.23,41.66,5.92,0.24,0.05,0.60,0.08,11.9,Unknown,Unknown
11-1143,"Pancakes, sweet, made with semi skimmed milk, homemade",Recipe,AS,,Recalculated in 2014,,49.1,1.05,6.3,7.4,37.9,234,988,20.9,,17.0,Tr,,Tr,13.8,0.0,3.2,,0.9,1.0,,1.22,,,,,,,,1.72,,,,3.87,,,,,,Tr,48.0,Unknown,Unknown
11-1141,"Pancakes, sweet, made with skimmed milk, homemade",Recipe,AS,11-702 ,Updated 2014,,49.1,1.05,6.3,7.4,37.9,234,988,20.9,,17.0,Tr,,Tr,13.8,0.0,3.2,,0.9,1.0,,1.22,,,,,,,,1.72,,,,3.87,,,,,,Tr,48.0,Unknown,Unknown
11-1142,"Pancakes, sweet, made with whole milk, homemade",Recipe,AS,11-601 ,Updated 2014,,46.9,1.04,6.3,9.7,37.8,254,1071,20.9,,16.9,Tr,,Tr,13.8,0.0,3.1,,0.9,1.0,,2.67,,,,,,,,2.33,,,,3.94,,,,,,0.09,53.6,Unknown,Unknown
11-1024,"Pie, apple, one crust, homemade",Recipe,AS,11-681 ,Updated 2014,,58.3,0.32,1.8,9.2,29.0,198,835,11.0,,18.0,1.4,,3.8,12.7,0.1,Tr,0.0,1.5,2.1,,3.38,,,,,,,,3.81,,,,1.47,,,,,,0.01,0.6,Unknown,Unknown
11-1025,"Pie, apple, pastry top and bottom, homemade",Recipe,AS,11-683 ,Updated 2014,,48.1,0.50,2.9,15.2,32.1,268,1125,18.5,,13.6,1.1,,2.8,9.4,0.2,Tr,0.0,1.6,2.4,,5.63,,,,,,,,6.37,,,,2.38,,,,,,0.01,1.0,Unknown,Unknown
11-920,"Pie, apple, pastry, double crust, deep filled, retail","9 samples, 6 products, chilled and frozen",AS,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,46.5,0.53,3.3,10.9,38.5,256,1075,20.1,0.4,18.0,1.9,Tr,3.5,11.5,1.1,Tr,0.0,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
11-921,"Pie, apple, pastry, double crust, retail","11 samples, 11 products, chilled and frozen",AS,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,46.8,0.61,3.8,12.9,30.3,245,1026,23.2,0.1,7.0,1.1,Tr,1.3,4.6,Tr,Tr,,1.0,2.6,32.80,4.04,12.90,1.59,4.00,0.49,48.90,6.03,49.00,6.04,17.20,2.12,17.70,2.18,32.30,3.98,0.50,0.06,0.10,0.01,Tr,Unknown,Unknown
11-1026,"Pie, apple, wholemeal, one crust, homemade",Recipe,AS,11-682 ,Updated 2014,,57.9,0.38,2.3,7.7,29.9,190,801,11.9,,18.0,1.3,,3.8,12.8,0.1,0.0,0.0,2.6,2.8,,4.60,,,,,,,,1.87,,,,0.48,,,,,,0.25,18.5,Unknown,Unknown
11-1027,"Pie, apple, wholemeal, pastry top and bottom, homemade",Recipe,AS,11-684 ,Updated 2014,,47.4,0.61,3.6,12.7,33.6,254,1068,19.9,,13.7,1.0,,2.8,9.7,0.1,0.1,0.0,3.3,3.7,,7.68,,,,,,,,3.11,,,,0.72,,,,,,0.42,31.0,Unknown,Unknown
11-847,"Pie, fruit, individual, retail","10 samples, 7 products, including apple, apple and blackcurrant and cherry",AS,11-547 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,23.5,0.55,3.1,13.7,60.0,361,1520,28.9,,31.0,8.3,Tr,2.4,17.1,2.6,0.7,0.0,1.6,4.3,37.20,4.87,13.96,1.84,3.53,0.46,44.70,5.86,44.78,5.86,17.50,2.30,17.50,2.30,37.12,4.86,0.08,0.01,0.10,0.01,Tr,Unknown,Unknown
11-1007,"Pie, fruit, one crust, homemade","Recipe. Apple, gooseberry, plum, rhubarb",AS,11-596 ,Updated 2013,,59.1,0.36,2.1,9.1,26.7,190,800,11.0,,15.7,1.4,,1.6,12.6,0.1,Tr,0.0,1.7,N,,3.30,,,,,,,,3.80,,,,1.41,,,,,,0.01,0.6,Unknown,Unknown
11-1073,"Pie, fruit, pastry top and bottom, blackcurrant, homemade",Recipe. Ref. Wiles et al. (1980),AS,11-598 ,Updated 2014,,43.2,0.55,3.2,15.1,31.0,264,1107,18.5,,12.5,1.6,,1.6,9.1,0.2,Tr,,2.6,N,,5.60,,,,,,,,6.36,,,,2.32,,,,,,0.01,1.0,Unknown,Unknown
11-1008,"Pie, fruit, pastry top and bottom, homemade","Recipe. Apple, gooseberry, plum, rhubarb. Ref. Wiles et al. (1980)",AS,11-597 ,Updated 2013,,48.7,0.53,3.1,15.1,30.4,262,1099,18.5,,12.0,1.1,,1.2,9.4,0.2,Tr,,1.7,N,,5.61,,,,,,,,6.36,,,,2.34,,,,,,0.01,1.0,Unknown,Unknown
11-1075,"Pie, fruit, wholemeal, one crust, homemade","Recipe. Ref. Wiles et al. (1980). Apple, gooseberry, plum, rhubarb",AS,11-599 ,Updated 2014,,58.7,0.43,2.5,7.6,27.6,182,767,11.9,,15.8,1.3,,1.6,12.8,0.1,Tr,,2.7,N,,4.55,,,,,,,,1.84,,,,0.41,,,,,,0.25,18.5,Unknown,Unknown
11-1074,"Pie, fruit, wholemeal, pastry top and bottom, blackcurrant, homemade",Recipe,AS,11-687 ,Updated 2014,,42.5,0.66,3.9,12.5,32.5,250,1049,19.9,,12.6,1.4,,1.6,9.4,0.1,0.1,0.0,4.3,N,,7.65,,,,,,,,3.10,,,,0.66,,,,,,0.42,31.0,Unknown,Unknown
11-1076,"Pie, fruit, wholemeal, pastry top and bottom, homemade","Recipe. Ref. Wiles et al. (1980). Apple, gooseberry, plum, rhubarb",AS,11-600 ,Updated 2014,,47.9,0.68,4.0,13.9,30.0,253,1061,17.8,,12.1,1.0,,1.2,9.7,0.0,0.0,,3.4,N,,4.23,,,,,,,,5.14,,,,3.62,,,,,,0.48,6.9,Unknown,Unknown
11-1077,"Pie, fruit, wholemeal, with pie filling, homemade",Recipe,AS,11-704 ,Updated 2014,,47.7,0.67,4.0,13.6,32.7,261,1095,24.5,,8.1,2.7,,2.9,2.4,0.1,0.1,,3.3,3.2,,N,,,,,,,,N,,,,N,,,,,,0.45,33.7,Unknown,Unknown
