Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
11-997,"Cheese and onion rolls, pastry, retail","Oven-baked pastry, 3 brands",AT,11-550 ,"RHM, Nutrient analysis of manufactured foods for vegetarians, 1997; and industry data, 2013",,39.6,1.31,8.2,20.0,30.4,327,1366,24.2,3.3,3.0,0.4,,0.3,0.4,1.4,0.6,0.0,1.2,2.9,48.69,8.97,,,,,35.83,6.61,38.49,7.10,11.65,2.15,12.12,2.24,,,,,3.14,0.58,25.7,Unknown,Unknown
11-902,"Couscous, plain, cooked","8 samples, 8 products, wheat",AT,,Calculated from raw (11-901),,53.8,1.26,7.2,1.0,37.5,178,759,36.5,0.0,1.0,Tr,,Tr,0.2,0.8,0.0,0.0,1.9,2.2,,0.18,,0.49,,0.03,,0.16,,0.16,,0.52,,0.52,,0.18,,,,Tr,0.0,Unknown,Unknown
11-901,"Couscous, plain, raw","8 samples, 8 products, wheat",AT,,LGC Nutrient survey of flours and grains 2005,,9.9,2.10,12.0,2.1,79.2,364,1549,76.9,0.0,2.3,Tr,,Tr,0.8,1.4,0.0,0.0,3.6,3.7,21.27,0.30,56.73,0.79,3.33,0.05,18.44,0.26,18.47,0.26,60.09,0.84,60.26,0.84,21.27,0.30,,,0.19,Tr,0.0,Unknown,Unknown
11-962,"Dumplings, homemade",Recipe,AT,11-603 ,As MW6. Recalculated in 2013,,59.8,0.47,2.7,11.7,25.4,211,886,25.2,,0.2,0.0,,0.0,0.1,0.0,0.0,0.0,1.0,1.2,,6.63,,,,,,,,4.03,,,,0.36,,,,,,0.52,10.7,Unknown,Unknown
11-1101,"Pakoras, homemade",Recipe,AT,11-711 ,Updated 2014,,56.7,1.30,8.1,8.1,19.7,173,728,16.5,,2.1,0.6,,0.5,1.0,0.0,0.0,0.0,4.5,N,,0.66,,,,,,,,3.96,,,,2.84,,,,,,0.01,0.0,Unknown,Unknown
11-922,"Pancakes (served with crispy duck), pancakes only, takeaway","10 sub-samples, 2 from different establishments in each of 5 regions",AT,,"Aspland and James, Nutrient analysis of ethnic takeaway foods, 1997",,29.1,1.37,7.8,7.9,53.3,305,1291,41.9,6.2,5.2,0.1,,Tr,0.4,4.7,Tr,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
11-959,"Pancakes, savoury, made with semi-skimmed milk, homemade",Recipe,AT,,As MW6. Recalculated in 2013,,58.1,1.14,6.9,8.4,26.6,203,855,22.8,,3.8,Tr,,Tr,0.1,0.0,3.7,,1.0,1.1,,1.95,,,,,,,,1.96,,,,3.78,,,,,,0.06,49.0,Unknown,Unknown
11-1102,"Pancakes, savoury, made with skimmed milk, homemade",Recipe,AT,11-712 ,Updated 2014,,59.1,1.14,6.9,7.3,26.7,193,815,22.8,,3.9,Tr,,Tr,0.1,0.0,3.7,,1.0,1.1,,1.22,,,,,,,,1.69,,,,3.78,,,,,,0.00,47.3,Unknown,Unknown
11-1103,"Pancakes, savoury, wholemeal, made with whole milk, homemade",Recipe,AT,11-714 ,"Recipe produced for calculation of savoury pancakes stuffed with vegetables, wholemeal. Updated 2014",,56.5,1.23,7.6,10.1,23.4,209,878,19.5,,4.0,Tr,,Tr,0.3,0.1,3.6,,2.5,2.9,,2.87,,,,,,,,2.39,,,,4.03,,,,,,0.10,53.8,Unknown,Unknown
11-905,"Polenta, hydrated, raw","4 samples, 2 products, corn based",AT,,"LGC, Nutrient survey of flours and grains, 2005",,77.1,0.30,1.9,0.4,15.2,68,290,15.2,,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,0.6,1.7,17.05,0.05,61.06,0.18,2.25,0.01,19.17,0.06,19.21,0.06,63.58,0.19,63.74,0.19,17.05,0.05,,,0.19,Tr,0.0,Unknown,Unknown
11-1023,"Prawn crackers, takeaway",10 samples from different outlets,AT,11-551 ,"Aspland and James, Nutrient analysis of ethnic and takeaway foods, 1997; fatty acids from supplement as 17-448",,2.8,0.05,0.3,39.0,58.2,570,2379,56.0,0.0,2.2,Tr,,Tr,1.9,0.3,0.0,0.0,1.2,0.9,9.75,3.64,21.12,7.87,8.41,3.14,59.94,22.35,60.11,22.41,29.46,10.98,30.14,11.03,9.70,3.62,0.05,0.00,0.31,0.12,0.3,Unknown,Unknown
