Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-545,Cocoa powder,"10 samples, 2 brands",BH,12-082 ,"MW4 (1978).  Additional data from 50-1050. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000.",,3.4,3.70,18.5,21.7,11.5,312,1301,11.5,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,N,,12.80,,,,,,,,7.20,,,,0.60,,,,,,N,0.0,Unknown,Unknown
12-563,"Cocoa powder, made up with semi-skimmed milk","Recipe. Calculated from 4g powder, 4g sugar and 200ml milk",BH,12-437 ,Updated 2014,,86.2,0.59,3.7,2.0,6.7,58,244,0.2,,6.5,0.0,,0.0,2.0,0.0,4.5,,0.2,N,,1.27,,,,,,,,0.52,,,,0.01,,,,,,0.07,5.7,Unknown,Unknown
12-564,"Cocoa powder, made up with skimmed milk","Recipe. Calculated from 4g powder, 4g sugar and 200ml milk",BH,12-438 ,Updated 2014,,87.4,0.60,3.7,0.6,6.7,46,194,0.2,,6.5,0.0,,0.0,2.0,0.0,4.6,,0.2,N,,0.36,,,,,,,,0.19,,,,,,,,,,Tr,3.5,Unknown,Unknown
12-565,"Cocoa powder, made up with whole milk","Recipe. Calculated from 4g powder, 4g sugar and 200ml milk",BH,12-436 ,Updated 2014,,84.4,0.58,3.6,3.9,6.6,74,311,0.2,,6.3,0.0,,0.0,2.0,0.0,4.4,,0.2,N,,2.44,,,,,,,,1.06,,,,0.10,,,,,,0.13,11.6,Unknown,Unknown
12-566,"Complan powder, savoury, made up with water",Recipe. Made up according to packet directions,BH,12-439 ,Updated 2014,,78.6,0.56,3.6,3.5,13.9,97,411,1.5,,1.4,0.4,,0.0,0.0,0.7,0.2,,0.1,0.0,,1.47,,,,,,,,1.40,,,,0.38,,,,,,Tr,N,Unknown,Unknown
12-568,"Complan powder, sweet, made up with semi-skimmed milk",Recipe. Made up according to packet directions,BH,12-442 ,Updated 2014,,70.6,0.96,6.1,4.5,17.8,132,557,Tr,,13.0,0.1,,0.0,1.1,0.6,11.3,,Tr,Tr,,2.26,,,,,,,,1.69,,,,0.35,,,,,,0.05,N,Unknown,Unknown
12-569,"Complan powder, sweet, made up with skimmed milk",Recipe. Made up according to packet directions,BH,12-443 ,Updated 2014,,71.7,0.97,6.1,3.4,17.9,122,517,Tr,,13.1,0.1,,0.0,1.1,0.6,11.3,,Tr,Tr,,1.52,,,,,,,,1.43,,,,0.35,,,,,,Tr,N,Unknown,Unknown
12-567,"Complan powder, sweet, made up with water",Recipe. Made up according to packet directions,BH,12-440 ,Updated 2014,,78.3,0.55,3.5,3.3,14.6,98,415,Tr,,9.6,0.1,,0.0,1.1,0.6,7.8,,Tr,Tr,,1.46,,,,,,,,1.42,,,,0.36,,,,,,Tr,N,Unknown,Unknown
12-570,"Complan powder, sweet, made up with whole milk",Recipe. Made up according to packet directions,BH,12-441 ,Updated 2014,,69.2,0.95,6.1,6.0,17.7,145,611,Tr,,12.9,0.1,,0.0,1.1,0.6,11.2,,Tr,Tr,,3.21,,,,,,,,2.13,,,,0.42,,,,,,0.10,N,Unknown,Unknown
12-513,"Milk drink, fermented, with probiotics","Including Yakult, Danone, Muller and own brand yogurt drinks",BH,,"Industry data, 2013",,83.0,0.47,3.0,1.2,12.7,70,299,0.4,,12.3,N,N,N,N,N,N,0.0,N,0.1,,0.78,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
12-589,"Milk shake, powder, made up with semi-skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-445 ,Updated 2014,,83.2,0.52,3.3,1.7,11.2,70,297,Tr,,11.2,0.0,,0.0,6.6,0.2,4.4,0.0,0.0,0.0,,N,,,,,,,,N,,,,N,,,,,,N,5.5,Unknown,Unknown
12-590,"Milk shake, powder, made up with skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-446 ,Updated 2014,,84.5,0.53,3.3,0.3,11.3,59,250,Tr,,11.3,0.0,,0.0,6.6,0.2,4.4,0.0,0.0,0.0,,N,,,,,,,,N,,,,N,,,,,,N,3.4,Unknown,Unknown
12-591,"Milk shake, powder, made up with whole milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-444 ,Updated 2014,,81.5,0.51,3.3,3.5,11.1,86,362,Tr,,11.1,0.0,,0.0,6.6,0.2,4.2,0.0,0.0,0.0,,N,,,,,,,,N,,,,N,,,,,,N,11.2,Unknown,Unknown
