Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-540,"Cheese spread, plain","20 samples, 7 brands, portions and tubs",BL,12-349 ,"Data from LGC 'Nutrient analysis of cheese' 1999, with missing values from 12-142. Selenium estimated from  Analysis of foods for Selenium 1994 MAFF Project 2B006",,58.1,1.77,11.3,18.6,6.5,237,984,0.0,,6.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,69.28,12.91,,,,,22.21,4.14,25.59,4.76,1.99,0.38,3.55,0.66,,,,,4.94,0.92,54.7,Unknown,Unknown
12-537,"Cheese spread, plain, reduced fat","13 samples, 9 brands, portions and tubs",BL,12-350 ,"LGC, Nutritional analysis of foods commonly consumed by school children, 1995; fats calculated from cheese spread plain on a fat content basis; and selenium from  Analysis of foods for Selenium 1994",,61.4,2.35,15.0,7.2,7.9,154,648,0.6,,7.3,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,,4.56,,,,,,,,1.68,,,,0.24,,,,,,0.32,N,Unknown,Unknown
12-491,"Cheese, Brie, rind only","10 samples, sampled in autumn and spring",BL,,"LGC, Nutrient analysis of cheese, 1999",,51.8,2.59,16.5,26.4,,304,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
12-344,"Cheese, Brie, with outer rind removed",20 samples,BL,12-131 12-861 50-226  ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,48.7,3.18,20.3,29.1,Tr,343,1422,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,Tr,0.0,0.0,0.0,66.70,18.20,,,,,24.65,6.72,27.90,6.70,2.31,0.63,3.70,0.60,,,,,4.64,1.27,93.0,Unknown,Unknown
12-132,"Cheese, Caerphilly",10-20 samples,BL,,"Milk Products and Eggs Supplement, 1989",,41.8,3.64,23.2,31.3,0.1,375,1554,0.0,,0.1,0.0,0.0,0.0,0.0,0.0,0.1,,0.0,,,19.60,,,,,,,,9.10,,,,0.90,,,,,,,90.0,Unknown,Unknown
12-345,"Cheese, Camembert",18 samples,BL,12-133 50-227 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Fats calculated from MW5 50-227 (1989) proportions, some vitamin values from MW5 50-227",,54.4,3.37,21.5,22.7,Tr,290,1205,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,Tr,0.0,0.0,0.0,,14.20,,,,,,,,6.61,,,,0.67,,,,,,N,71.8,Unknown,Unknown
12-548,"Cheese, Cheddar type, '30% less fat'","Including Cathedral City lighter, Pilgrims Choice lighter mature cheese and other/own brands",BL,,"Industry data, 2013; and LGC, Nutrient analysis of cheese, 1999 (from cheddar type, half fat)",,45.9,4.37,27.9,22.1,0.8,314,1305,0.7,,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,13.80,,,,,,,,6.50,,,,0.60,,,,,,N,60.0,Unknown,Unknown
12-348,"Cheese, Cheddar type, half fat",16 samples,BL,12-141 50-230 ,"LGC, Nutrient analysis of cheese, 1999. with inorganics and missing vitamins from MW5 50-230 (1989).",,47.4,5.13,32.7,15.8,Tr,273,1141,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,Tr,0.0,0.0,0.0,,9.90,,,,,,,,4.63,,,,0.42,,,,,,N,43.0,Unknown,Unknown
12-346,"Cheese, Cheddar, English","20 samples of English cheddar, including mild and mature, spring and autumn",BL,12-134 50-228  ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,36.6,3.98,25.4,34.9,0.1,416,1725,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,67.01,21.68,,,,,24.35,8.39,27.57,9.43,2.02,0.70,3.25,1.10,,,,,4.44,1.44,97.0,Unknown,Unknown
12-539,"Cheese, cottage, plain",16 samples,BL,12-351 ,"LGC, Nutrient analysis of cheese, 1999; and industry data, 2013. Some vitamins and minerals estimated from cottage cheese, reduced fat, plain",,83.5,1.47,9.4,6.0,3.1,103,431,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,,3.24,,,,,,,,1.72,,,,0.21,,,,,,0.29,22.0,Unknown,Unknown
12-550,"Cheese, cottage, plain, reduced fat",20 samples,BL,12-352 ,"LGC, Nutrient analysis of cheese, 1999; and industry data, 2013. Fatty acids calculated from 50-234 (1991). Selenium from Analysis of foods for Selenium 1994 MAFF Project 2B006",,84.1,1.66,10.6,1.5,3.3,68,289,0.0,,3.3,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,,0.96,,,,,,,,0.43,,,,Tr,,,,,,Tr,5.0,Unknown,Unknown
12-354,"Cheese, Danish blue",18 samples,BL,12-151 50-236 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,46.3,3.22,20.5,28.9,Tr,342,1418,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,Tr,0.0,0.0,0.0,68.45,19.13,,,,,24.12,6.74,26.99,7.54,2.25,0.63,3.38,0.95,,,,,4.00,1.12,75.0,Unknown,Unknown
