Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-372,"Fromage frais, virtually fat free, fruit","11 samples, 6 brands, including strawberry, raspberry, apricot and blackcherry flavour",BN,50-241 12-160 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; fats, inorganics and vitamins estimated from plain and fruit Milk Products and Eggs Supplement 12-160",,86.7,1.07,6.8,0.2,5.6,50,213,0.7,,4.9,0.7,0.2,0.9,0.2,0.0,2.9,0.0,0.4,0.7,,0.10,,,,,,,,0.10,,,,Tr,,,,,,Tr,1.0,Unknown,Unknown
12-528,"Fromage frais, virtually fat free, natural","7 samples, 6 brands",BN,12-371 ,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; vitamins and fats estimated from very low fat fromage frais 50-241",,87.2,1.20,7.7,0.1,4.6,49,208,0.2,,4.4,0.2,0.1,0.0,0.0,0.0,4.1,0.0,0.0,0.0,,0.10,,,,,,,,Tr,,,,Tr,,,,,,Tr,1.0,Unknown,Unknown
12-373,"Lassi, sweetened","5 samples, takeaway and retail",BN,12-892 ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats as Fatty Acid Supplement (1998) 12-892","Yakult (fermented skimmed milk drink) contains 1.2g protein, 0.1g fat, 18.0g carbohydrate and 77kcal/322kJ energy per 100ml",83.3,0.41,2.6,0.9,12.3,65,274,0.2,0.2,11.9,0.1,0.7,0.1,2.3,0.1,8.6,0.0,0.0,0.0,,0.59,1.92,0.02,1.05,0.01,22.19,0.19,,0.21,2.78,0.02,,0.03,69.18,0.59,0.00,0.00,2.75,0.02,N,Unknown,Unknown
12-547,Tzatziki,Yogurt-based Greek starter. Recipe,BN,12-410 ,Updated 2013,,85.6,0.54,3.4,5.5,3.4,76,314,0.4,,3.0,0.4,0.5,0.3,0.0,Tr,1.9,0.0,0.3,0.3,,3.58,,,,,,,,1.34,,,,0.15,,,,,,0.11,8.8,Unknown,Unknown
12-377,"Yogurt, Greek style, fruit","6 samples, 4 brands, including peach, apricot, strawberry and blackcurrant, made with whole milk",BN,,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; with fats, vitamins and some inorganics estimated from natural Greek style yogurt",,73.5,0.76,4.8,8.4,11.2,137,572,0.7,,10.5,Tr,1.3,1.0,3.8,0.4,4.0,0.0,Tr,Tr,,5.57,,,,,,,,2.17,,,,0.19,,,,,,0.21,13.8,Unknown,Unknown
12-555,"Yogurt, Greek style, plain","7 samples, 6 brands, made with whole milk",BN,12-376 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998. Some vitamins estimated from 12-194, fats as Fatty Acids Supplement 12-872",,78.2,0.90,5.7,10.2,4.8,133,551,0.3,,4.5,0.1,0.9,Tr,Tr,Tr,3.5,0.0,0.0,0.0,,6.75,2.40,0.23,0.50,0.05,24.42,2.35,,2.53,2.62,0.25,,0.28,70.01,6.75,0.60,0.06,2.15,0.21,16.7,Unknown,Unknown
12-380,"Yogurt, low fat, fruit","21 samples, 9 brands, including French set",BN,12-190 50-257 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998.  Cl, I and some vitamin values as 12-190. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,78.9,0.66,4.2,1.1,13.7,78,331,1.0,,12.7,Tr,0.9,1.0,6.1,0.3,4.4,0.0,0.2,0.3,,0.80,,,,,,,,0.30,,,,Tr,,,,,,Tr,6.0,Unknown,Unknown
12-379,"Yogurt, low fat, plain","8 samples, 5 brands",BN,12-188 12-870 50-255 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998. Fatty acids as Fatty Acids Supplement (1998) 12-870. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,87.2,0.75,4.8,1.0,7.8,57,243,0.3,,7.5,0.0,2.9,0.0,0.0,0.0,4.6,0.0,N,N,70.66,0.66,2.76,0.03,0.62,Tr,24.05,0.23,25.91,0.24,3.21,0.03,3.44,Tr,69.40,0.66,1.26,0.01,2.09,0.02,1.3,Unknown,Unknown
12-609,"Yogurt, soya, non-dairy alternative to yogurt, fruit, fortified",3 samples,BN,12-381 12-529,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998. Fatty acids as published in Fatty Acids Supplement 12-873",,82.7,0.58,3.3,2.0,11.0,72,306,0.3,,10.7,2.3,0.0,1.7,6.7,0.0,0.0,0.0,N,1.0,16.67,0.32,54.28,1.03,7.77,0.15,21.09,0.40,21.09,0.40,62.25,1.18,62.25,1.18,16.67,0.32,0.00,0.00,0.00,0.00,0.0,Unknown,Unknown
12-532,"Yogurt, virtually fat free/diet, fruit","14 samples, 10 brands, including bio varieties, flavours include strawberry, raspberry, black cherry and rhubarb",BN,12-382 ,"Reviewed 2013. Data from CCFRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998, with inorganics, vitamins, fats and sugars from LGC 1988 Yoghurt, very low fat/virtually fat free, fruit",,85.4,0.75,4.8,0.2,10.1,59,250,0.7,,9.4,1.3,1.0,0.5,2.1,0.1,4.4,0.0,Tr,0.4,,0.10,,,,,,,,0.10,,,,Tr,,,,,,Tr,N,Unknown,Unknown
