Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-556,"Banana split, homemade",Recipe,BP,12-447 ,Updated 2014,,63.7,0.38,2.3,11.8,23.9,205,858,0.9,,18.4,4.3,,2.3,8.7,0.8,2.6,,0.5,0.6,,6.91,,,,,,,,3.32,,,,0.71,,,,,,0.27,24.4,Unknown,Unknown
12-518,Chocolate nut sundae,Recipe,BP,12-411 ,Recalculated 2013,,48.5,0.43,2.6,15.0,33.5,271,1136,N,,29.9,9.7,Tr,8.8,7.9,0.7,2.8,0.0,N,N,,8.94,,,,,,,,4.23,,,,0.80,,,,,,0.42,39.1,Unknown,Unknown
12-507,Cornetto type ice cream cone,"7 samples, 5 products",BP,12-386 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,41.9,0.56,3.5,14.4,39.6,292,1225,11.7,,27.9,2.0,Tr,1.5,19.1,2.0,3.3,,1.1,1.2,80.22,11.04,4.47,0.62,0.17,0.02,14.60,2.01,14.85,2.04,4.64,0.64,4.64,0.64,80.22,11.04,Tr,Tr,0.25,0.03,5.7,Unknown,Unknown
12-510,"Ice cream bars/choc ices, chocolate coated, luxury","11 samples, 5 products, including Magnum, Galaxy",BP,12-391 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,40.4,0.60,3.9,21.1,34.9,336,1405,Tr,1.9,32.9,1.4,Tr,1.5,23.9,Tr,6.2,,Tr,N,70.46,14.21,2.76,0.56,0.30,0.06,24.79,5.00,25.34,5.11,3.05,0.62,3.05,0.62,69.99,14.12,0.47,0.10,0.55,0.11,19.1,Unknown,Unknown
12-384,"Ice cream bars/choc ices, non-dairy, with chocolate flavoured coating","10 samples, 6 products",BP,12-200 50-263 ,"Reviewed 2013. ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,44.4,0.51,3.2,21.7,23.2,295,1229,0.7,2.0,20.5,0.3,0.0,Tr,13.1,2.4,4.7,0.0,Tr,Tr,88.70,18.40,,,,,8.30,1.72,8.90,1.85,2.10,0.44,2.10,0.44,,,,,0.60,0.12,6.6,Unknown,Unknown
12-385,"Ice cream desserts, frozen","10 samples, 7 brands e.g. Viennetta, Romantica, After Eight",BP,12-203 50-266 ,"Reviewed 2013. ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,51.4,0.56,3.5,17.6,21.0,251,1047,0.7,0.6,19.7,0.5,Tr,Tr,13.8,1.3,4.1,0.0,Tr,Tr,84.20,14.17,,,,,11.80,1.99,12.80,2.15,2.80,0.47,2.90,0.49,,,,,1.00,0.17,4.0,Unknown,Unknown
12-581,"Ice cream with cone, non-dairy, vanilla",Recipe,BP,12-448 ,Updated 2014,,63.0,0.47,2.9,7.5,32.0,200,840,3.3,,22.6,4.8,,0.8,11.1,1.1,5.1,,0.1,0.3,,4.82,,,,,,,,1.89,,,,0.46,,,,,,0.04,12.9,Unknown,Unknown
12-582,"Ice cream with wafers, non-dairy, vanilla",Recipe,BP,12-449 ,Updated 2014,,63.3,0.47,2.9,7.5,31.7,199,836,2.9,,22.7,4.8,,0.8,11.1,1.1,5.1,,0.1,0.3,,4.84,,,,,,,,1.89,,,,0.45,,,,,,0.04,12.9,Unknown,Unknown
12-511,"Ice cream, dairy, luxury, with chocolate/caramel","10 samples, 7 products, including Ben & Jerry's, Haagen-Dazs and own brands",BP,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,48.4,0.66,4.2,13.9,32.2,262,1100,2.9,0.9,28.4,1.2,Tr,1.2,22.2,Tr,3.8,,0.9,1.3,68.26,8.97,3.73,0.49,0.78,0.10,23.74,3.12,25.47,3.35,4.52,0.59,4.52,0.59,66.52,8.74,1.74,0.23,1.72,0.23,58.4,Unknown,Unknown
12-508,"Ice cream, dairy, vanilla, soft scoop","10 samples, 7 products, including Wall's, Mackies and own brands",BP,12-387 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,64.9,0.51,3.2,8.2,22.0,169,711,Tr,,22.0,2.7,Tr,0.9,11.9,1.5,5.1,,Tr,0.2,67.03,5.19,3.12,0.24,0.99,0.08,25.19,1.95,27.46,2.13,4.10,0.32,4.10,0.32,65.09,5.04,1.95,0.15,2.27,0.18,29.4,Unknown,Unknown
