Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-557,"Blancmange, homemade",Recipe,BR,12-452 ,Updated 2014,,77.1,0.52,3.3,1.6,18.1,96,405,6.4,,11.7,Tr,,0.0,7.3,0.0,4.4,0.0,Tr,N,,1.02,,,,,,,,0.38,,,,0.02,,,,,,0.07,5.6,Unknown,Unknown
12-395,"Cheesecake, fruit, frozen","10 samples, assorted flavours, fruit topping",BR,12-219 50-274 11-289 ,"Reviewed 2013. ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999. Fats calculated from Milk Marketing Board, 1992, Fat, Fatty acids and vitamin E on a total fat content basis",,43.6,0.64,4.0,16.2,35.2,294,1231,10.0,0.2,25.0,1.8,Tr,1.6,19.4,0.9,1.3,0.0,0.8,1.0,,9.44,,,,,,,,5.00,,,,0.79,,,,,,0.72,92.0,Unknown,Unknown
12-542,"Cheesecake, fruit, individual","8 samples, 3 brands including strawberry, apricot, blackcurrant and cherry",BR,12-396 ,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; and industry data, 2013. Fatty acids from Fatty Acids Supplement 12-911",,46.6,0.97,6.1,12.3,34.5,264,1111,9.1,,25.4,2.3,Tr,2.0,18.1,0.4,2.6,0.0,1.0,1.6,,7.54,3.62,0.42,0.77,0.09,28.18,3.28,,3.49,4.18,0.49,,0.51,64.90,7.54,0.75,0.09,7.98,0.23,14.7,Unknown,Unknown
12-562,"Cheesecake, homemade",Recipe,BR,12-422 ,Updated 2014,,45.0,1.00,6.2,22.8,25.4,325,1355,10.0,,15.5,0.0,Tr,0.1,13.8,Tr,1.6,,0.4,0.6,,13.18,,,,,,,,6.65,,,,1.14,,,,,,0.67,86.1,Unknown,Unknown
12-571,"Crème caramel, homemade",Recipe,BR,12-453 ,Updated 2014,,63.3,0.82,5.1,3.3,28.7,157,667,0.0,,28.7,Tr,,0.0,26.3,0.0,2.4,,0.0,0.0,,1.23,,,,,,,,1.12,,,,0.38,,,,,,0.04,96.2,Unknown,Unknown
12-397,"Creme caramel, retail","9 samples, 4 brands",BR,12-220 12-875 50-275  ,"Reviewed 2013. Milk Products and Eggs Supplement (1989) 12-220 and FA Supplements (1998) 12-875 with vitamin E from Milk Marketing Board, 1992 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'",,72.0,0.47,3.0,1.6,20.6,104,440,2.6,,18.0,2.3,0.1,1.3,10.3,0.5,3.5,0.0,N,N,,0.89,2.93,0.04,0.98,0.01,23.17,0.34,,0.47,1.44,0.22,,0.06,61.08,0.89,2.43,0.04,11.06,0.16,N,Unknown,Unknown
12-572,"Custard, confectioners'",Recipe,BR,12-421 ,Updated 2014,,64.7,1.07,6.6,3.8,24.8,153,649,5.9,,19.0,Tr,,Tr,15.3,0.0,3.6,,0.2,0.3,,1.52,,,,,,,,1.22,,,,0.39,,,,,,0.06,95.7,Unknown,Unknown
12-573,"Custard, egg",Recipe,BR,12-454 ,Updated 2014,,79.0,0.94,5.9,3.4,10.9,95,402,0.0,,10.9,Tr,,0.0,6.2,0.0,4.7,,0.0,0.0,,1.57,,,,,,,,1.07,,,,0.28,,,,,,0.07,74.3,Unknown,Unknown
12-519,"Custard, made up with semi-skimmed milk",Recipe,BR,12-413 ,Updated 2013,,77.4,0.63,4.0,2.0,16.4,95,403,5.1,,11.2,Tr,,0.0,5.9,0.0,5.4,0.0,Tr,Tr,,1.24,,,,,,,,0.47,,,,0.02,,,,,,0.08,6.8,Unknown,Unknown
12-574,"Custard, made up with skimmed milk",Recipe,BR,12-423 ,Updated 2014,,78.9,0.64,4.0,0.3,16.5,81,345,5.1,,11.3,Tr,,0.0,5.9,0.0,5.5,0.0,Tr,Tr,,0.16,,,,,,,,0.07,,,,0.02,,,,,,Tr,4.2,Unknown,Unknown
