,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
27,14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",
230,17-632,"Coffee, cappuccino, latte",P,Beverages,,
231,17-175,Cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",
232,17-744,Cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",
255,17-498,"Drinking chocolate, powder",PAA,Beverages,,
263,17-672,"Energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",
300,17-745,"Grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",
314,17-731,"Horlicks, powder",PAA,Beverages,,
356,17-179,Lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",
357,17-761,Lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",
358,17-751,"Lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",
359,17-244,"Liqueurs, high strength",QI,Beverages,"bottle, miniature",
394,17-733,"Milk shake, powder",PAA,Beverages,,
422,17-734,"Ovaltine, powder",PAA,Beverages,,
