Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-941,"Eggs, chicken, white, boiled","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,,"DH, Nutrient analysis of eggs, 2012",,85.8,2.08,13.0,Tr,Tr,52,221,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
12-960,"Eggs, chicken, white, dried","Calculated from egg white, raw (12-938) and old code (17-414)",CA,17-414 ,Updated 2014,,4.0,13.06,81.7,Tr,Tr,327,1389,0.0,,Tr,Tr,,Tr,0.0,0.0,0.0,,0.0,0.0,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
12-938,"Eggs, chicken, white, raw","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,12-804 ,"DH, Nutrient analysis of eggs, 2012",,87.3,1.73,10.8,Tr,Tr,43,184,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Tr,Tr,,Tr,,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,,,,,Tr,Tr,0.0,Unknown,Unknown
12-940,"Eggs, chicken, whole, boiled","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,12-806 ,"DH, Nutrient analysis of eggs, 2012",,75.4,2.26,14.1,9.6,Tr,143,595,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,33.87,2.70,,1.38,,0.14,46.09,3.67,,3.69,19.00,1.51,,1.51,,,,,0.18,0.01,360.0,Unknown,Unknown
12-961,"Eggs, chicken, whole, dried",Calculated from whole raw egg (12-937) and old code (12-807),CA,12-807 ,Updated 2014,,4.0,7.80,48.6,34.7,Tr,507,2110,0.0,,Tr,Tr,,0.0,0.0,0.0,0.0,,0.0,0.0,,9.73,,,,,,,,13.28,,,,5.56,,,,,,0.04,1351.0,Unknown,Unknown
12-944,"Eggs, chicken, whole, fried in sunflower oil","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,12-919 ,"DH, Nutrient analysis of eggs, 2012",,68.0,2.35,14.7,15.7,Tr,200,831,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.73,3.35,,4.06,,0.14,41.27,5.38,,5.39,32.28,4.21,,4.21,,,,,0.15,0.02,371.0,Unknown,Unknown
12-962,"Eggs, chicken, whole, fried, without fat",Calculated from raw whole eggs (12-937) and old code (12-809),CA,12-809 ,Updated 2014,,70.6,2.57,16.0,11.4,Tr,167,694,0.0,,Tr,Tr,,0.0,0.0,0.0,0.0,,0.0,0.0,,3.20,,,,,,,,4.37,,,,1.83,,,,,,0.01,445.0,Unknown,Unknown
12-943,"Eggs, chicken, whole, poached","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,12-810 ,"DH, Nutrient analysis of eggs, 2012",,75.3,2.13,13.3,10.6,Tr,149,618,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,34.13,3.00,,1.55,,0.15,45.65,4.02,,4.03,19.33,1.70,,1.70,,,,,0.19,0.02,423.0,Unknown,Unknown
12-937,"Eggs, chicken, whole, raw","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,12-918 ,"DH, Nutrient analysis of eggs, 2012",,76.8,2.02,12.6,9.0,Tr,131,547,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,33.75,2.52,,1.31,,0.13,45.93,3.43,,3.44,19.29,1.44,,1.44,,,,,0.19,0.01,350.0,Unknown,Unknown
12-963,"Eggs, chicken, whole, scrambled, without milk",Calculated from whole raw eggs (12-937) and old code (12-812),CA,12-812 ,Updated 2014,,73.2,2.34,14.6,10.4,Tr,152,633,0.0,,Tr,Tr,,0.0,0.0,0.0,0.0,,0.0,0.0,,2.92,,,,,,,,3.99,,,,1.67,,,,,,0.01,406.1,Unknown,Unknown
12-942,"Eggs, chicken, yolk, boiled","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,,"DH, Nutrient analysis of eggs, 2012",,47.2,2.67,16.7,32.6,Tr,360,1490,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,34.02,9.21,,4.70,,0.47,46.13,12.48,,12.52,19.09,5.17,,5.17,,,,,0.18,0.05,1175.0,Unknown,Unknown
12-939,"Eggs, chicken, yolk, raw","12 samples from 3 egg distribution centres, including enriched cage, barn, free-range and organic",CA,12-805 ,"DH, Nutrient analysis of eggs, 2012",,48.8,2.62,16.4,31.3,Tr,347,1437,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,33.90,8.81,,4.52,,0.45,46.11,11.98,,12.02,19.13,4.97,,4.97,,,,,0.18,0.05,1255.0,Unknown,Unknown
12-814,"Eggs, duck, boiled and salted",20 eggs from 7 different Chinese shops,CA,,"Milk Products and Eggs Suppplement, 1989",,62.0,2.34,14.6,15.5,Tr,198,822,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.80,,,,,,,,6.40,,,,2.70,,,,,,,890.0,Unknown,Unknown
12-920,"Eggs, duck, whole, raw",Analytical and literature sources.  Ref.  Posati and Orr (1976),CA,12-813 12-880 50-297 ,"Posati and Orr (1979) Composition of foods, dairy and egg products, raw, processed and prepared. Agr. Handbook No 8-1. fats and fatty acids from Fatty Acids Supplement (1998) 12-880, Data as Milk Products and Eggs Supplement 12-813",,70.6,2.29,14.3,11.8,Tr,163,680,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.90,18.40,1.81,2.00,0.20,49.10,4.82,,4.90,20.90,2.05,,2.00,28.80,2.83,0.70,0.07,0.80,0.10,680.0,Unknown,Unknown
12-815,"Eggs, quail, whole, raw",Analytical and literature sources,CA,12-881 ,"Posati and Orr (1979) Composition of foods, dairy and egg products, raw, processed and prepared. Agr. Handbook No 8-1. As Milk Products and Eggs Supplement 12-815, with fatty acids from Fatty Acids Supplement 12-881",,72.4,2.06,12.9,11.1,Tr,151,630,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.10,12.00,1.11,1.70,0.16,52.80,4.89,,4.90,13.60,1.26,,1.30,33.20,3.07,0.20,7.00,0.20,0.02,900.0,Unknown,Unknown
12-816,"Eggs, turkey, whole, raw",Literature sources,CA,,"Posati and Orr (1979) Composition of foods, dairy and egg products, raw, processed and prepared. Agr. Handbook No 8-1",,72.5,2.20,13.7,12.2,Tr,165,684,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.70,,,,,,,,4.70,,,,1.40,,,,,,,680.0,Unknown,Unknown
