Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
12-945,"Eggs, chicken, scrambled, with semi-skimmed milk",Recipe,CD,12-926 ,Updated 2014,,65.1,1.76,11.0,21.2,0.7,237,981,Tr,,0.7,Tr,0.0,Tr,Tr,0.0,0.7,0.0,Tr,0.1,,10.82,,,,,,,,6.34,,,,1.66,,,,,,0.49,324.8,Unknown,Unknown
12-947,"Omelette, cheese, homemade",Recipe. Ref. Wiles et al. (1980),CD,12-922 ,Updated 2014,,58.0,2.51,15.9,22.7,Tr,268,1113,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,Tr,0.0,0.0,0.0,,9.55,,,,,,,,6.36,,,,4.80,,,,,,0.50,232.4,Unknown,Unknown
12-946,"Omelette, plain, homemade",Recipe,CD,12-921 ,Updated 2014,,69.1,1.75,10.9,16.4,Tr,191,793,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.22,,,,,,,,4.76,,,,6.73,,,,,,0.01,303.0,Unknown,Unknown
12-957,"Omelette, Spanish, homemade",Recipe,CD,12-932 ,Updated 2014,,78.2,0.90,5.6,7.6,5.9,112,470,2.4,,3.2,1.1,,1.1,1.0,0.0,0.0,,1.3,N,,1.19,,,,,,,,3.73,,,,1.85,,,,,,0.00,120.0,Unknown,Unknown
12-948,"Quiche, cheese and egg, homemade",Recipe. Ref. Wiles et al. (1980),CD,12-923 ,Updated 2014,,48.7,2.01,12.5,22.3,14.6,305,1270,13.1,,1.6,0.1,Tr,Tr,Tr,0.2,1.3,0.0,0.6,1.2,,10.40,,,,,,,,7.88,,,,2.29,,,,,,0.39,116.0,Unknown,Unknown
11-995,"Quiche, cheese and egg, wholemeal, homemade",Recipe,CD,12-924 ,Updated 2014,,48.1,2.08,13.0,20.4,15.6,294,1226,14.0,,1.6,Tr,,Tr,0.2,0.1,1.3,,1.8,2.1,,11.82,,,,,,,,5.56,,,,1.11,,,,,,0.68,137.1,Unknown,Unknown
12-952,"Quiche, Lorraine, homemade",Recipe,CD,12-925 ,Updated 2014,,39.2,2.46,15.3,26.0,16.8,358,1491,14.6,,2.2,0.1,,Tr,Tr,0.2,1.9,,0.7,1.3,,11.19,,,,,,,,9.76,,,,3.18,,,,,,0.33,102.9,Unknown,Unknown
12-936,"Quiche, Lorraine, shortcrust pastry, retail","10 samples, 7 brands",CD,,"DH, Nutrient analysis of processed foods with particular reference to trans fatty acids, 2013",,52.5,1.45,9.1,17.6,19.7,269,1121,16.5,,3.2,0.4,Tr,0.3,0.3,0.7,1.5,,0.9,1.3,49.96,8.31,9.24,1.54,1.79,0.30,37.69,6.27,38.76,6.45,11.03,1.84,11.03,1.84,49.08,8.16,0.87,0.15,1.07,0.18,79.6,Unknown,Unknown
12-953,"Quiche, Lorraine, wholemeal pastry, homemade",Recipe,CD,12-927 ,Updated 2014,,37.8,2.54,15.8,24.9,18.0,354,1476,15.8,,2.2,Tr,,Tr,0.2,0.1,1.9,,2.0,2.3,,13.37,,,,,,,,7.42,,,,1.90,,,,,,0.68,129.7,Unknown,Unknown
12-954,"Quiche, mushroom, homemade",Recipe,CD,12-928 ,Updated 2014,,51.9,1.65,9.9,20.0,15.5,278,1157,14.2,,1.3,0.1,,0.1,Tr,0.2,0.9,,0.9,1.4,,8.97,,,,,,,,7.33,,,,2.27,,,,,,0.29,84.2,Unknown,Unknown
