,Food Code,Food Name,Group,Super Group,Sale format(s)
1,11-001,Arrowroot,AA,Cereals and cereal products,
2,11-002,"Barley, pearl, raw",AA,Cereals and cereal products,packet
3,11-906,"Bran, wheat",AA,Cereals and cereal products,cereal box
4,11-006,"Buckwheat, groats",AA,Cereals and cereal products,packet
5,11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack"
6,11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack"
7,11-971,"Bread, brown, average",AF,Cereals and cereal products,loaf
8,11-969,"Bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack"
9,11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack"
10,11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack"
11,11-973,"Bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack"
12,11-974,"Bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack"
13,11-947,"Bread, seeded",AF,Cereals and cereal products,loaf
14,11-1145,"Bread, white, average",AF,Cereals and cereal products,loaf
15,11-977,"Bread, white, farmhouse or split tin",AF,Cereals and cereal products,loaf
16,11-978,"Bread, white, French stick",AF,Cereals and cereal products,baguette
17,11-980,"Bread, white, sliced",AF,Cereals and cereal products,loaf
18,11-981,"Bread, wholemeal, average",AF,Cereals and cereal products,loaf
19,11-983,"Bread rolls, brown, soft",AG,Cereals and cereal products,"loose, individual
multiple pack"
20,11-984,"Bread rolls, malted wheat",AG,Cereals and cereal products,"loose, individual
multiple pack"
21,11-985,"Bread rolls, white, crusty",AG,Cereals and cereal products,"loose, individual
multiple pack"
22,11-986,"Bread rolls, wholemeal",AG,Cereals and cereal products,"loose, individual
multiple pack"
23,11-763,"Breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products,cereal box
24,11-742,"Breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products,cereal box
25,11-779,"Breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products,cereal box
26,11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",AI,Cereals and cereal products,cereal box
27,11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products,cereal box
28,11-753,"Breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products,cereal box
29,11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",AI,Cereals and cereal products,cereal box
30,11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",AI,Cereals and cereal products,cereal box
31,11-821,"Biscuits, cheese flavoured",AM,Cereals and cereal products,wrapper or box
32,11-815,"Biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products,wrapper or box
33,11-799,"Biscuits, digestive, plain",AM,Cereals and cereal products,wrapper or box
34,11-809,"Biscuits, fully coated with chocolate",AM,Cereals and cereal products,wrapper or box
35,11-801,"Biscuits, plain, reduced fat",AM,Cereals and cereal products,wrapper or box
