,Food Code,Food Name,Group,Super Group,Sale format(s)
0,17-208,"Beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack"
1,17-224,"Cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack"
2,17-234,Port,QF,Alcoholic beverages,bottle
3,17-236,"Sherry, medium",QF,Alcoholic beverages,bottle
4,17-247,"Spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature"
5,17-239,"Vermouth, dry",QG,Alcoholic beverages,bottle
6,17-752,"Wine, red",QE,Alcoholic beverages,"bottle, small bottle, box"
7,17-756,"Wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box"
8,14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle"
9,17-632,"Coffee, cappuccino, latte",P,Beverages,
10,17-175,Cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle"
11,17-744,Cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle"
12,17-498,"Drinking chocolate, powder",PAA,Beverages,
13,17-672,"Energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle"
14,17-745,"Grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle"
15,17-731,"Horlicks, powder",PAA,Beverages,
16,17-179,Lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle"
17,17-761,Lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle"
18,17-751,"Lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle"
19,17-244,"Liqueurs, high strength",QI,Beverages,"bottle, miniature"
20,17-733,"Milk shake, powder",PAA,Beverages,
21,17-734,"Ovaltine, powder",PAA,Beverages,
22,11-001,Arrowroot,AA,Cereals and cereal products,
23,11-002,"Barley, pearl, raw",AA,Cereals and cereal products,packet
24,11-906,"Bran, wheat",AA,Cereals and cereal products,cereal box
25,11-006,"Buckwheat, groats",AA,Cereals and cereal products,packet
26,11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack"
27,11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack"
28,11-971,"Bread, brown, average",AF,Cereals and cereal products,loaf
29,11-969,"Bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack"
30,11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack"
31,11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack"
32,11-973,"Bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack"
33,11-974,"Bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack"
34,11-947,"Bread, seeded",AF,Cereals and cereal products,loaf
35,11-1145,"Bread, white, average",AF,Cereals and cereal products,loaf
36,11-977,"Bread, white, farmhouse or split tin",AF,Cereals and cereal products,loaf
37,11-978,"Bread, white, French stick",AF,Cereals and cereal products,baguette
38,11-980,"Bread, white, sliced",AF,Cereals and cereal products,loaf
39,11-981,"Bread, wholemeal, average",AF,Cereals and cereal products,loaf
40,11-983,"Bread rolls, brown, soft",AG,Cereals and cereal products,"loose, individual
multiple pack"
41,11-984,"Bread rolls, malted wheat",AG,Cereals and cereal products,"loose, individual
multiple pack"
42,11-985,"Bread rolls, white, crusty",AG,Cereals and cereal products,"loose, individual
multiple pack"
43,11-986,"Bread rolls, wholemeal",AG,Cereals and cereal products,"loose, individual
multiple pack"
44,11-763,"Breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products,cereal box
45,11-742,"Breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products,cereal box
46,11-779,"Breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products,cereal box
47,11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",AI,Cereals and cereal products,cereal box
48,11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products,cereal box
49,11-753,"Breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products,cereal box
50,11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",AI,Cereals and cereal products,cereal box
51,11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",AI,Cereals and cereal products,cereal box
52,11-821,"Biscuits, cheese flavoured",AM,Cereals and cereal products,wrapper or box
53,11-815,"Biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products,wrapper or box
54,11-799,"Biscuits, digestive, plain",AM,Cereals and cereal products,wrapper or box
55,11-809,"Biscuits, fully coated with chocolate",AM,Cereals and cereal products,wrapper or box
56,11-801,"Biscuits, plain, reduced fat",AM,Cereals and cereal products,wrapper or box
57,11-826,"Breadsticks, plain",AM,Cereals and cereal products,box
58,,"Banana bread, retail",AN,Cereals and cereal products,loaf
59,,"Brownies, chocolate, retail",AN,Cereals and cereal products,
60,,"Brownies, chocolate, baking mix",AN,Cereals and cereal products,packet
61,11-970,"Bagels, plain",AP,Cereals and cereal products,"loose, individual
multiple pack"
62,,Bread and Butter pudding,AS,Cereals and cereal products,
63,11-011,"Cornmeal, sifted",AA,Cereals and cereal products,packet
64,11-988,Croissants,AG,Cereals and cereal products,
65,11-820,Cream crackers,AM,Cereals and cereal products,wrapper or box
66,11-839,"Cakes, fancy iced, individual, retail",AN,Cereals and cereal products,
67,11-1020,"Crumble, fruit, retail",AS,Cereals and cereal products,
68,11-850,"Doughnuts, ring, iced",AP,Cereals and cereal products,
69,11-849,"Doughnuts, with jam",AP,Cereals and cereal products,
70,,"Dumplings,",AT,Cereals and cereal products,
71,,"Biscuit, gingerbread",AN,Cereals and cereal products,
72,,"Hot cross buns, ",AP,Cereals and cereal products,packet
73,11-739,Jaffa cakes,AM,Cereals and cereal products,wrapper or box
74,11-846,"Jam tarts, retail",AS,Cereals and cereal products,
75,,"Macaroni cheese, retail",AD,Cereals and cereal products,
76,11-780,"Muesli, Swiss style, unfortified",AI,Cereals and cereal products,cereal box
77,11-737,"Muffins, American, chocolate, retail",AN,Cereals and cereal products,
78,11-848,"Mince pies, retail",AS,Cereals and cereal products,
79,11-719,"Noodles, egg, dried, raw",AD,Cereals and cereal products,
80,11-823,"Oatcakes, plain, retail",AM,Cereals and cereal products,wrapper or box
81,11-936,"Pizza, cheese and tomato, retail",A,Cereals and cereal products,
82,11-788,"Porridge oats, unfortified",A,Cereals and cereal products,
