,Food Code,Food Name,Group,Super Group,Sale format(s)
1,,"Apple sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar
2,17-705,Barbecue sauce,WC,"Soups, sauces and miscellaneous foods",
3,17-678,"Brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods",
4,17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods",can
5,17-719,Chilli sauce,WC,"Soups, sauces and miscellaneous foods",
6,,Cheese sauce,WCD,"Soups, sauces and miscellaneous foods",
7,17-345,"Chutney, tomato",WCG,"Soups, sauces and miscellaneous foods",jar
8,17-358,Cream of tartar,WY,"Soups, sauces and miscellaneous foods",sachet
9,17-715,"Dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods",
10,17-701,"Dressing, French",WCG,"Soups, sauces and miscellaneous foods",
11,17-717,"Dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods",
12,,"Guacamole, retail",WC,"Soups, sauces and miscellaneous foods",
13,17-360,Gelatine,WY,"Soups, sauces and miscellaneous foods",
14,17-724,Gravy instant granules,WY,"Soups, sauces and miscellaneous foods",
15,,"Hollandaise sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar
16,,"Hollandaise sauce, Vegan, retail",WC,"Soups, sauces and miscellaneous foods",jar
17,17-654,"Mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",
18,17-364,"Mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar
19,17-623,"Pesto, red",WC,"Soups, sauces and miscellaneous foods",jar
20,17-718,"Pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar
21,17-702,Piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar
22,17-354,"Relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar
23,17-711,"Soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can
24,17-695,"Soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can
25,17-652,"Soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can
26,17-698,"Soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can
27,17-700,"Soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can
28,17-712,"Soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can
29,17-653,"Soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can
30,17-628,"Sauce, Chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",
31,17-629,"Sauce, Chinese stir fry",WC,"Soups, sauces and miscellaneous foods",
32,17-703,Salad cream,WCG,"Soups, sauces and miscellaneous foods",
33,,"Sauce, sweet and sour, retail",WCN,"Soups, sauces and miscellaneous foods",jar
34,17-721,"Soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",
35,17-367,Salt,WY,"Soups, sauces and miscellaneous foods",
36,17-515,"Stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",
37,17-680,Stock gel,WY,"Soups, sauces and miscellaneous foods",
38,17-681,"Stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",
39,17-339,Vinegar,WY,"Soups, sauces and miscellaneous foods",
40,,"White sauce, retial",WCD,"Soups, sauces and miscellaneous foods",jar
41,,"White sauce, Vegan, retial",WCD,"Soups, sauces and miscellaneous foods",jar
42,17-723,Worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",
43,17-377,"Water, distilled",WY,"Soups, sauces and miscellaneous foods",
44,17-517,Yeast extract,WY,"Soups, sauces and miscellaneous foods",jar
