,Food Code,Food Name,Group,Super Group,Sale format(s)
1,17-659,Chocolate spread,SC,"Sugars, preserves and snacks",jar
2,17-658,Chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack"
3,17-763,Creme egg,SEA,"Sugars, preserves and snacks",individual
4,17-645,Corn snacks,SN,"Sugars, preserves and snacks",bag
5,,"Chevda/chevra/chewra, retial",SNC,"Sugars, preserves and snacks",
6,17-049,"Glucose liquid, BP",SC,"Sugars, preserves and snacks",tube
7,17-050,Honey,SC,"Sugars, preserves and snacks",jar
8,17-689,"Ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks",
9,17-075,"Jam, reduced sugar",SC,"Sugars, preserves and snacks",jar
10,17-777,Liquorice allsorts,SEC,"Sugars, preserves and snacks",bag
11,17-078,Marmalade,SC,"Sugars, preserves and snacks",jar
12,17-651,Maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag"
13,17-668,Mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack"
14,17-669,Milky Way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack"
15,17-114,Marshmallows,SEC,"Sugars, preserves and snacks",
16,,Nougat,SEC,"Sugars, preserves and snacks",
17,17-117,Peppermints,SEC,"Sugars, preserves and snacks",
18,17-692,"Popcorn, salted, retail",SN,"Sugars, preserves and snacks",
19,17-132,Pork scratchings,SN,"Sugars, preserves and snacks",bag
20,17-693,"Potato crisps, low fat",SN,"Sugars, preserves and snacks",bag
21,17-060,"Sugar, brown",SC,"Sugars, preserves and snacks",bag
22,17-062,"Sugar, icing",SC,"Sugars, preserves and snacks",bag
23,17-063,"Sugar, white",SC,"Sugars, preserves and snacks",bag
24,17-065,"Syrup, golden",SC,"Sugars, preserves and snacks",tin
25,17-096,Smartie-type sweets,SEA,"Sugars, preserves and snacks",tube
