Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-491,"Potatoes, old, baked, flesh and skin","22 samples, autumn and winter, including white and red varieties, pre-packed and loose",DAM,13-010 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,71.0,0.40,2.5,0.2,22.6,97,413,21.2,,1.4,0.6,Tr,0.5,0.3,0.0,0.0,0.0,1.4,2.6,,0.10,,,,,,,,0.04,,,,0.04,,,,,,0.00,0.0,Unknown,Unknown
13-620,"Potatoes, old, baked, flesh only","IFR. Samples as raw; baked 90 minutes 200C and calculated from 13-491. Average of Desiree, King Edward, Pentland Crown, Maris Piper over 6 seasons",DAM,13-011 ,"As Vegetables, Herbs and Spices Supplement (1991) 13-011, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,78.9,0.35,2.2,0.1,18.0,77,329,17.3,,0.7,0.2,0.0,0.1,0.4,0.0,0.0,0.0,1.4,N,,Tr,,,,,,,,Tr,,,,0.10,,,,,,0.00,0.0,Unknown,Unknown
13-621,"Potatoes, old, baked, flesh only, weighed with skin","Calculated from flesh only. Average of Desiree, King Edward, Pentland Crown, Maris Piper over 6 seasons",DAM,13-012 ,"Vegetables, Herbs and Spices Supplement, 1991",,52.9,0.23,1.5,0.1,12.1,52,223,11.6,,0.5,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.9,N,,Tr,,,,,,,,Tr,,,,0.10,,,,,,0.00,0.0,Unknown,Unknown
13-605,"Potatoes, old, boiled in salted water, flesh only","22 samples, autumn and winter, including white and red varieties, pre-packed and loose, based on boiled in unsalted water",DAM,13-476 ,"DH, Nutrient analysis of fresh and processed fruit and vegetables, 2013. Na and Cl from 13-476",,78.9,0.28,1.8,0.1,17.5,74,315,16.7,,0.8,0.3,Tr,0.3,0.2,0.0,0.0,0.0,1.0,1.6,,0.03,,,,,,,,0.01,,,,0.01,,,,,,0.00,0.0,Unknown,Unknown
13-490,"Potatoes, old, boiled in unsalted water, flesh only","22 samples, autumn and winter, including white and red varieties, pre-packed and loose",DAM,13-421 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,78.9,0.28,1.8,0.1,17.5,74,315,16.7,,0.8,0.3,Tr,0.3,0.2,0.0,0.0,0.0,1.0,1.6,,0.03,,,,,,,,0.01,,,,0.01,,,,,,0.00,0.0,Unknown,Unknown
13-553,"Potatoes, old, mashed with butter","Recipe. 100g boiled potatoes, 5g butter, 7g milk",DAM,13-481 ,Updated 2013,,76.7,0.29,1.9,3.9,15.9,102,430,14.9,,1.0,0.3,Tr,0.3,0.2,0.0,0.3,0.0,0.9,1.4,,2.42,,,,,,,,0.97,,,,0.14,,,,,,0.13,9.9,Unknown,Unknown
13-554,"Potatoes, old, mashed with reduced fat spread","Recipe. 100g boiled potatoes, 5g butter, 7g milk",DAM,,Updated 2013,,77.8,0.28,1.8,2.8,15.9,93,391,14.9,,1.0,0.3,Tr,0.3,0.2,Tr,0.3,0.0,0.9,1.4,,0.68,,,,,,,,0.82,,,,1.13,,,,,,0.01,0.4,Unknown,Unknown
13-494,"Potatoes, old, microwaved, flesh and skin","11 samples, including white and red varieties, pre-packed and loose",DAM,,"DH, Nutrient analysis of fruit and vegetables, 2013",,73.2,0.41,2.6,0.1,21.5,92,392,19.4,,2.1,0.9,Tr,0.8,0.4,0.0,0.0,0.0,1.4,2.7,,0.03,,,,,,,,0.01,,,,0.01,,,,,,0.00,0.0,Unknown,Unknown
13-566,"Potatoes, old, potato wedges, with skin, cooked in sunflower oil, homemade",Calculated from 13-491 and 17-045,DAM,,"Nutrient analysis of fresh and processed fruit and vegetables, 2013",,62.6,0.46,2.9,3.8,26.5,145,614,24.8,,1.7,0.7,0.0,0.6,0.4,0.0,0.0,0.0,1.6,3.0,,0.47,,,,,,,,0.77,,,,2.35,,,,,,Tr,0.0,Unknown,Unknown
13-489,"Potatoes, old, raw, flesh only","22 samples, autumn and winter, including white and red varieties, pre-packed and loose",DAM,13-009 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,78.1,0.31,1.9,0.1,19.6,82,349,18.7,,0.9,0.5,Tr,0.4,Tr,0.0,0.0,0.0,0.8,2.0,53.24,0.03,,0.01,,Tr,22.16,0.01,,0.01,19.72,0.01,,0.01,,,,,0.00,0.00,0.0,Unknown,Unknown
13-599,"Potatoes, old, roasted in corn oil","Calculated from raw, parboiled for 5-10 minutes and roasted for 50 minutes. Water and fat analysed, 2013",DAM,13-016 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,64.9,0.42,2.6,5.7,26.4,161,678,25.2,,1.2,0.7,0.0,0.5,Tr,0.0,0.0,0.0,1.1,2.7,,0.84,,,,,,,,1.68,,,,2.88,,,,,,Tr,0.0,Unknown,Unknown
13-600,"Potatoes, old, roasted in lard","Calculated from raw, parboiled for 5-10 minutes and roasted for 50 minutes. Water and fat analysed, 2013",DAM,50-673 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,64.9,0.42,2.6,5.7,26.4,161,678,25.2,,1.2,0.7,0.0,0.5,Tr,0.0,0.0,0.0,1.1,2.7,,2.29,,,,,,,,2.44,,,,0.57,,,,,,Tr,5.2,Unknown,Unknown
13-492,"Potatoes, old, roasted in sunflower oil, flesh only","Calculated from baked. Water and fat analysed, 2012",DAM,,"DH, Nutrient analysis of fruit and vegetables, 2013",,64.9,0.42,2.6,5.7,26.4,161,678,25.2,,1.2,0.7,0.0,0.5,Tr,0.0,0.0,0.0,1.1,2.7,,0.70,,,,,,,,1.16,,,,3.55,,,,,,Tr,0.0,Unknown,Unknown
13-493,"Potatoes, old, wedges, with skin, homemade, cooked in rapeseed oil","Calculated from baked. Water and fat analysed, 2012. Most unspecified vegetable oils are made from rapeseed oil",DAM,,"DH, Nutrient analysis of fruit and vegetables, 2013",,62.6,0.46,2.9,3.8,26.5,145,614,24.8,,1.7,0.7,0.0,0.6,0.4,0.0,0.0,0.0,1.6,3.0,,0.27,,,,,,,,2.20,,,,1.09,,,,,,Tr,0.0,Unknown,Unknown
