Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-024,"Potato chips, crinkle cut, frozen, fried in corn oil","10 samples, 10 brands. Deep fried 3-6 minutes",DAP,,"Vegetables, Herbs and Spices Supplement, 1991",,41.0,0.58,3.6,16.7,33.4,290,1213,32.5,,0.9,0.2,0.0,0.2,0.5,0.0,0.0,,2.2,,,3.10,,,,,,,,4.20,,,,8.60,,,,,,,0.0,Unknown,Unknown
13-486,"Potato chips, fine cut, from fast food outlets","5 samples, including McDonald's, Burger King, Wimpy, KFC",DAP,13-423 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,38.5,0.55,3.5,14.2,39.7,290,1219,39.4,,0.3,Tr,Tr,Tr,0.3,Tr,Tr,0.0,3.2,3.8,18.40,2.50,20.43,2.77,3.11,0.42,57.48,7.80,57.60,7.82,23.54,3.20,23.54,3.20,18.35,2.49,0.05,0.01,0.11,0.02,Tr,Unknown,Unknown
50-684,"Potato chips, fine cut, frozen, fried in blended vegetable oil",Calculation from fried in corn oil 13-026,DAP,,"Vegetables, Herbs and Spices Supplement, 1991",,26.0,0.72,4.5,21.3,41.2,364,1524,40.6,,0.6,0.2,,0.2,0.2,0.0,0.0,0.0,2.4,,,1.80,,,,,,,,10.60,,,,7.80,,,,,,,0.0,Unknown,Unknown
13-026,"Potato chips, fine cut, frozen, fried in corn oil","10 samples, 4 brands. Deep fried 1-4 minutes",DAP,50-685 ,"As Vegetables, Herbs and Spices Supplement (1991) 13-026, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,26.0,0.72,4.5,21.3,41.2,364,1524,40.6,,0.6,0.2,0.0,0.2,0.2,0.0,0.0,0.0,2.7,,,4.00,,,,,,,,5.40,,,,11.00,,,,,,N,0.0,Unknown,Unknown
50-686,"Potato chips, fine cut, frozen, fried in dripping",Calculation from fried in corn oil 13-026,DAP,,"Vegetables, Herbs and Spices Supplement, 1991",,26.0,0.72,4.5,21.3,41.2,364,1524,40.6,,0.6,0.2,,0.2,0.2,0.0,0.0,0.0,2.7,,,11.80,,,,,,,,7.90,,,,0.50,,,,,,,19.0,Unknown,Unknown
13-485,"Potato chips, fried in commercial oil, from takeaway fish and chip shops","10 samples, cooked in beef fat or commercial vegetable oil",DAP,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,51.0,0.56,3.5,8.4,33.2,214,902,32.7,,0.6,0.1,Tr,0.1,0.3,Tr,Tr,0.0,3.7,3.2,53.39,4.29,5.54,0.44,0.29,0.02,37.62,3.02,39.67,3.19,5.83,0.47,5.83,0.47,52.79,4.24,0.60,0.05,2.05,0.16,0.9,Unknown,Unknown
13-595,"Potato chips, homemade, fried in corn oil","Deep fried 6 minutes, 190C. Calculated from 13-021 and 13-489",DAP,13-021 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,56.5,0.52,3.2,6.7,33.1,197,832,31.6,,1.5,0.8,0.0,0.7,Tr,0.0,0.0,0.0,1.4,3.4,,0.98,,,,,,,,1.98,,,,3.40,,,,,,Tr,0.0,Unknown,Unknown
13-596,"Potato chips, homemade, fried in dripping","Deep fried 6 minutes, 190C. Calculated from 13-021 and 13-489",DAP,13-406 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,56.5,0.52,3.2,6.7,33.1,197,832,31.6,,1.5,0.8,0.0,0.7,Tr,0.0,0.0,0.0,1.4,3.4,,3.37,,,,,,,,2.52,,,,0.17,,,,,,0.29,12.5,Unknown,Unknown
13-555,"Potato chips, homemade, fried in rapeseed oil",Calculated from raw and deep fried in corn oil,DAP,13-407 ,Updated 2013,,55.9,0.57,3.6,6.7,34.1,202,854,33.2,,0.9,0.5,0.0,0.4,Tr,0.0,0.0,0.0,1.4,3.4,,0.44,,,,,,,,3.92,,,,1.94,,,,,,Tr,0.0,Unknown,Unknown
13-597,"Potato chips, homemade, fried in sunflower oil","Deep fried 6 minutes, 190C. Calculated from 13-021 and 13-489",DAP,13-408 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,56.5,0.52,3.2,6.7,33.1,197,832,31.6,,1.5,0.8,0.0,0.7,Tr,0.0,0.0,0.0,1.4,3.4,,0.82,,,,,,,,1.36,,,,4.19,,,,,,Tr,0.0,Unknown,Unknown
13-557,"Potato chips, microwave, cooked","10 samples, 2 brands; cooked as packet directions",DAP,13-028 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013. Fatty acid fractions calculated from 13-869 based on total fat content and fatty acid proportions.",,50.4,0.58,3.6,9.6,32.1,221,930,31.5,,0.6,0.2,0.0,0.1,0.3,0.0,0.0,0.0,2.9,2.9,,0.55,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
13-487,"Potato chips, oven ready, no batter, baked","11 samples, 10 products, straight cut and crinkle cut",DAP,13-029 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,54.2,0.51,3.2,4.9,35.3,189,800,34.3,,1.0,0.4,Tr,0.3,0.4,Tr,Tr,0.0,2.7,3.5,16.55,0.78,51.79,2.43,0.43,0.02,28.99,1.36,28.99,1.36,2.22,2.45,52.22,2.45,16.55,0.78,Tr,Tr,Tr,Tr,0.0,Unknown,Unknown
13-488,"Potato chips, oven ready, with batter, baked","10 samples, 8 brands, including McCain Homefries and Crispy French Fries, Aunt Bessie's Homestyle Chips and own brands",DAP,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,51.9,0.54,3.4,6.1,35.6,202,852,35.2,,0.4,0.1,Tr,Tr,0.3,Tr,Tr,0.0,2.9,3.3,22.22,1.30,47.55,2.77,0.42,0.02,31.51,1.84,31.62,1.84,47.97,2.80,47.97,2.80,22.22,1.30,Tr,Tr,0.11,0.01,Tr,Unknown,Unknown
50-681,"Potato chips, straight cut, frozen, fried in blended oil",Calculation from fried in corn oil 13-025,DAP,,"Vegetables, Herbs and Spices Supplement, 1991",,40.3,0.66,4.1,13.5,36.0,273,1145,35.3,,0.7,0.2,,0.2,0.3,0.0,0.0,0.0,2.4,,,1.20,,,,,,,,6.70,,,,4.90,,,,,,,0.0,Unknown,Unknown
13-025,"Potato chips, straight cut, frozen, fried in corn oil","10 samples, 10 brands. Deep fried 3-5 minutes",DAP,50-862 ,"Vegetables, Herbs and Spices Supplement, 1991",,40.3,0.66,4.1,13.5,36.0,273,1145,35.3,,0.7,0.2,0.0,0.2,0.3,0.0,0.0,0.0,2.4,,,2.50,,,,,,,,3.40,,,,7.00,,,,,,N,0.0,Unknown,Unknown
