Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-613,"Potato chips, fried in beef dripping, from takeaway fish and chip shops",10 samples with fatty acids calculated from beef dripping,DAR,,"Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2010",,51.0,0.56,3.5,8.4,33.2,214,902,32.7,,0.6,0.1,Tr,0.1,0.3,Tr,Tr,0.0,3.7,3.2,,4.20,,,,,,,,3.16,,,,0.20,,,,,,0.37,11.0,Unknown,Unknown
13-612,"Potato chips, fried in palm oil, from takeaway fish and chip shops",10 samples with fatty acids calculated from palm oil,DAR,,"Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2010",,51.0,0.56,3.5,8.4,33.2,214,902,32.7,,0.6,0.1,Tr,0.1,0.3,Tr,Tr,0.0,3.7,3.2,,3.97,,,,,,,,3.08,,,,0.86,,,,,,N,0.9,Unknown,Unknown
13-614,"Potato chips, fried in rapeseed oil, from takeaway fish and chip shops",10 samples with fatty acids calculated from rapeseed oil,DAR,,"Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2010",,51.0,0.56,3.5,8.4,33.2,214,902,32.7,,0.6,0.1,Tr,0.1,0.3,Tr,Tr,0.0,3.7,3.2,,0.55,,,,,,,,4.92,,,,2.43,,,,,,N,0.0,Unknown,Unknown
13-038,"Potato croquettes, fried in blended oil","10 samples, 5 brands.  Shallow fried 5-7 minutes",DAR,50-690 ,"As VHS 13-038, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,58.2,0.59,3.7,13.1,21.6,214,893,21.1,,0.5,0.2,0.0,0.3,0.1,0.0,0.0,0.0,1.3,,,1.70,,,,,,,,3.20,,,,7.60,,,,,,N,0.0,Unknown,Unknown
13-615,"Potato powder, instant, made up with semi-skimmed milk",Calculated from ingredients; made up as packet directions,DAR,13-034 ,Updated 2014,,80.5,0.38,2.4,0.5,14.2,67,287,12.7,,1.5,0.1,0.0,0.1,Tr,0.0,1.3,0.0,1.0,N,,0.30,,,,,,,,0.10,,,,0.10,,,,,,Tr,2.0,Unknown,Unknown
13-616,"Potato powder, instant, made up with skimmed milk",Calculated from ingredients; made up as packet directions,DAR,13-035 ,Updated 2014,,80.9,0.38,2.4,0.1,14.2,66,281,12.7,,1.5,0.1,0.0,0.1,Tr,0.0,1.3,0.0,1.0,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,Tr,Unknown,Unknown
13-558,"Potato powder, instant, made up with water",Calculated from ingredients; made up as packet directions,DAR,13-032 ,"Vegetables, Herbs and Spices Supplement, 1991; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,83.3,0.24,1.5,0.1,13.5,57,245,12.7,,0.7,0.1,0.0,0.1,Tr,0.0,0.6,0.0,1.0,1.2,,Tr,,,,,,,,Tr,,,,0.10,,,,,,Tr,0.0,Unknown,Unknown
13-617,"Potato powder, instant, made up with whole milk",Calculated from ingredients; made up as packet directions,DAR,13-033 ,Updated 2014,,80.0,0.37,2.4,1.2,14.8,76,322,12.7,,2.0,0.1,0.0,0.1,Tr,0.0,1.9,0.0,1.0,N,,N,,,,,,,,N,,,,N,,,,,,Tr,Tr,Unknown,Unknown
13-598,"Potato powder, instant, raw","10 samples, 9 brands",DAR,13-031 ,"Vegetables, Herbs and Spices Supplement, 1991; and industry data, 2014",,7.3,1.34,8.4,0.6,74.9,320,1363,70.8,,4.1,0.5,0.0,0.5,Tr,0.0,3.1,,5.8,7.7,,0.10,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
13-483,"Potato wedges, retail, cooked","10 samples, 9 products, frozen, including McCain and own brands",DAR,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,61.5,0.45,2.8,5.5,30.6,176,741,29.7,0.2,0.8,0.2,0.0,0.2,0.3,0.1,0.0,,3.2,4.3,47.34,2.49,9.00,0.47,0.42,0.02,37.04,1.95,42.24,2.22,9.42,0.50,9.42,0.50,47.34,2.49,0.00,0.00,5.19,0.27,0.0,Unknown,Unknown
