Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-578,"Baked beans, canned in barbecue sauce","5 cans (Heinz), and manufacturer's data",DB,13-051 ,"Vegetables, Herbs and Spices Supplement, 1991; estimated from 13-532; and industry data, 2014",,71.8,0.85,5.3,0.4,14.0,77,329,9.2,,4.8,0.9,0.0,1.1,2.8,0.0,0.0,0.0,3.8,4.9,,N,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
13-532,"Baked beans, canned in tomato sauce","16 samples, 9 brands",DB,,"DH, Nutrient analysis of fruit and vegetables, 2013",,72.8,0.81,5.0,0.5,15.0,81,343,10.2,,4.8,0.6,0.0,0.8,3.4,0.0,0.0,,3.8,4.9,22.92,0.09,,0.13,,0.15,15.56,0.06,,0.06,68.75,0.27,,0.27,,,,,0.06,Tr,0.0,Unknown,Unknown
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Estimated from 13-532 and industry data,DB,,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",,72.8,0.81,5,0.5,13.5,75,320,10.2,Tr,3.3,0.6,0.0,0.8,1.9,0.0,0.0,,3.8,4.9,,0.09,,,,,,,,0.06,,,,0.27,,,,,,Tr,0.0,Unknown,Unknown
13-579,"Baked beans, canned in tomato sauce, with pork sausages","LGC; 10 cans, 3 brands",DB,13-048 ,"Vegetables, Herbs and Spices Supplement, 1991; and indsutry data, 2014",,72.5,0.96,6.0,4.5,11.0,98,411,7.0,,4.0,0.5,0.0,0.7,2.8,0.0,0.0,0.0,2.8,3.3,,N,,,,,,,,N,,,,N,,,,,,Tr,N,Unknown,Unknown
13-042,"Beans, aduki, whole, dried, boiled in unsalted water",Analysis and calculation from dried,DB,50-693 ,"LGC, Fruit and vegetables, 1989-1990",,59.4,1.48,9.3,0.2,22.5,123,525,20.8,,0.5,Tr,0.0,Tr,0.3,0.1,0.0,0.0,5.5,,,N,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
13-041,"Beans, aduki, whole, dried, raw","6 samples, whole beans",DB,50-692 ,"LGC, Fruit and vegetables, 1989-1990",,12.7,3.18,19.9,0.5,50.1,272,1158,44.7,,1.0,0.1,0.0,Tr,0.7,0.2,0.0,0.0,11.1,,,N,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
13-049,"Beans, balor, ends trimmed, raw",5 samples,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,88.4,0.44,2.7,0.1,3.0,23,98,0.6,,2.4,N,0.0,N,N,0.0,0.0,,3.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",Soaked and boiled,DB,50-701 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,66.2,1.41,8.8,0.7,19.9,116,494,18.0,0.8,1.1,0.1,0.0,Tr,0.9,Tr,0.0,0.0,3.5,N,,0.20,,,,,,,,0.10,,,,0.30,,,,,,0.00,0.0,Unknown,Unknown
13-062,"Beans, blackeye, whole, dried, raw",Analysis and literature sources,DB,50-700 ,"LGC, Fruit and vegetables, 1989-1990",,10.7,3.76,23.5,1.6,54.1,311,1324,47.5,,2.9,0.2,0.0,0.1,2.5,0.1,0.0,0.0,8.2,,,0.50,,,,,,,,0.10,,,,0.70,,,,,,0.00,0.0,Unknown,Unknown
13-067,"Beans, broad, dried, raw",Literature sources,DB,,"Vegetables, Herbs and Spices Supplement, 1991",,11.0,4.17,26.1,2.1,32.5,245,1041,24.4,,5.9,0.6,0.0,1.5,3.8,0.0,0.0,,27.6,,,0.30,,,,,,,,0.30,,,,1.10,,,,,,,0.0,Unknown,Unknown
