Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-439,"Peas, boiled in unsalted water","Whole peas, no pods. Boiled 20 minutes",DF,13-129 50-730 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,75.6,1.07,6.7,1.6,10.0,79,329,7.6,1.2,1.2,Tr,0.0,Tr,1.2,0.0,0.0,0.0,4.5,5.6,,0.30,,,,,,,,0.20,,,,0.80,,,,,,Tr,0.0,Unknown,Unknown
13-564,"Peas, canned in water, re-heated, drained","10 samples, 9 brands, no added salt",DF,13-441 ,"Vegetables, Herbs and Spices Supplement, 1991; and industry data, 2013. LGC data for folate and carotenoids. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,77.9,0.85,5.3,0.9,8.0,59,251,6.3,Tr,1.7,Tr,0.0,Tr,1.7,0.0,0.0,0.0,5.1,5.3,,0.20,,,,,,,,0.10,,,,0.40,,,,,,Tr,0.0,Unknown,Unknown
13-131,"Peas, dried, boiled in unsalted water","Whole peas; soaked 24 hours, boiled 2 hours",DF,,"MW4, 1978. Values revised for Vegetables, Herbs and Spices Supplement, 1991",,70.3,1.11,6.9,0.8,19.9,109,465,18.2,,0.9,Tr,0.0,Tr,0.8,0.0,0.0,,5.5,,,0.30,,,,,,,,0.10,,,,0.40,,,,,,,0.0,Unknown,Unknown
13-130,"Peas, dried, raw",Whole peas,DF,,"MW4, 1978. Values revised for Vegetables, Herbs and Spices Supplement, 1991",,13.3,3.45,21.6,2.4,52.0,303,1288,47.6,,2.4,0.1,0.0,0.1,2.2,0.0,0.0,,13.0,,,0.40,,,,,,,,0.30,,,,1.20,,,,,,,0.0,Unknown,Unknown
13-536,"Peas, frozen, boiled in unsalted water",Calculated from raw using a weight loss of 3.8%,DF,13-440 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,76.6,0.88,5.5,0.7,11.2,70,299,5.3,,5.9,Tr,0.0,Tr,5.9,0.0,0.0,0.0,4.0,5.5,,0.14,,,,,,,,0.07,,,,0.38,,,,,,Tr,0.0,Unknown,Unknown
13-528,"Peas, frozen, microwaved","12 samples, 8 brands, garden peas and petit pois, cooked for 2-4.5 minutes",DF,,"DH, Nutrient analysis of fruit and vegetables, 2013",,77.6,0.91,5.7,0.9,10.8,71,303,4.2,,6.6,Tr,Tr,Tr,6.6,0.0,0.0,0.0,4.5,5.6,,0.17,,,,,,,,0.09,,,,0.46,,,,,,Tr,0.0,Unknown,Unknown
13-527,"Peas, frozen, raw","12 samples, 8 brands, garden peas and petit pois",DF,,"DH, Nutrient analysis of fruit and vegetables, 2013",,78.9,0.85,5.3,0.7,10.7,68,288,5.1,Tr,5.7,Tr,Tr,Tr,5.7,0.0,0.0,0.0,3.9,5.3,23.93,0.13,,0.31,,0.06,12.07,0.07,,0.07,65.09,0.36,,0.36,,,,,0.04,Tr,0.0,Unknown,Unknown
13-641,"Peas, mange-tout, boiled in unsalted water","11 samples, imported, boiled for 3-6 minutes",DF,13-547,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,89.9,0.52,3.3,0.4,4.2,32,137,0.5,,3.7,2.2,0,0.3,1.1550000000000002,0,0,0,2.2,1.6,,0.08,,,,,,,,0.04,,,,0.17,,,,,,Tr,0,Unknown,Unknown
13-122,"Peas, mange-tout, raw","Whole pods, ends trimmed; 10 samples",DF,50-725 ,"LGC, Fruit and vegetables, 1989-1990",,88.7,0.58,3.6,0.2,4.2,32,136,0.8,,3.4,2.6,0.0,0.3,0.5,0.0,0.0,0.0,2.3,N,,N,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
13-642,"Peas, mange-tout, stir-fried in rapeseed oil","Calculated from boiled. Water and fat analysed, 2017. 11 samples, fresh, imported, Stir fried in 1-2.5 tbsp oil for 2-5 minutes",DF,13-568,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,86.9,0.44,2.8,4.9,3.6,69,286,0.4,,3.2,1.9,0,0.3,1,0,0,0,1.9,1.4,,0.3,,,,,,,,2.67,,,,1.32,,,,,,Tr,0,Unknown,Unknown
