Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
13-145,"Ackee, canned, drained",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",,76.7,0.46,2.9,15.2,0.8,151,625,Tr,,0.8,0.1,0.0,Tr,0.7,0.0,0.0,,N,,,N,4.30,0.52,0.60,0.07,58.50,7.11,,N,4.90,0.60,,N,36.50,4.44,0.10,0.01,0.00,0.00,0.0,Unknown,Unknown
13-146,"Agar, dried",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,9.7,0.26,1.3,1.2,Tr,16,67,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,,81.1,,,0.30,,,,,,,,0.10,,,,0.40,,,,,,,0.0,Unknown,Unknown
13-147,"Agar, dried, soaked and drained",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,84.2,0.03,0.2,0.1,Tr,2,7,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
13-148,"Alfalfa sprouts, raw",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,93.4,0.64,4.0,0.7,0.4,24,100,Tr,,0.3,0.1,0.0,0.2,Tr,0.0,0.0,,1.7,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
13-150,"Amaranth leaves, boiled in unsalted water",Calculation from raw,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,90.4,0.48,3.0,0.3,0.3,16,67,0.1,,0.2,Tr,0.0,0.2,Tr,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.10,,,,,,,0.0,Unknown,Unknown
13-149,"Amaranth leaves, raw",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,88.9,0.56,3.5,0.3,0.3,18,75,0.1,,0.2,Tr,0.0,0.2,Tr,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.10,,,,,,,0.0,Unknown,Unknown
13-152,"Arrowhead, boiled in unsalted water",Calculated from raw,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,75.5,0.67,4.2,0.3,17.8,91,385,N,,N,N,0.0,N,N,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
13-151,"Arrowhead, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",,70.6,0.80,5.0,0.3,21.5,107,448,N,,N,N,0.0,N,N,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,84.4,0.47,2.9,0.2,2.7,18,78,Tr,,1.3,0.8,0.0,0.4,0.1,0.0,0.0,,N,,,0.10,,,,,,,,Tr,,,,0.10,,,,,,,0.0,Unknown,Unknown
13-154,"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,36.3,0.20,1.2,0.1,1.2,8,34,Tr,,0.6,0.3,0.0,0.2,Tr,0.0,0.0,,N,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
13-153,"Artichoke, globe, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,85.2,0.45,2.8,0.2,2.7,18,77,Tr,,1.3,0.8,0.0,0.4,0.1,0.0,0.0,,N,,,0.10,,,,,,,,Tr,,,,0.10,,,,,,,0.0,Unknown,Unknown
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,DG,,"MW4, 1978",,80.2,0.25,1.6,0.1,10.6,41,207,Tr,,1.6,0.1,0.0,0.2,1.3,0.0,0.0,,3.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
13-639,"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,90.9,0.56,3.5,0.4,2,25.1,106.3,Tr,,2,0.5,0,1.1,0.4,0,0,0,1.7,1.6,,0.06,,,,,,,,0.12,,,,0.18,,,,,,0,0,Unknown,Unknown
13-157,"Asparagus, raw",Tough base of stems removed,DG,50-737 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,91.4,0.47,2.9,0.6,2.0,25,103,0.1,,1.9,0.7,0.0,1.1,0.1,0.0,0.0,0.0,1.7,N,,0.10,,,,,,,,0.10,,,,0.20,,,,,,0.00,0.0,Unknown,Unknown
13-640,"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,89.8,0.56,3.5,1.5,2,35,147,Tr,,2,0.5,0,1.1,0.4,0,0,0,1.7,1.6,,0.12,,,,,,,,0.75,,,,0.47,,,,,,Tr,0,Unknown,Unknown
13-638,"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,92.4,0.46,2.9,0.4,1.6,21,90,Tr,,1.6,0.4,0,0.9,0.3,0,0,0,1.4,1.3,,0.05,,,,,,,,0.1,,,,0.15,,,,,,0,0,Unknown,Unknown
13-651,"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,95.2,0.12,0.7,0.5,1.8,14,59,0.2,,1.6,0.7,0,0.6,0.3,0,0,0,2,1.8,,0.13,,,,,,,,Tr,,,,0.25,,,,,,0,0,Unknown,Unknown
13-669,"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,83.9,0.34,2.1,3.8,5.2,62,260,0.6,,4.6,2,0,1.7,0.9,0,0,0,5.7,5.1,,0.35,,,,,,,,1.96,,,,1.22,,,,,,Tr,0,Unknown,Unknown
13-412,"Aubergine, fried in butter",Calculation from fried in corn oil,DG,,"Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,59.5,0.19,1.2,31.9,2.8,302,1262,0.2,,2.6,1.4,0.0,1.1,0.1,0.0,0.0,,2.3,,,21.10,,,,,,,,7.70,,,,1.00,,,,,,,73.0,Unknown,Unknown
13-162,"Aubergine, fried in corn oil",Sliced; shallow fried 10 minutes,DG,50-740 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,59.5,0.19,1.2,31.9,2.8,302,1246,0.2,,2.6,1.4,0.0,1.1,0.1,0.0,0.0,0.0,2.3,N,,4.10,,,,,,,,7.90,,,,18.50,,,,,,N,0.0,Unknown,Unknown
13-577,"Aubergine, fried in rapeseed oil",Calculated from fried in corn oil and 17-686,DG,13-413 ,"Updated 2014. Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,59.5,0.19,1.2,31.9,2.8,302,1262,0.2,,2.6,1.4,0.0,1.1,0.1,0.0,0.0,0.0,2.3,N,,2.18,,,,,,,,16.68,,,,9.43,,,,,,Tr,0.0,Unknown,Unknown
13-161,"Aubergine, raw",Ends trimmed,DG,50-739 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,92.9,0.14,0.9,0.4,2.2,15,64,0.2,,2.0,1.1,0.0,0.8,0.1,0.0,0.0,0.0,2.0,N,,0.10,,,,,,,,Tr,,,,0.20,,,,,,0.00,0.0,Unknown,Unknown
